,required,required,required,required,required,optional,required,required,required,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,20992,1000,,0,1,泰雷,0,0,1,102,0,,
,30676,1000,"10,4,4",1,7,奥兹家族第三日陷阱,0,0,1,0,0,,
,30680,3148,"9,6,4",1,7,副本陷阱2,0,0,1,0,0,,
,30681,3148,,0,7,副本法阵陷阱,0,0,1,0,0,,
,30682,3148,"4,4,13",1,7,副本陷阱3,0,0,1,0,0,,
,30683,3148,"4,4,11",1,7,副本陷阱1,0,0,1,0,0,,
,30706,3148,,1,7,,0,0,1,0,0,,
,60459,3148,"2,2,2",0,8,,0,0,1,0,0,,
,60460,3148,"2,2,2",0,8,,0,0,1,0,0,,
,60461,3148,"2,2,2",0,8,,0,0,1,0,0,,
,60462,3148,"2,2,2",0,8,,0,0,1,0,0,,
,60463,3148,"2,2,2",0,8,,0,0,1,0,0,,
,60473,3148,,0,8,,0,0,1,0,0,,
,60474,3148,,0,8,,0,0,1,0,0,,
,60475,3148,,0,8,,0,0,1,0,0,,
,60476,3148,,0,8,,0,0,1,0,0,,
,60477,3148,,0,8,,0,0,1,0,0,,
,60478,3148,"6,6,6",0,8,,0,0,1,0,0,,
,60479,3148,"6,6,6",0,8,,0,0,1,0,0,,
,60480,3148,,0,8,,0,0,1,0,0,,
,60481,3148,"6,6,6",0,8,,0,0,1,0,0,,
