,id,Name,Intention,countdown_des,talks,detailDes
备注,任务id,任务标题,任务目标,描述,护送Npc喊话组(以$$分隔),详细描述（佣兵任务等）
,10190,你听说过圣界吗?,选择值得信任的人,,,
,10221,魔族之心,战胜萨米尔,,,
,10222,神谕会议,目标，古加尼尔,,,
,10223,下一个旅程,命运的羁绊,,,
,10224,下一个旅程,取名的艺术,,,
,10225,有执念的祭司,《罗兰颂歌》在这里,,,
,10226,赫丽的踪迹,终于找到你,,,
,10227,传说中的罗兰镇,前往罗兰镇,,,
,10228,传说中的罗兰镇,走，去找小姐姐,,,
,10229,休息调整,达到28级,,,
,10230,抵达三月边陲,解读邀请函,,,
,10231,抵达三月边陲,狩猎换情报,,,
,10232,童稚之城,打听玛瑙街32号,,,
,10233,童稚之城,讨厌的玛瑙街32号,,,
,10234,童稚之城,徒劳无功的打听,,,
,10236,猎魔人的危机,出人意料的情报,,,
,10237,猎魔人的危机,前往玛瑙街32号,,,
,10238,猎魔人的危机,月牙湖半鱼人,,,
,10239,猎魔人的危机,水闸，关闭,,,
,10240,猎魔人的危机,排水口，开启,,,
,10241,鹿角兽的灭族危机,哼！无耻的人类！,,,
,10242,精灵公主的请求,战略性撤退,,,
,10243,鹿角兽的灭族危机,鹿角兽暴怒之因,,,
,10244,可怜又可恨的矮人,可气又可笑的真相,,,
,10245,关于解药的推测,解药的线索,,,
,10246,沙海虫巢,通关沙海虫巢,,,
,10247,解药是什么,返回矮人黄胡子处,,,
,10248,解药是什么,虫卵，就是解药？,,,
,10249,平复童稚事件,给解药的条件,,,
,10250,泰坦之魂,解读邀请函,,,
,10251,是骗局吗？,质问神秘少女,,,
,10253,风沙堡,通关风沙堡,,,
,10254,精灵公主的请求,葛莱蒂丝的苦衷,,,
,10256,传说的魔族高地,寻找高地入口,,,
,10257,传说的魔族高地,阅读羊皮纸,,,
,10258,传说的魔族高地,获得泰雷的讯息,,,
,10259,传说的魔族高地,获得泰雷的讯息,,,
,10260,传说的魔族高地,消失吧，魔法阵,,,
,10261,传说的魔族高地,击退怒蝎统领强森,,,
,10262,围剿,讨伐草原领主,,,
,10263,传说的魔族高地,开启高地入口,,,
,10266,由莉的执念,提升实力,,,
,10267,再见了，由莉,接受桑妮的提议,,,
,10270,今天开始当保镖,去自律联盟打听消息,,,
,10271,冒险者的灾难,前往三月边陲,,,
,10272,冒险者的灾难,救下受伤的冒险者,,,
,10273,冒险者的灾难,将伤者送回营地,,,
,10274,日行一善,打听魔能飞艇的消息,,,
,10275,日行一善,冒险者与女巫的矛盾,,,
,10276,日行一善,战胜戈壁火狐,,,
,10278,日行一善,布雷登，你的芜拉草,,,
,10279,我选择相信,向首领了解情况,,,
,10280,我选择相信,前往荒原古堡,,,
,10281,小女巫的退让,前往荒原古堡,,,
,10282,荒原古堡,通关荒原古堡,,,
,10284,和解，当然是……,戛然而止的谈判,,,
,10285,背后的真凶,激烈的争执,,,
,10286,背后的真凶,战胜假费米,,,
,10287,魔能结晶,揭露假费米的身份,,,
,10288,魔能结晶,回到营地休息,,,
,10289,魔能结晶制作中,达到31级,,,
,10290,出发！三月边陲,验收魔能结晶,,,
,10291,出发！三月边陲,乘坐飞艇,,,
,10293,永无白昼的森林,探寻<color=#00FF0C>永夜森林</color>,,,
,10294,永无白昼的森林,英雄救美,,,
,10295,暗精灵之殇,不死者之迷,,,
,10296,暗精灵之殇,首领的无奈之举,,,
,10297,接踵而来的工作,抑制黑暗的<color=#00FF0C>水晶</color>,,,
,10298,接踵而来的工作,用于固定的<color=#00FF0C>骨刺</color>,,,
,10299,接踵而来的工作,神出鬼没的大法师,,,
,10300,大法师的踪迹,寻找大法师,,,
,10301,大法师的踪迹,寻找大法师,,,
,10302,大法师加林,初见大法师,,,
,10303,大法师加林,护送加林,,,
,10307,加林的苦衷,加林的疑点,,,
,10308,加林的苦衷,跟上加林看看,,,
,10310,加林的苦衷,逃脱的不死者,,,
,10311,加林的苦衷,聆听加林的苦衷,,,
,10312,凋零之地,通关凋零之地,,,
,10313,新的突破,加林的指引,,,
,10314,新的突破,出逃的不死者,,,
,10315,加林的计划,加林的觉悟,,,
,10317,事件终结,下一步的安排,,,
,10318,木工狂人,怪脾气的木匠,,,
,10319,木工狂人,采集<color=#00FF0C>桑木</color>,,,
,10320,怪脾气的木匠,听候差遣,,,
,10321,怪脾气的木匠,为何木工需要<color=#00FF0C>熊皮</color>？,,,
,10322,不急，船还未好,达到37级,,,
,10323,森之住民,抵达月神森林,,,
,10325,部落冲突,人类与德鲁伊,,,
,10326,部落冲突,危机突发,,,
,10327,部落冲突,表明来意,,,
,10328,部落冲突,暂时性的合作,,,
,10329,不受欢迎的访客,说服木禅,,,
,10330,危机四伏,前往德鲁伊部落,,,
,10331,不受欢迎的访客,进入德鲁伊部落,,,
,10332,神器危机,解释缘由,,,
,10333,神器危机,首领，一切为了……,,,
,10334,神器危机,与此同时,,,
,10335,神器危机,前往银母矿洞,,,
,10336,追击檐鬼,对话阿德琳,,,
,10337,神器危机,敌人，檐鬼！,,,
,10338,拦路的矿洞守卫,无法前行的木禅,,,
,10339,拦路的矿洞守卫,充满敌意的矮巨人,,,
,10340,银母矿洞,战胜檐鬼,,,
,10341,寻回神器,质问与计划,,,
,10342,寻回神器,和解的部族,,,
,10343,魔物的背后,背弃森林的选择,,,
,10344,魔物的背后,找寻线索,,,
,10345,魔物的背后,幕后真凶,,,
,10346,魔物的背后,发狂的魔物,,,
,10347,纷争的真相,是时候揭露真相了,,,
,10348,等待木禅养伤,达到35级,,,
,10349,新的伙伴,邀请木禅,,,
,10350,新的伙伴,邀请阿德琳,,,
,10351,森之住民,突如其来的救援,,,
,10367,再见，永夜森林,前往<color=#00FF0C>迷雾森林</color>,,,
,10368,怪脾气的木匠,总之交上准没错,,,
,10369,总会有意外发生,葛莱蒂丝的关心,,,
,10370,总会有意外发生,前往呼救声处,,,
,10372,总会有意外发生,出动，救援小分队,,,
,10373,好奇心旺盛的冒险队,与埃尔文交谈,,,
,10374,好奇心旺盛的冒险队,“敏锐”的观察力,,,
,10375,好奇心旺盛的冒险队,救出被掳的队员,,,
,10376,失踪的队员,真挚的感谢,,,
,10377,失踪的队员,返回冒险者之家,,,
,10379,迷失的杰诺,寻找杰诺,,,
,10380,精灵族秘法,采集雾影草,,,
,10381,精灵族秘法,获得鹿角茸,,,
,10382,精灵族秘法,治疗杰诺,,,
,10383,迷雾重重,蛊惑人心的恶魔,,,
,10384,迷雾重重,遗落的手记,,,
,10385,迷雾重重,发现手记,,,
,10386,迷雾重重,阅读手记,,,
,10388,激战石像鬼,打败石像鬼,,,
,10389,激战石像鬼,奇怪的留言,,,
,10390,意外再次降临,寻找精灵宝珠,,,
,10391,意外再次降临,处理突发的意外,,,
,10392,意外再次降临,与阿德琳交谈,,,
,10393,意想不到的重逢,发现精灵宝珠,,,
,10394,意想不到的重逢,重遇“老朋友”,,,
,10395,意想不到的重逢,战胜贝拉,,,
,10396,意想不到的重逢,贝拉的怒火,,,
,10397,宝珠历险记,感应精灵宝珠,,,
,10398,宝珠历险记,寻找精灵宝珠,,,
,10399,刺人的玫瑰,绝境中的玫瑰团,,,
,10400,刺人的玫瑰,帮助玫瑰团,,,
,10401,玫瑰团苦衷,上前询问伤势,,,
,10402,树心城，解封！,下一步计划,,,
,10403,树心城，解封！,尝试解开封印,,,
,10404,树心城，解封！,解封树心城,,,
,10405,树心城,战胜蜘蛛女王,,,
,10406,迷失的杰诺,可疑的脚印,,,
,10407,激战石像鬼,达到44级,,,
,10410,泰坦之魂,消灭暗骑首领,,,
,10411,泰坦之魂,消灭巨熊首领,,,
,10412,泰坦之魂,消灭巨石首领,,,
,10413,神谕会议,命运之光的指引,,,
,10414,泰坦之魂,呼唤泰坦之魂,,,
,10415,是骗局吗？,获得泰坦之魂的认可,,,
,10416,冒险者的灾难,收集兽皮[count 3],,,
,10417,细节决定成败,采集狐薄荷[count 1],,,
,10418,细节决定成败,引开边陲沙狐,,,
,10419,细节决定成败,采集狐薄荷[count 1],,,
,10420,细节决定成败,引开边陲沙狐,,,
,10423,冒险者的灾难,给，你要的兽皮,,,
,10424,童稚之城,告别阿比旦,,,
,10427,危机与考验,向安道夫打听消息,,,
,10428,危机与考验,安道夫的认可,,,
,10429,危机与考验,前往自律联盟,,,
,10431,美酒佳酿,安道夫先生的请求,,,
,10432,美酒佳酿,新奇的认购法,,,
,10433,美酒佳酿,寻徽章购佳酿[count 1],,,
,10434,美酒佳酿,意料之外的惊喜,,,
,10435,美酒佳酿,安道夫先生，你的酒,,,
,10436,失踪的泰雷,特殊的受困者,,,
,10437,再见，古加尼尔,与葛莱蒂丝告别,,,
,10438,再见，古加尼尔,向赫丽复命,,,
,10611,湖畔镇，我来了！,前往湖畔镇,,,
,10440,不好啦，地震了！,接听意外来电,,,
,10441,从天而降的船,调查震动原因,,,
,10442,从天而降的船,调查坠落的船只,,,
,10443,从天而降的船,进入船舱,,,
,10444,长着翅膀的人,研究奇怪的仪器,,,
,10445,长着翅膀的人,寻找特罗德求助,,,
,10446,纳雅城，我来了！,前往飞船停靠点,,,
,10447,猎魔人的危机,水闸，关闭,,,
,10448,猎魔人的危机,排水口，开启,,,
,10449,尴尬的着陆点,抵达天空城,,,
,10450,危险！战斗来袭,履行承诺,,,
,10451,危险！战斗来袭,战胜枭鹰,,,
,10452,弗莱特的心愿,弗莱特的主意,,,
,10453,弗莱特的心愿,收集材料,,,
,10454,弗莱特的心愿,听，有人在吵架,,,
,10455,弗莱特的心愿,获得羽胫,,,
,10456,弗莱特的心愿,采集三块乌铁,,,
,10457,弗莱特的心愿,给，你要的材料,,,
,10458,神秘的米兰达,拜访米兰达,,,
,10459,神秘的米兰达,见证奇迹诞生,,和纳雅人对战？<br>呵，你们真是可悲又可笑。$$你们根本没有意识到<br>自己的渺小！,
,10460,等待机械翅膀制作,达到43级,,,
,10461,奇迹的诞生,特别的委托,,,
,10462,奇迹的诞生,去找米兰达,,,
,10463,少年的勇气,劝说米兰达,,,
,10464,少年的勇气,劝说米兰达,,,
,10465,少年的勇气,弗莱特的踪迹,,,
,10466,少年的勇气,米兰达的抉择,,,
,10467,少年的勇气,弗莱特的心意,,,
,10468,少年的勇气,米兰达的感谢,,,
,10469,少年的勇气,米兰达的感谢,,,
,10470,少年的勇气,传说，只是传说,,,
,10472,传说中的天空城,抵达天空城,,,
,10473,快跑，背后有……,摆脱卫兵,,,
,10474,快跑，背后有……,摆脱卫兵,,,
,10475,快跑，背后有……,躲避卫兵的追击,,你们一定听过我爸爸的名字，他叫希波。$$我的爸爸是纳雅百年来最优秀的科学家。,
,10476,人类使者，参上！,前往王宫,,,
,10477,人类使者，参上！,觐见女王,,,
,10478,卡诺萨名侦探,调查事件之家访,,,
,10479,卡诺萨名侦探,傲慢的大臣,,,
,10480,卡诺萨名侦探,傲慢的大臣,,,
,10486,卡诺萨名侦探,前往不冬岛,,,
,10487,卡诺萨名侦探,调查“外来生物”,,,
,10488,卡诺萨名侦探,暗中观察的大臣,,,
,10489,真相只有一个,向玛露茜询问,,,
,10490,真相只有一个,向玛露茜询问,,,
,10491,真相只有一个,赶往神迹实验室,,,
,10492,真相只有一个,调查神迹实验室,,,
,10493,难解的感情,安全了，回家吧,,,
,10494,难解的感情,安全了，回家吧,,,
,10495,纳雅城二三事,转性的大臣,,,
,10496,纳雅城二三事,汇报调查结果,,,
,10508,少年的勇气,前往纳雅城,,,
,10509,向上吧！少年,前往阿诺特岛,,,
,10510,编号2154事件·一,帮忙扬博士打听,,,
,10511,编号2154事件·一,帮忙扬博士打听,,,
,10512,编号2154事件·一,帮忙扬博士打听,,,
,10513,编号2154事件·一,看，地上有东西,,,
,10514,编号2154事件·一,跟着线索走,,,
,10515,编号2154事件·一,转头，后面有……,,,
,10516,编号2154事件·一,思考下一步计划,,,
,10517,编号2154事件·二,回头找小乌龟,,,
,10518,编号2154事件·二,追查蕾茵的下落,,,
,10519,编号2154事件·二,走，炖乌龟去,,,
,10520,编号2154事件·二,寻找蕾茵,,,
,10521,编号2154事件·二,了解事情始末,,,
,10522,编号2154事件·二,返回深海实验室,,,
,10523,编号2154事件·二,告别蕾茵,,,
,10524,真相只有一个,前往阿诺特岛,,,
,10525,真相只有一个,调查深海实验室,,,
,10526,凯旋而归,返回龟村,,,
,10527,凯旋而归,返回龟村,,,
,10528,梦寐之境,休息，很重要,,,
,10529,特殊的跟踪技巧,一探究竟,,,
,10530,特殊的跟踪技巧,跟踪默希娅,,,
,10531,圣界的秘密,追击默希娅,,,
,10532,圣界的秘密,拦住默希娅,,,
,10533,圣界的秘密,逼问默希娅,,,
,10534,圣界的秘密,遇见意外的人,,,
,10535,为美食而战,赶回龟村,,,
,10541,长着翅膀的人,寻找特罗德求助,,,
,10545,等待配制解药,达到33级,,,
,10552,旅行者的求助,前往阿诺特岛,,,
,10553,旅行者的求助,获得木棍[count 1],,,
,10554,旅行者的求助,木棍已送达,,,
,10555,大渣子味的掠夺者,前往掠夺者基地,,,
,10556,大渣子味的掠夺者,换取精炼钢,,,
