,id,title,des,require
备注,任务id,标题,说明,要求
,1,战队的崛起·一,“……组成战队后，依据发布内容依次完成，便可获得丰厚的战队奖励，并获得一定的自律联盟声望。声望越高，获得的权限越高。”,战队等级达到20级
,2,勇者的成长·一,“……总有人问成长是什么？成长，就是之前把你按在地上打的魔物，你现在能看懂它的套路，把它按在地上打了。”,任意3个英雄的等级达到20级
,3,潜能的发掘·一,“……变强的方法有很多，其中最关键的一种名叫启源。听着很绕口，但说白了就是发掘自身力量与技巧的潜能，让你战无不胜。”,任意1个英雄的启源达到1级
,4,武具的提升·一,“……装备是你在艾恩大陆生存的重要支持，因为你永远不知道对面的哥布林会不会掏出一把40米的大刀。”,任意1个英雄的4件装备达到20级
,5,武具的磨砺·一,“……战场上有句俗语，‘拿最好的剑，穿最好的甲，挨最少的打。’所以别小看了装备升阶的作用。”,任意1个英雄的2件装备达到1阶
,6,技巧的探究·一,“……那些老牌的赏金猎人永远不会怠惰自己的锻炼，就比如我。而那些自认力量超凡疏于锻炼的新人，大都在吃下熊人的一巴掌后后悔了。”,任意1个英雄的2个技能达到1级
,7,本命的成长·一,“……和本命缔结誓约只是第一步，只有和本命一起成长，才能完全发挥它们的助力。”,任意1个本命的等级达到20级
,8,本命的星誓·一,“……听说有种材料可以提升本命的星级。本命的星级越高，助力的效果就越强大。”,任意1个本命达到1星
,9,战术的交锋·一,“……记住，要时刻观察战场上的变化，打断对方的攻势，阻止对方的袭击，化解对方的乘胜追击。”,累计打断敌方奥义攻击20次
,10,战场的捷报·一,“……相信你自己，用尽全力挥出每一击，力量与信念会将胜利带到你的身边。”,累计战斗胜利40次
,11,奥义的突击·一,“……基本每个有实力的人都会有个奥义技。看他们用奥义技在战场上像割草一样打倒敌人，是件特别享受的事。”,累计使用奥义技击杀怪物20次
,12,帝国的巡查·一,“……巡查任务就是巡查城镇，解决当地的麻烦事。虽然听起来很轻松，但你永远不知道这个麻烦事究竟会多麻烦。”,完成4次巡查任务
,13,民众的委托·一,“……放心，自律联盟已经筛选掉了大量鸡毛蒜皮的小事。剩下的委托，都必须由赏金猎人出马不可。”,完成1个A级以上的委托任务
,14,罪犯的悬赏·一,“……抓住那些危害帝国安全的罪犯，不仅能提升你们的实力与声望，还会获得丰厚的奖励。”,完成第8个悬赏任务
,15,梦境的探险·一,“……魔法议会的人认为梦境里有另一个世界，在那里经历的战斗也会让人变强——但是绝大多数声称有此经历的人，不过是得了梦游症。”,通关温丽梦境第2章
,16,英雄的集结·一,“……和更多人组成战队，就能应对更多的情况。就比如我和阿米达和乌塔，还有自律联盟的大伙。”,获得4个不同的英雄
,17,本命的相遇·一,“……有人说本命是女神拼拼图时遗落的碎片，也有人说他们是神灵的分身……不管是哪种，得到他们的助力，将大大提升实力。”,获得4个不同的本命
,18,符文的引导·一,“……符文能给技能招式带来特别的效果，尤其适合打个措手不及。无论是扩展战术还是对上熟悉自己的对手，符文都能起到奇效。”,获得2个1级的蓝色品质符文
,19,英雄的羁绊·一,“……所以，和朋友们打好关系，了解他们的经历和生活习惯，不仅能培养战斗时的默契，更能获得他们的礼物。”,将任意英雄的羁绊提升至陌生3心
,20,战队的崛起·二,“……组成战队后，依据发布内容依次完成，便可获得丰厚的战队奖励，并获得一定的自律联盟声望。声望越高，获得的权限越高。”,战队等级达到35级
,21,勇者的成长·二,“……总有人问成长是什么？成长，就是之前把你按在地上打的魔物，你现在能看懂它的套路，把它按在地上打了。”,任意3个英雄的等级达到35级
,22,潜能的发掘·二,“……变强的方法有很多，其中最关键的一种名叫启源。听着很绕口，但说白了就是发掘自身力量与技巧的潜能，让你战无不胜。”,任意2个英雄的启源达到1级
,23,武具的提升·二,“……装备是你在艾恩大陆生存的重要支持，因为你永远不知道对面的哥布林会不会掏出一把40米的大刀。”,任意3个英雄的4件装备达到35级
,24,武具的磨砺·二,“……战场上有句俗语，‘拿最好的剑，穿最好的甲，挨最少的打。’所以别小看了装备升阶的作用。”,任意1个英雄的4件装备达到2阶
,25,技巧的探究·二,“……那些老牌的赏金猎人永远不会怠惰自己的锻炼，就比如我。而那些自认力量超凡疏于锻炼的新人，大都在吃下熊人的一巴掌后后悔了。”,任意1个英雄的全技能达到1级
,26,本命的成长·二,“……和本命缔结誓约只是第一步，只有和本命一起成长，才能完全发挥它们的助力。”,任意3个本命的等级达到35级
,27,本命的星誓·二,“……听说有种材料可以提升本命的星级。本命的星级越高，助力的效果就越强大。”,任意3个本命升星至1星
,28,战术的交锋·二,“……记住，要时刻观察战场上的变化，打断对方的攻势，阻止对方的袭击，化解对方的乘胜追击。”,累计打断敌方奥义攻击50次
,29,战场的捷报·二,“……相信你自己，用尽全力挥出每一击，力量与信念会将胜利带到你的身边。”,累计战斗胜利100次
,30,奥义的突击·二,“……基本每个有实力的人都会有个奥义技。看他们用奥义技在战场上像割草一样打倒敌人，是件特别享受的事。”,累计使用奥义技击杀怪物50次
,31,帝国的巡查·二,“……巡查任务就是巡查城镇，解决当地的麻烦事。虽然听起来很轻松，但你永远不知道这个麻烦事究竟会多麻烦。”,完成10次巡查任务
,32,民众的委托·二,“……放心，自律联盟已经筛选掉了大量鸡毛蒜皮的小事。剩下的委托，都必须由赏金猎人出马不可。”,完成3个S级的委托任务
,33,罪犯的悬赏·二,“……抓住那些危害帝国安全的罪犯，不仅能提升你们的实力与声望，还会获得丰厚的奖励。”,完成第20个悬赏任务
,34,梦境的探险·二,“……魔法议会的人认为梦境里有另一个世界，在那里经历的战斗也会让人变强——但是绝大多数声称有此经历的人，不过是得了梦游症。”,通关温丽梦境第3章
,35,英雄的集结·二,“……和更多人组成战队，就能应对更多的情况。就比如我和阿米达和乌塔，还有自律联盟的大伙。”,获得5个不同的英雄
,36,本命的相遇·二,“……有人说本命是女神拼拼图时遗落的碎片，也有人说他们是神灵的分身……不管是哪种，得到他们的助力，将大大提升实力。”,获得7个不同的本命
,37,符文的引导·二,“……符文能给技能招式带来特别的效果，尤其适合打个措手不及。无论是扩展战术还是对上熟悉自己的对手，符文都能起到奇效。”,获得4个2级的蓝色品质符文
,38,英雄的羁绊·二,“……所以，和朋友们打好关系，了解他们的经历和生活习惯，不仅能培养战斗时的默契，更能获得他们的礼物。”,将任意英雄的羁绊提升至友好
,39,战队的崛起·三,“……组成战队后，依据发布内容依次完成，便可获得丰厚的战队奖励，并获得一定的自律联盟声望。声望越高，获得的权限越高。”,战队等级达到40级
,40,勇者的成长·三,“……总有人问成长是什么？成长，就是之前把你按在地上打的魔物，你现在能看懂它的套路，把它按在地上打了。”,任意4个英雄的等级达到40级
,41,潜能的发掘·三,“……变强的方法有很多，其中最关键的一种名叫启源。听着很绕口，但说白了就是发掘自身力量与技巧的潜能，让你战无不胜。”,任意2个英雄的启源达到2级
,42,武具的提升·三,“……装备是你在艾恩大陆生存的重要支持，因为你永远不知道对面的哥布林会不会掏出一把40米的大刀。”,任意4个英雄的4件装备达到40级
,43,武具的磨砺·三,“……战场上有句俗语，‘拿最好的剑，穿最好的甲，挨最少的打。’所以别小看了装备升阶的作用。”,任意1个英雄的4件装备达到3阶
,44,技巧的探究·三,“……那些老牌的赏金猎人永远不会怠惰自己的锻炼，就比如我。而那些自认力量超凡疏于锻炼的新人，大都在吃下熊人的一巴掌后后悔了。”,任意1个英雄的全技能达到2级
,45,本命的成长·三,“……和本命缔结誓约只是第一步，只有和本命一起成长，才能完全发挥它们的助力。”,任意4个本命的等级达到40级
,46,本命的星誓·三,“……听说有种材料可以提升本命的星级。本命的星级越高，助力的效果就越强大。”,任意3个本命升星至2星
,47,战术的交锋·三,“……记住，要时刻观察战场上的变化，打断对方的攻势，阻止对方的袭击，化解对方的乘胜追击。”,累计打断敌方奥义攻击100次
,48,战场的捷报·三,“……相信你自己，用尽全力挥出每一击，力量与信念会将胜利带到你的身边。”,累计战斗胜利200次
,49,奥义的突击·三,“……基本每个有实力的人都会有个奥义技。看他们用奥义技在战场上像割草一样打倒敌人，是件特别享受的事。”,累计使用奥义技击杀怪物100次
,50,帝国的巡查·三,“……巡查任务就是巡查城镇，解决当地的麻烦事。虽然听起来很轻松，但你永远不知道这个麻烦事究竟会多麻烦。”,完成30次巡查任务
,51,民众的委托·三,“……放心，自律联盟已经筛选掉了大量鸡毛蒜皮的小事。剩下的委托，都必须由赏金猎人出马不可。”,完成10个S级的委托任务
,52,罪犯的悬赏·三,“……抓住那些危害帝国安全的罪犯，不仅能提升你们的实力与声望，还会获得丰厚的奖励。”,完成第40个悬赏任务
,53,梦境的探险·三,“……魔法议会的人认为梦境里有另一个世界，在那里经历的战斗也会让人变强——但是绝大多数声称有此经历的人，不过是得了梦游症。”,通关温丽梦境第4章
,54,英雄的集结·三,“……和更多人组成战队，就能应对更多的情况。就比如我和阿米达和乌塔，还有自律联盟的大伙。”,获得10个不同的英雄
,55,本命的相遇·三,“……有人说本命是女神拼拼图时遗落的碎片，也有人说他们是神灵的分身……不管是哪种，得到他们的助力，将大大提升实力。”,获得15个不同的本命
,56,符文的引导·三,“……符文能给技能招式带来特别的效果，尤其适合打个措手不及。无论是扩展战术还是对上熟悉自己的对手，符文都能起到奇效。”,获得4个2级的紫色品质符文
,57,英雄的羁绊·三,“……所以，和朋友们打好关系，了解他们的经历和生活习惯，不仅能培养战斗时的默契，更能获得他们的礼物。”,将任意英雄的羁绊提升至友好3心
,58,本命的眷顾,“……启源提升到一定程度后，将能够获得两位本命的助力，这对实力的提升是超乎寻常的。”,解锁任意英雄的第二本命位
