,id,name,attr,story,location
备注,npcid（注意这里是2D的NPC资源不要和3D的资源混淆）,npc名字,特性,图鉴故事内容,图鉴出场地点
,101,西蒙,,,
,102,泰雷,,,
,103,兰奇,,,
,104,木禅,,,
,105,葛莱蒂丝,,,
,106,檐鬼,,,
,107,夜崎隐,,,
,108,阿德琳,,,
,111,迪罗赞,,,
,112,米兰达,,,
,113,纳塔娜,,,
,114,萨米尔,,,
,201,温丽,,,
,301,爱琳娜,,,
,302,爱琪,,,
,401,乔伊,,,
,1000,诺尔,白袍,<line-indent=2em>诺尔作为罗兰帝国右相，备受民众的尊敬。同时，他也是个造诣深厚的魔法师。实际上，诺尔觊觎着帝国王座，这份欲望使他成为七宗罪·贪婪的附身对象。<br>兰奇弑君后，诺尔抓住了这一契机。他利用西蒙追查赫丽与卡诺萨之光的下落，试图控制皇室血脉，将神器丢失的罪名嫁祸给西蒙。但在阴谋败露后，诺尔便化身为七宗罪·贪婪。,◆卡诺萨城
,1001,黑谷,,,
,1002,薇莉丝,,<line-indent=2em>右相诺尔的得力干将。薇莉丝卓越的业务能力，以及极具条理性与逻辑性的口头表述能力令人印象深刻。薇莉丝的手下因担心在汇报时有逻辑漏洞被叱责，每次都要写好草稿，反复推敲。<br>被好事者私下评为“帝国最强女性”的榜首，据说爱琳娜也位列该榜单。右相事发后，薇莉丝宛如什么也没发生一样，继续正常工作。,◆卡诺萨城
,1003,禁卫督军莱克,,<line-indent=2em>你，站住。怎么进来也不向我行礼？你这是什么眼神？注意你的身份！我可是帝国禁卫督军，帝国左相的侄子莱克！<br>你说什么？注意你现在跟谁说话！就算我现在入狱了，我依然是一名贵族！上次，我拿叔父的研究打造丧尸部队失败，还不是因为西蒙那个叛徒的弟弟横插一脚！我不会放弃的，我定会成为这个帝国最有权势的人！,◆卡诺萨城
,1168,皮克曼1号,,,
,1169,乞丐山姆,,,
,1170,旅行少女小雅,,,
,1171,小树灵,,,
,1175,吟游诗人玛门,,,
,2001,卫兵,风车镇,,
,2019,村民,,,
,2020,狂化阿噗,,,
,2021,鹿角兽队长,,,
,2026,鹿角兽首领,,,
,2029,鱼妖,,,
,2030,圣祭司诗寇蒂,,,
,2031,米修,,<line-indent=2em>阿噗，阿噗阿噗！阿噗阿噗噗噗噗噗噗噗噗噗噗！阿噗阿噗阿噗，啊噗噗阿噗阿噗阿噗噗！阿噗阿噗，阿噗阿噗阿噗！阿噗阿噗阿噗阿噗阿噗阿噗阿噗阿噗。阿噗阿噗阿噗阿噗，阿噗阿噗阿噗阿噗阿噗阿噗。<br>阿噗阿噗，阿噗~,◆湖畔镇
,2032,由莉,,<line-indent=2em>咦，这是哪里？由莉我又跟爸爸妈妈走散了吗？<br>之前，还好有西蒙哥哥跟温丽姐姐的帮忙，由莉我才能找到爸爸妈妈呢。上次，是为什么走散的呢？由莉我只记得那天有很多可怕的怪物闯到家里，然后…………就不记得了……再醒过来就找不到爸爸妈妈了……呜……<br>嗯？我听见爸爸妈妈在喊我名字！我走啦，谢谢你陪我！,◆湖畔镇
,2033,鹿角兽,,,
,2035,桑妮,,<line-indent=2em>罗兰历49年12月22日下午3点，将于湖畔镇教堂举行克雷先生与瑞雪小姐的结婚仪式。请各位镇民届时务必来见证这对新人的幸福吧！<br>另外，希望湖畔镇年轻的诸位，不要再羞涩了！大胆寻找自己的真爱吧！如果，你需要一点情感帮助的话，可以到教堂来找我哦~<br>——湖畔镇教堂 桑妮祭司,◆湖畔镇
,2036,强盗,,,
,2039,潘多拉宝盒,,,
,3001,赫丽,平民,<line-indent=2em>赫丽作为流落的皇室后裔，在贫苦艰难的隐居生活中依然保持着博爱的高贵品质。自幼年起，赫丽就坚守着身负帝国至宝·卡诺萨之光的秘密，这使得她相较同龄人来说更加沉稳。<br>自赫丽登基正式成为罗兰帝国的主人之后，繁重的公文以及单调的宫廷生活令她感到无趣。赫丽常常乔装打扮溜出王宫，但每次身后不远处必然有着泰雷的身影。,◆卡诺萨城
,3002,镇民麦提,,,
,3003,强盗贝拉,,,
,3004,大卫,,<line-indent=2em>哈，不要走开！让我帝国第一名侦探大卫猜猜，你点进来一定是想要窥视我这象征人类智慧结晶的头脑。既然，你如此诚心诚意，我就来为你讲述我这三十二年来的壮阔人生吧！<br>早年的我，博览群书，聪慧过人，可谓名满卡诺萨城。来到罗兰镇这个小地方，不过是为了守护一位美丽的女士。我……（系统提示：您的字数已达上限）,◆罗兰镇
,3005,铁臂安道夫,,<line-indent=2em></line-indent>自律联盟现任总管，自律联盟三大创始<br>人之一，自律联盟所有大大小小的事情全都<br>由安道夫一个人负责。作为退伍军人，安道<br>夫喜欢跟这群佣兵打交道，这让他找到了年<br>轻的感觉。<br><line-indent=2em></line-indent>铁臂安道夫性格豪爽，十分喜爱喝酒，<br>最大的愿望是能洗一个啤酒浴。安道夫常常<br>吹嘘自己的钢铁右臂一拳就能锤掉一座山，<br>只是自己不想动用这股力量。,◆自律联盟
,3007,富商金斯特,,<line-indent=2em>卡诺萨有名的富商，只爱好赚钱，十分怕死，十分小气。对金斯特而言，只要给钱，啥都能干。正义与邪恶，根本不在他考虑范围。金斯特对于金色有特殊的喜好，家里一切都要用金子打造：金勺子、金盘子、金桌子、金马桶…………<br>他虽看不起哥布林哈扎克，但又钦佩对方经商天赋与财富，同时非常羡慕哈扎卡可以在自家金币堆里游泳。,◆风车镇
,3008,库伯拉长老,,<line-indent=2em>啊，辛勤的库伯拉长老，风车镇的领头人。他，为风车镇的建设付出自己的一切；他，为了风车镇的安全通宵巡逻，发际线日渐上移；他，充分发挥卡诺萨日报驻风车镇通讯员职能，四处探寻这片土地上的每个秘密。<br>虽才年方二十八，但容颜已如七旬老人般成熟。库伯拉长老不畏艰难，越战越勇，只求将风车镇建设成帝国领先小镇。,◆风车镇
,3009,安可,,<line-indent=2em>安可是风车镇里生活的可爱小男孩，说话时总有一种特殊的腔调。热爱画画，极具张力与灵魂的线条，让一般人无法理解画面的意思。<br>安可的记忆只有二十四个小时，每当太阳升起，安可就会忘记他昨天经历的一切。所以为了记住重要的事情，安可会将所有事情画在他的画册里。,◆风车镇
,3010,夜崎隐,,,
,3011,哈扎克,,,
,3012,木匠卡卡,,,
,3017,萨莎,,,
,3018,受伤的镇民,,,
,3019,强盗贝拉,,,
,3020,黑色蔷薇费玛,,,
,3021,管家约瑞克,,<line-indent=2em>左相府管家，多年服侍左相，对其极为忠心，惜字如金。约瑞克毫无原则地维护左相利益，心中并不赞同左相复活夫人的事。左相事迹败露后，约瑞克仍在府中守护着濒死的西莫斯。,◆阿克莱斯
,3022,花店老板,,<line-indent=2em>你见过十年如一日的忠贞爱情吗？你想每日沉浸在绝美爱情中不可自拔吗？还在为没有磕到真的而苦恼吗？<br>快来加入“左相×夫人”后援会吧！在这里，你会见过帝国高层见到爱人时的宠溺模样！给你一个前所未有的真CP！快来加入吧！报名地址：阿克莱斯佩维拉花店。,◆阿克莱斯
诺尔黑化,3027,诺尔,黑化,<line-indent=2em>诺尔作为罗兰帝国右相，备受民众的尊敬。同时，他也是个造诣深厚的魔法师。实际上，诺尔觊觎着帝国王座，这份欲望使他成为七宗罪·贪婪的附身对象。<br>兰奇弑君后，诺尔抓住了这一契机。他利用西蒙追查赫丽与卡诺萨之光的下落，试图控制皇室血脉，将神器丢失的罪名嫁祸给西蒙。但在阴谋败露后，诺尔便化身为七宗罪·贪婪。,◆卡诺萨城
