,id,name,des
备注,与direct_purchase表id对应,购买项名称,描述
,301,新手礼包,立即获得3张，7天各1张，共10张艾恩速达券
,302,新手礼包,新手礼包
,303,新手抽卡,新手抽卡
,304,新手抽卡,新手抽卡
,305,新手抽卡,新手抽卡
,401,成长礼包(20级),成长礼包(20级)
,402,成长礼包(30级),成长礼包(30级)
,403,成长礼包(35级),成长礼包(35级)
,404,成长礼包(40级),成长礼包(40级)
,405,成长礼包(45级),成长礼包(45级)
,406,成长礼包(50级),成长礼包(50级)
,407,成长礼包(55级),成长礼包(55级)
,408,成长礼包(60级),成长礼包(60级)
,409,成长礼包(65级),成长礼包(65级)
,410,成长礼包(70级),成长礼包(70级)
,411,成长礼包(75级),成长礼包(75级)
,412,成长礼包(80级),成长礼包(80级)
,501,免费礼包(15级),免费礼包(15级)
,502,免费礼包(20级),免费礼包(20级)
,503,免费礼包(25级),免费礼包(25级)
,504,免费礼包(30级),免费礼包(30级)
,505,免费礼包(35级),免费礼包(35级)
,506,免费礼包(40级),免费礼包(40级)
,507,免费礼包(45级),免费礼包(45级)
,508,免费礼包(50级),免费礼包(50级)
,509,免费礼包(55级),免费礼包(55级)
,510,免费礼包(60级),免费礼包(60级)
,511,免费礼包(65级),免费礼包(65级)
,512,免费礼包(70级),免费礼包(70级)
,513,免费礼包(75级),免费礼包(75级)
,514,免费礼包(80级),免费礼包(80级)
,601,日礼包,随机奖励
,701,周礼包,周礼包
,702,周礼包,周礼包
,703,周礼包,周礼包
,704,周礼包,周礼包
,801,月礼包,月礼包
