,id,title,info,end1,content1,end2,content2,end3,content3
备注,英雄id拼接任务索引,标题,简介,结局1的名称,结局1的内容,结局2的名称,结局2的内容,结局3的名称,结局3的内容
,10101,嗨，你的南瓜饼,“迷茫的少年，你掉入水中的是金南瓜饼，还是银南瓜饼，亦或是这个普通的南瓜饼呢？”,普普通通南瓜饼,一般的套路，都是诚实的少年获得了女神的青睐与嘉奖。然而西蒙他碰到的套路却让人看不太懂……,真金白银南瓜饼,“如果说，成年人的选择注定是一场悲剧，那么我有没有机会读档重来？”冰凉的湖水在西蒙脸上拍，他看着手中的石头怀疑人生。,,
,10102,友情与原则,恪守奥兹家训的好少年西蒙，遭遇了重大危机。面对朋友的诚挚邀约，他是要逃训，还是坚守诺言呢？,为友情干杯,美酒与挚友当前，训练自然排在第二。而好少年与普通人的区别，那就是放纵后，依旧会自律自觉地完成训练。,有原则的男人,身为奥兹家的人，每个人都熟练背诵且执行奥兹家训。向哥哥承诺之事，决不食言。约定好每日练剑，那必定会贯彻到底。,,
,10103,理性的化身,不愿意透露姓名的少年庄严宣誓：“我，奥兹·西蒙，以后绝不再冲动行事！”口号很响亮，至于结果，请大家自行想象。,出击！正义少年,事实证明，理想很丰满，现实很骨感。让一个热血冲动派化身理性型男，那是不可能的。遇见不平之事，当然是拔剑出击！,默念三遍要理智,立下的誓言，绝对不能倒。学会理性分析，不再冲动行事的西蒙，或许他又距离帝国第一剑士的目标近了一步。,,
,10201,战士与猫咪,泰雷饲养了一只跑丢的猫咪。而在这个过程中，泰雷似乎觉醒了自己都不曾知晓的另一面。,自律联盟的常客,斯利回到了自己位于自律联盟的家，泰雷也因此成为了自律联盟的常客。而泰雷和自律联盟的猫咪们发生了什么，就是另一个故事了。,,,,
,10202,守护者,完成任务后，泰雷下属的一位士兵失踪了。察觉到士兵陷入了危险的泰雷立即行动了起来。,守护者的遗憾,泰雷将士兵的遗物送到了家属的手中，但他心中未能守护下属的无奈与痛苦，却无法转交给任何人。,,,,
,10301,风沙堡之变,兰奇接受了乔伊的任务。这一天注定不会平静。,献上忠诚,尽管风沙堡的守备军全数出战，但等待他们的只有失败。而兰奇则完美达成了自己定下的额外目标。,,,,
,10302,心象与愿景,兰奇因尼格斯的毒药陷入了昏迷。在昏迷<br>中，兰奇会遭遇什么？,心中的歉意,从始至终，兰奇没有暴露他在幻象中看到了什么。同样没有暴露的，是兰奇未能传达的思<br>绪。,,,,
,10401,木禅的脸盲症,为了承担更多的职责，木禅主动请求了任务，前往三月边陲取回定制的工具……,脸盲症引发的误会,因为脸盲症引发的误会让木禅陷入了混乱。而店主最后的那番话，则让木禅最终下定决心，要试图改善自己的脸盲症。,,,,
,10402,木禅的识人训练,木禅训练自己辨别人类的能力时，被阿德琳与葛莱蒂丝看见了。于是，在二人的帮助下，木禅的强化训练开始了……,勉强合格？,通过阿德琳和葛莱蒂丝的协助，木禅终于能够勉强认出人类的区别。但要他彻底改善脸盲的问题，则还有很长的路要走……,,,,
,10501,人小鬼大,在大家眼中，葛莱蒂丝一直是“别人家的孩子”，乖巧而又优雅。那么问题来了，葛莱蒂丝从小到大都是如此吗？,纯真与责任,果然，葛莱蒂丝小时候，也很呆萌。那时的她还不懂，为何大人们的世界总是被千奇百怪的理由束缚着，但现在她已经了解了。,,,,
,10502,蜕变,似乎只是一夜之间，葛莱蒂丝便蜕变成了自信、优雅、成熟的女神。每个人小小的脑袋里，都充满着大大的疑惑。,意想不到的成长,如果可以，谁又想长大呢？但眼前的危机，让葛莱蒂丝不得不被迫成长。妈妈不在了，她必须担负起责任。用手中的弩箭，守护树心城！,,,,
,10601,面具下的阴影,檐鬼的面具从不离身，没有人能看到他面具之下的样子。连他自己，似乎也并不愿意摘下面具，审视自己。,另一种保护色,对于檐鬼来说，面具下的不仅是血肉之躯，而是一种思想的存在。现在的自己，早已和从前割裂。他，只有一个身份，那就是檐鬼。,,,,
,10602,暗与光,光，是每个人心中的希望。然而檐鬼，却十分讨厌光。那个灼热而又刺眼的光芒，是他最想泯灭的东西。,湮光者,檐鬼或许也曾向往过光明，但那时的希冀，却被一场背叛摧毁。如今的檐鬼，只想隐藏在黑暗中。在那里，他能看到所有真实。,,,,
