,required,required,required,optional,optional
,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,level,need_exp,ap_point,ap_reward
备注,id,战队等级,升级经验,体力值上限,奖励体力值
,1,1,100,30,0
,2,2,100,32,2
,3,3,200,34,2
,4,4,200,36,2
,5,5,400,38,2
,6,6,400,40,2
,7,7,800,42,2
,8,8,800,44,2
,9,9,1200,46,2
,10,10,1600,48,2
,11,11,2000,50,2
,12,12,2400,52,2
,13,13,3000,54,2
,14,14,3500,56,2
,15,15,4500,58,2
,16,16,5500,60,2
,17,17,6500,62,20
,18,18,7500,64,20
,19,19,9000,66,20
,20,20,10400,68,20
,21,21,12600,70,20
,22,22,16300,72,20
,23,23,18400,74,20
,24,24,18600,76,20
,25,25,22500,78,20
,26,26,27200,80,20
,27,27,30200,81,20
,28,28,38300,82,20
,29,29,42400,83,20
,30,30,46000,84,20
,31,31,52300,85,20
,32,32,70500,86,20
,33,33,78000,87,20
,34,34,83000,88,20
,35,35,91600,89,20
,36,36,94900,90,20
,37,37,102000,90,20
,38,38,103400,91,20
,39,39,106400,91,20
,40,40,128600,92,20
,41,41,141300,92,20
,42,42,158600,93,20
,43,43,168900,93,20
,44,44,184900,94,20
,45,45,197000,94,20
,46,46,213600,95,20
,47,47,243200,95,20
,48,48,269100,96,20
,49,49,297000,96,20
,50,50,316500,97,20
,51,51,258100,97,20
,52,52,276200,98,20
,53,53,297100,98,20
,54,54,320900,99,20
,55,55,347600,99,20
,56,56,377400,100,20
,57,57,410500,100,20
,58,58,447000,100,20
,59,59,488100,100,20
,60,60,532900,100,20
,61,61,582800,101,20
,62,62,636600,101,20
,63,63,697200,101,20
,64,64,760700,101,20
,65,65,832600,101,20
,66,66,907800,102,20
,67,67,991900,102,20
,68,68,1080900,102,20
,69,69,1178000,102,20
,70,70,1281800,102,20
,71,71,1394000,103,20
,72,72,1513500,103,20
,73,73,1641800,103,20
,74,74,1779300,103,20
,75,75,1926200,103,20
,76,76,2082700,104,20
,77,77,2249200,104,20
,78,78,2425800,104,20
,79,79,2614500,104,20
,80,80,99999999,104,20
