,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,pet_id,star,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,money,pet_num,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3
"备注,",id,幻兽id,星级,生命加成万分比,物攻加成万分比,魔攻加成万分比,物防加成万分比,魔防加成万分比,所需金币,所需幻兽数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量
,561,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,562,4003,1,1000,1000,1000,1000,1000,10000,1,6003003,10,0,0,0,0
,563,4003,2,1500,1500,1500,1500,1500,10000,1,6003003,20,0,0,0,0
,564,4003,3,2500,2500,2500,2500,2500,10000,1,6003003,30,0,0,0,0
,565,4003,4,3000,3000,3000,3000,3000,10000,1,6003003,50,0,0,0,0
,566,4003,5,4000,4000,4000,4000,4000,10000,1,6003003,50,0,0,0,0
,567,4003,6,5000,5000,5000,5000,5000,10000,1,6003003,50,0,0,0,0
,568,4003,7,5500,5500,5500,5500,5500,10000,1,6003003,50,0,0,0,0
,569,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,570,4004,1,1000,1000,1000,1000,1000,10000,1,6003003,10,0,0,0,0
,571,4004,2,1500,1500,1500,1500,1500,10000,1,6003003,20,0,0,0,0
,572,4004,3,2500,2500,2500,2500,2500,10000,1,6003003,30,0,0,0,0
,573,4004,4,3000,3000,3000,3000,3000,10000,1,6003003,50,0,0,0,0
,574,4004,5,4000,4000,4000,4000,4000,10000,1,6003003,50,0,0,0,0
,575,4004,6,5000,5000,5000,5000,5000,10000,1,6003003,50,0,0,0,0
,576,4004,7,5500,5500,5500,5500,5500,10000,1,6003003,50,0,0,0,0
,577,4194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,578,4194,1,1000,1000,1000,1000,1000,10000,1,6003003,10,0,0,0,0
,579,4194,2,1500,1500,1500,1500,1500,10000,1,6003003,20,0,0,0,0
,580,4194,3,2500,2500,2500,2500,2500,10000,1,6003003,30,0,0,0,0
,581,4194,4,3000,3000,3000,3000,3000,10000,1,6003003,50,0,0,0,0
,582,4194,5,4000,4000,4000,4000,4000,10000,1,6003003,50,0,0,0,0
,583,4194,6,5000,5000,5000,5000,5000,10000,1,6003003,50,0,0,0,0
,584,4194,7,5500,5500,5500,5500,5500,10000,1,6003003,50,0,0,0,0
,585,4204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,586,4204,1,1000,1000,1000,1000,1000,10000,1,6003003,10,0,0,0,0
,587,4204,2,1500,1500,1500,1500,1500,10000,1,6003003,20,0,0,0,0
,588,4204,3,2500,2500,2500,2500,2500,10000,1,6003003,30,0,0,0,0
,589,4204,4,3000,3000,3000,3000,3000,10000,1,6003003,50,0,0,0,0
,590,4204,5,4000,4000,4000,4000,4000,10000,1,6003003,50,0,0,0,0
,591,4204,6,5000,5000,5000,5000,5000,10000,1,6003003,50,0,0,0,0
,592,4204,7,5500,5500,5500,5500,5500,10000,1,6003003,50,0,0,0,0
,593,4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,594,4214,1,1000,1000,1000,1000,1000,10000,1,6003003,10,0,0,0,0
,595,4214,2,1500,1500,1500,1500,1500,10000,1,6003003,20,0,0,0,0
,596,4214,3,2500,2500,2500,2500,2500,10000,1,6003003,30,0,0,0,0
,597,4214,4,3000,3000,3000,3000,3000,10000,1,6003003,50,0,0,0,0
,598,4214,5,4000,4000,4000,4000,4000,10000,1,6003003,50,0,0,0,0
,599,4214,6,5000,5000,5000,5000,5000,10000,1,6003003,50,0,0,0,0
,600,4214,7,5500,5500,5500,5500,5500,10000,1,6003003,50,0,0,0,0
,601,4234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,602,4234,1,1000,1000,1000,1000,1000,10000,1,6003003,10,0,0,0,0
,603,4234,2,1500,1500,1500,1500,1500,10000,1,6003003,20,0,0,0,0
,604,4234,3,2500,2500,2500,2500,2500,10000,1,6003003,30,0,0,0,0
,605,4234,4,3000,3000,3000,3000,3000,10000,1,6003003,50,0,0,0,0
,606,4234,5,4000,4000,4000,4000,4000,10000,1,6003003,50,0,0,0,0
,607,4234,6,5000,5000,5000,5000,5000,10000,1,6003003,50,0,0,0,0
,608,4234,7,5500,5500,5500,5500,5500,10000,1,6003003,50,0,0,0,0
