,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,pet_id,star,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,money,pet_num,material_id1,material_num1,material_id2,material_num2,material_id3,material_num3
"备注,",id,幻兽id,星级,生命加成万分比,物攻加成万分比,魔攻加成万分比,物防加成万分比,魔防加成万分比,所需金币,所需幻兽数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量
,2,4012,1,1000,1000,1000,1000,1000,10000,1,6003003,5,0,0,0,0
,3,4012,2,1500,1500,1500,1500,1500,10000,1,6003003,10,0,0,0,0
,4,4012,3,2500,2500,2500,2500,2500,10000,1,6003003,15,0,0,0,0
,5,4012,4,3000,3000,3000,3000,3000,10000,1,6003003,25,0,0,0,0
,6,4012,5,4000,4000,4000,4000,4000,10000,1,6003003,25,0,0,0,0
,7,4012,6,5000,5000,5000,5000,5000,10000,1,6003003,25,0,0,0,0
,8,4012,7,5500,5500,5500,5500,5500,10000,1,6003003,25,0,0,0,0
,10,4022,1,1000,1000,1000,1000,1000,10000,1,6003003,5,0,0,0,0
,11,4022,2,1500,1500,1500,1500,1500,10000,1,6003003,10,0,0,0,0
,12,4022,3,2500,2500,2500,2500,2500,10000,1,6003003,15,0,0,0,0
,13,4022,4,3000,3000,3000,3000,3000,10000,1,6003003,25,0,0,0,0
,14,4022,5,4000,4000,4000,4000,4000,10000,1,6003003,25,0,0,0,0
,15,4022,6,5000,5000,5000,5000,5000,10000,1,6003003,25,0,0,0,0
,16,4022,7,5500,5500,5500,5500,5500,10000,1,6003003,25,0,0,0,0
,18,4032,1,1000,1000,1000,1000,1000,10000,1,6003003,5,0,0,0,0
,19,4032,2,1500,1500,1500,1500,1500,10000,1,6003003,10,0,0,0,0
,20,4032,3,2500,2500,2500,2500,2500,10000,1,6003003,15,0,0,0,0
,21,4032,4,3000,3000,3000,3000,3000,10000,1,6003003,25,0,0,0,0
,22,4032,5,4000,4000,4000,4000,4000,10000,1,6003003,25,0,0,0,0
,23,4032,6,5000,5000,5000,5000,5000,10000,1,6003003,25,0,0,0,0
,24,4032,7,5500,5500,5500,5500,5500,10000,1,6003003,25,0,0,0,0
,26,4042,1,1000,1000,1000,1000,1000,10000,1,6003003,5,0,0,0,0
,27,4042,2,1500,1500,1500,1500,1500,10000,1,6003003,10,0,0,0,0
,28,4042,3,2500,2500,2500,2500,2500,10000,1,6003003,15,0,0,0,0
,29,4042,4,3000,3000,3000,3000,3000,10000,1,6003003,25,0,0,0,0
,30,4042,5,4000,4000,4000,4000,4000,10000,1,6003003,25,0,0,0,0
,31,4042,6,5000,5000,5000,5000,5000,10000,1,6003003,25,0,0,0,0
,32,4042,7,5500,5500,5500,5500,5500,10000,1,6003003,25,0,0,0,0
,34,4052,1,1000,1000,1000,1000,1000,10000,1,6003003,5,0,0,0,0
,35,4052,2,1500,1500,1500,1500,1500,10000,1,6003003,10,0,0,0,0
,36,4052,3,2500,2500,2500,2500,2500,10000,1,6003003,15,0,0,0,0
,37,4052,4,3000,3000,3000,3000,3000,10000,1,6003003,25,0,0,0,0
,38,4052,5,4000,4000,4000,4000,4000,10000,1,6003003,25,0,0,0,0
,39,4052,6,5000,5000,5000,5000,5000,10000,1,6003003,25,0,0,0,0
,40,4052,7,5500,5500,5500,5500,5500,10000,1,6003003,25,0,0,0,0
,42,4062,1,1000,1000,1000,1000,1000,10000,1,6003003,5,0,0,0,0
,43,4062,2,1500,1500,1500,1500,1500,10000,1,6003003,10,0,0,0,0
,44,4062,3,2500,2500,2500,2500,2500,10000,1,6003003,15,0,0,0,0
,45,4062,4,3000,3000,3000,3000,3000,10000,1,6003003,25,0,0,0,0
,46,4062,5,4000,4000,4000,4000,4000,10000,1,6003003,25,0,0,0,0
