,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,2001431,风车,2001,1,10028,0,1,0,0,0,0,0,"-66.67,9.76,-98.83",0,1
,2001928,风车,2001,1,10014,0,1,0,0,0,0,0,"-66.67,9.76,-98.83",0,1
,3096011,怨灵墙,3096,4,1091,0,1,0,0,0,0,0,"0.27871,0.01,12.15",180,1
,3096012,怨灵墙,3096,4,1093,0,1,0,0,0,0,0,"-9.2,0.01,-15",180,1
,3096013,怨灵墙,3096,4,1093,0,1,0,0,0,0,0,"9.2,0.01,-15",180,1
,3096018,机关门,3096,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3096019,机关门,3096,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3097018,机关门,3097,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3097019,机关门,3097,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3098014,战后临时模型1,3098,1,20665,0,1,0,0,0,0,0,"-237.97,-21.17,3.5",180,1
,3098015,战后临时模型2,3098,1,20666,0,1,0,0,0,0,0,"-229.97,-21.17,3.5",180,1
,3098016,战后临时模型3,3098,1,21031,0,1,0,0,0,0,0,"-240.08,-21.14,47",180,1
,3098017,战后临时模型4,3098,1,21032,0,1,0,0,0,0,0,"-231.32,-21.14,47",180,1
,3098018,机关门,3098,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3098019,机关门,3098,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3099001,空气墙,3099,4,1094,0,0,0,0,0,0,0,"-9.2,0.01,-15",180,1.5
,3101018,机关门,3101,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3101019,机关门,3101,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3102018,机关门,3102,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3102019,机关门,3102,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3103018,机关门,3103,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3103019,机关门,3103,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3104018,机关门,3104,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3104019,机关门,3104,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3105018,机关门,3105,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3105019,机关门,3105,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3106012,空气墙,3106,4,1093,0,1,0,0,0,0,0,"-9.2,0.01,-15",180,1
,3106013,空气墙,3106,4,1093,0,1,0,0,0,0,0,"9.2,0.01,-15",180,1
,3106018,机关门,3106,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3106019,机关门,3106,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
