,required,required,required
,uint32,uint32,uint32
,id,binary,guideId
备注,id,二进制值,对应newguide表的id字段
,1,1,101
,2,2,102
,3,3,103
,4,4,104
,5,5,105
,6,6,106
,7,7,107
,8,8,108
,9,9,109
,10,10,110
,11,11,111
,12,12,112
,13,13,113
,14,14,114
,15,15,115
,16,16,116
,17,17,117
,18,18,400
,19,19,401
,20,20,125
,21,21,126
,22,22,121
,23,23,305
,24,24,307
,25,25,129
,26,26,130
,27,27,131
,28,28,132
,29,29,133
,30,30,134
,31,31,135
,32,32,136
,33,33,137
,34,34,138
,35,35,139
,36,36,140
,37,37,202
,38,38,118
,39,39,119
,40,40,123
,41,41,302
,42,42,303
,43,43,304
