,id,name,content
备注,英雄id拼接音频索引,名称,字幕
,10103,【战斗】量化·正义裁决,奥兹之剑斩断一切——罪恶！
,10402,【战斗】登场,生命于我，一期一会。
,10601,【战斗】登场,等待湮灭吧！
,10701,【战斗】修罗斩,让灵魂散落！斩！
,10702,【战斗】百鬼狩,嗯~生命的味道~当心哦！
,10101,【战斗】登场,都快等得不耐烦了！
,20103,【战斗】夏祭幻想焰火,麻烦死了！
,10502,【战斗】登场,遵从命运的指引。
,20102,【战斗】冬祭幻想冰雪,见识下我的魔法。
,20101,【战斗】登场,本大小姐的个人秀时间到了！
,30201,【战斗】登场,想和我共舞一曲么？
,30202,【战斗】爱琪野玫瑰,弄疼你了吗~
,30203,【战斗】爱琪的开场礼,可不能，分心哟~
,20105,【战斗】冰龙之怒歌,哼，你完蛋了！<br>星辉冰河之耀，赐予我神的力量！
,30101,【战斗】登场,一拳就解决你！
,30102,【战斗】登场,听说，你想跟我的拳头作对？
,10102,【战斗】飞天·重斩,没想到吧！
,20104,【战斗】空之庆典火鸟,去吧，火焰鸟！
,10501,【战斗】登场,小疾风，到我们登场了。
