,id,skill_name,skill_desc,story
备注,本命id,本命天赋技能名,天赋技能描述总览,本命故事文本
凛焰·赫斐斯托,4034,焰铠,对战精英或领主时，伤害减免提升<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%（2级）</color>/<color=#454FAB>29%<br>（3级）</color>。,<line-indent=2em>曾有一位战士，他自诩无人能敌，接受了众多的挑战。终于有一天，他遇到了无法战胜的对手。战士无法忍受落败后的嘘声，他祈求力量，唤来烈焰的元素之灵。<br>“我会将力量借予你。但是，你会付出对应的代价。”元素之灵说着，将力量赋予了这名战士。<br>战士凭借着元素之灵的力量，将对手狠狠击倒在地。就在他带着荣耀踏出竞技场时，却发现自己体内的力量正被烈焰元素一点点吞噬。<br>直到这时，战士才反应过来，这就是为了满足自己作祟的虚荣心而付出的代价。<br>——《艾恩寓言》
狩林者艾妮丝,4052,迅击,连击数高于<color=#454FAB>3</color>时，伤害提升<color=#454FAB>6%（1级）</color>/<br><color=#454FAB>7%（2级）</color>/<color=#454FAB>9%（3级）</color>。,<line-indent=2em>艾妮丝银白的发色与异质的兽人特征，让她被外界视作不祥的象征。但在森林边村落里，名为卡利斯的少年却坚信，艾妮丝并非不祥的存在。<br>于是，他伸出了手，与艾妮丝成为了挚友。<br>卡利斯为艾妮丝带来食物、故事与对外界的希望，让她不再对他人产生厌恶。她开始对森林外的世界充满兴趣，并逐渐相信在外界，有像少年一样心怀善意，能够接纳她的人。而卡利斯的努力，则让村民们最终接纳了艾妮丝的存在。<br>就这样，在卡利斯的引领下，艾妮丝踏出森林，目睹了全新的世界。而不知不觉之中，村落亦收获了不知名的祝福。现在，每当丰收之际，人们总会看到艾妮丝在森林里愉快地狩猎。
狮鹫格里菲,4062,闪回,闪避成功时，奥义值恢复<color=#454FAB>30（1级）</color>/<br><color=#454FAB>45（2级）</color>/<color=#454FAB>60（3级）</color>点。,<line-indent=2em>自由战争时期，有一位领主与一只狮鹫成为了伙伴，并肩击败了众多魔族。<br>然而，在魔族的一次偷袭中，狮鹫为了守护自己的伙伴，不幸倒在了魔族的利刃之下。这件事也成为了那位领主心中难以愈合的伤痛。<br>数十年后，那位领主走到了生命的尽头。在离世的最后一刻，那个领主说出了最后的愿望：“真想再一次和它一起翱翔在天空啊……”<br>下一刻，奇迹发生了。<br>那位领主闭上双眼后，下一刻，他的身体长出了羽毛，背后伸展出翅膀，他以狮鹫的样貌飞向了蓝天。
晨晖的奥罗拉,4064,晖光,任意技能击败任意对手后，恢复自身生命值的<color=#454FAB>18%（1级）</color>/<color=#454FAB>27%（2级）</color>/<color=#454FAB>36%<br>（3级）</color>。,<line-indent=2em>少女自光辉之中诞生，照耀着世间一切阴霾。沉沦于阴暗处的冒险者，因她而获救。<br>少女怜悯着世间每一个被黑暗吞噬的生灵，她穿梭于密林与洞穴中，寻找着一切需要帮助的生灵。<br>每当入夜之际，光辉之灵与暗黑之灵交替之时，她总是忍不住向对方挑衅：“昨天你做的，我都已经解决了哦~”
圣盾加兰德,4074,坚铠·Ⅱ,受到的物理伤害降低<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%<br>（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>我是阻挡魔族的壁垒，是守护一切的坚盾。我将屹立于大地之上，以手中坚盾，捍卫帝国的威严。<br>我会为战友开辟那通往胜利的道路。<br>纵使最终败亡，与战友一同消散于世间，也无怨无悔。<br>——《罗兰帝国骑士宣言》
轰雷托娜,4084,咒域·Ⅱ,受到的魔法伤害降低<color=#454FAB>15%（1级）</color>/<color=#454FAB>22%<br>（2级）</color>/<color=#454FAB>29%（3级）</color>。,<line-indent=2em>身为雷霆的元素之灵，托娜一直被众多的生灵恐惧着——她的雷霆能轻易击穿猛兽的心脏，点燃大地。她被许多人视为不幸的源头。<br>然而托娜一直期待着自己能够和其他几位元素之灵一样，得到人们的崇拜，达成他们的愿望。<br>终于有一天，一位居住在深山村落中的少年向托娜许下了愿望：希望她能够降下雷霆，让树林燃烧肥沃土地，让自己的村落获得更多耕种的土地。<br>欣喜若狂的托娜降下数道雷霆，一如少年的愿望点燃了树木。然而，飞舞的火星，却不慎点燃了少年的住处……<br>在那之后，托娜收到的祈愿，更少了……
风暴龙皮扎兰姆,4102,风闪,施放奥义后，闪避提升<color=#454FAB>6%（1级）</color>/<color=#454FAB>9%<br>（2级）</color>/<color=#454FAB>12%（3级）</color>，持续<color=#454FAB>3</color>招。,<line-indent=2em>“皮扎兰姆……”<br>“我没事。”<br>风暴龙·皮扎兰姆的龙骑士摘下手套，将手放在了皮扎兰姆的鼻尖。<br>“你没有做错。如果没有你，那么事情可能就会变得更糟糕，至少现在我们守住了最后的和平。”<br>“但大家因我而死……现在，我又会令你们与其它人类分离……”<br>“皮扎兰姆。”龙骑士稍稍加重手上的力量，停下了古代疾风龙的话语。<br>“从契约达成那刻起，我们便将一切交托于彼此。无论什么决定，我们都将共同执行。”<br>在那之后，以皮扎兰姆为首的大多数龙族离开了龙息古地，世间再无它们的身影。
终焉之斯蒂芙洛,4104,炽炼,我方攻击开始时，获得炽炼状态，伤害提升<color=#454FAB>50%（1级）</color>/<color=#454FAB>75%（2级）</color>/<color=#454FAB>100%<br>（3级）</color>，持续<color=#454FAB>1</color>招。,<line-indent=2em>“乌诺，你还记得，当时我们接受邀请，晋衔成为女武神的事吗？”赤色女武神忽然提问。<br>青色武神稍稍一愣，并未回应赤色女武神的问题。<br>“哎呀，就是那次我一时兴起自降力量，将你卷入的事嘛。毕竟当时作为龙族领袖应该做的事情已经做完了，而且总觉得那时候这样做会颇有意思。”<br>“嗯，拼图放下了，到你了。”
创世之科洛斯,4134,绝阵,生命值低于<color=#454FAB>30%</color>时，伤害减免提升<color=#454FAB>20%（1级）</color>/<color=#454FAB>30%（2级）</color>/<color=#454FAB>40%<br>（3级）</color>。,<line-indent=2em>寂寞，宁静，仅有自己一人。<br>既如此，便创造一个舞台，让万物流转，时光演化。<br>科洛斯挥动双手，<br>世界由此而生。<br>——《先知者书·初始之章》
雪浪的莉特,4153,沧佑,受到的反弹伤害降低<color=#454FAB>30%（1级）</color>/<color=#454FAB>45%<br>（2级）</color>/<color=#454FAB>60%（3级）</color>。,<line-indent=2em>“你难道不知道，是陆地上那些野蛮的族裔，杀害了我的孩子吗？！既已知晓，你又为何要吹响号角，为那些蛮族求情？！”<br>“因为在我眼中，他们坚强，勇敢，善良。确实，他们之中有野蛮残暴的存在，但这绝不是将陆上的族裔赶尽杀绝的理由！若海神大人继续一意孤行，那这一切所作所为，又和您口中的蛮族有何差别呢？”<br>不久之后，持续了百日的暴雨最终停歇，阳光再次普照大地之上。
虫姬拉克涅,4214,源星,因援护或辅助技被打断进攻时，有<color=#454FAB>50%（1级）</color>/<color=#454FAB>75%（2级）</color>/<color=#454FAB>100%<br>（3级）</color>几率使所有技能的冷却时间降低30%。,<line-indent=2em>我的创造者啊，我希望能够见证一切。（在我身旁发生的事情这么好玩，只能干看着太难受了）<br>请用闪耀的星尘为我塑造身躯，让恒星的光辉承载我的灵魂。（不过一定要做漂亮的少女）<br>我将见证在我的身旁发生的一切，为迷茫的生灵们指引前行之路！<br>(不过，在指引他们之前，那个名叫菠萝包的食物看着就觉得特别好吃，所以，先让我吃到爽再说！)
森羚莎缇雅,108164,愈印,每拥有<color=#454FAB>1</color>个生命印记，施放辅助技时恢<br>复生命值提升<color=#454FAB>6%（1级）</color>/<color=#454FAB>9%（2级）</color>/<br><color=#454FAB>12%（3级）</color>。,<line-indent=2em>随着清晨第一缕曙光照入林间，莎缇雅睁开了双眼。生机盎然的景象一如既往，和她最初的记忆一样宁静而温馨。<br>自有记忆开始，她便是现在的模样。过去的一切都是空白，只有身为山林守护神的觉悟深深镌刻在心中。<br>她漫步于森林之中，翠绿跟随着蹄印向前蔓延，留下生命的痕迹。生灵亦主动来到身旁，一同嬉戏打闹。<br>作为这片山林的守护神，莎缇雅知道，维持眼前的和谐，便是她最为关键的使命。<br>看着眼前嬉闹着的小动物，莎缇雅露出微笑，将心中那一丝不知自己从何而来的困惑隐藏。
