,id,name,desc,spec_desc,next_lev_desc
备注,流水号,技能名称,技能描述,技能描述,升级效果描述
,4001,庇护,降低5%受到的伤害,,
,4002,激运,抗暴+10%,,
,4003,不屈,格挡造成的伤害减免+15%,,
,4004,铁壁,格挡+10%,,
,4005,疾风,闪避+10%,,
,4006,燃魂,暴击时目标奥义值-15点,,
,4007,燃势,格挡时目标奥义值-15点,,
,4008,燃心,闪避时目标奥义值-15点,,
,4009,加速,所有主动技能冷却上限降低10%,,
,4010,血仇,反弹15%受到的伤害,,
,4011,决战,对boss的伤害提高10%,,
,40121,铁壁,格挡提升<color=#be1414>3%</color>,,
,40122,铁壁,格挡提升<color=#be1414>5%</color>,,
,40123,铁壁,格挡提升<color=#be1414>8%</color>,,
,40131,初源·Ⅰ,对战非冒险者时，初始奥义值增加<color=#be1414>1000</color>点,,
,40132,初源·Ⅰ,对战非冒险者时，初始奥义值增加<color=#be1414>1100</color>点,,
,40133,初源·Ⅰ,对战非冒险者时，初始奥义值增加<color=#be1414>1200</color>点,,
,40141,初源·Ⅱ,对战非冒险者时，初始奥义值增加<color=#be1414>1200</color>点,,
,40142,初源·Ⅱ,对战非冒险者时，初始奥义值增加<color=#be1414>1300</color>点,,
,40143,初源·Ⅱ,对战非冒险者时，初始奥义值增加<color=#be1414>1400</color>点,,
,40221,闪避,闪避提升<color=#be1414>1%</color>,,
,40222,闪避,闪避提升<color=#be1414>3%</color>,,
,40223,闪避,闪避提升<color=#be1414>5%</color>,,
,40231,循转·Ⅰ,对战非冒险者时，受击回复奥义值提升<color=#be1414>20%</color>,,
,40232,循转·Ⅰ,对战非冒险者时，受击回复奥义值提升<color=#be1414>25%</color>,,
,40233,循转·Ⅰ,对战非冒险者时，受击回复奥义值提升<color=#be1414>30%</color>,,
,40241,循转·Ⅱ,对战非冒险者时，受击回复奥义值提升<color=#be1414>30%</color>,,
,40242,循转·Ⅱ,对战非冒险者时，受击回复奥义值提升<color=#be1414>40%</color>,,
,40243,循转·Ⅱ,对战非冒险者时，受击回复奥义值提升<color=#be1414>50%</color>,,
,40321,激运,暴击抗性提升<color=#be1414>4%</color>,,
,40322,激运,暴击抗性提升<color=#be1414>7%</color>,,
,40323,激运,暴击抗性提升<color=#be1414>10%</color>,,
,40331,影御·Ⅰ,对战精英时，防御提升<color=#be1414>15%</color>,,
,40332,影御·Ⅰ,对战精英时，防御提升<color=#be1414>21%</color>,,
,40333,影御·Ⅰ,对战精英时，防御提升<color=#be1414>30%</color>,,
,40341,影御·Ⅱ,对战精英时，伤害减免提升<color=#be1414>15%</color>,,
,40342,影御·Ⅱ,对战精英时，伤害减免提升<color=#be1414>20%</color>,,
,40343,影御·Ⅱ,对战精英时，伤害减免提升<color=#be1414>30%</color>,,
,40421,固守·Ⅰ,受到的一次奥义伤害降低<color=#be1414>10%</color>,,
,40422,固守·Ⅰ,受到的一次奥义伤害降低<color=#be1414>15%</color>,,
,40423,固守·Ⅰ,受到的一次奥义伤害降低<color=#be1414>20%</color>,,
,40431,愈流,每次上场回复<color=#be1414>3%</color>生命值,,
,40432,愈流,每次上场回复<color=#be1414>5%</color>生命值,,
,40433,愈流,每次上场回复<color=#be1414>8%</color>生命值,,
,40441,固守·Ⅱ,整场战斗<color=#be1414>1</color>次，受到的奥义技伤害降低<color=#be1414>15%</color>,,
,40442,固守·Ⅱ,整场战斗<color=#be1414>2</color>次，受到的奥义技伤害降低<color=#be1414>20%</color>,,
,40443,固守·Ⅱ,整场战斗<color=#be1414>3</color>次，受到的奥义技伤害降低<color=#be1414>25%</color>,,
,40521,狩垒·Ⅰ,对战兽人时，防御提升<color=#be1414>300</color>点,,
,40522,狩垒·Ⅰ,对战兽人时，防御提升<color=#be1414>500</color>点,,
,40523,狩垒·Ⅰ,对战兽人时，防御提升<color=#be1414>800</color>点,,
,40531,狩垒·Ⅱ,对战兽人时，防御提升<color=#be1414>10%</color>,,
,40532,狩垒·Ⅱ,对战兽人时，防御提升<color=#be1414>15%</color>,,
,40533,狩垒·Ⅱ,对战兽人时，防御提升<color=#be1414>20%</color>,,
,40541,反噬·Ⅱ,反弹<color=#be1414>8%</color>受到的伤害,,
,40542,反噬·Ⅱ,反弹<color=#be1414>11%</color>受到的伤害,,
,40543,反噬·Ⅱ,反弹<color=#be1414>15%</color>受到的伤害,,
,40621,苍垒·Ⅰ,对战异虫时，防御提升<color=#be1414>300</color>点,,
,40622,苍垒·Ⅰ,对战异虫时，防御提升<color=#be1414>500</color>点,,
,40623,苍垒·Ⅰ,对战异虫时，防御提升<color=#be1414>800</color>点,,
,40631,苍垒·Ⅱ,对战异虫时，防御提升<color=#be1414>10%</color>,,
,40632,苍垒·Ⅱ,对战异虫时，防御提升<color=#be1414>15%</color>,,
,40633,苍垒·Ⅱ,对战异虫时，防御提升<color=#be1414>20%</color>,,
,40641,荣光,任意技能击败任意对手后，回复自身生命值的<color=#be1414>7%</color>,,
,40642,荣光,任意技能击败任意对手后，回复自身生命值的<color=#be1414>10%</color>,,
,40643,荣光,任意技能击败任意对手后，回复自身生命值的<color=#be1414>15%</color>,,
,40721,光佑·Ⅰ,对战亡灵时，防御提升<color=#be1414>300</color>点,,
,40722,光佑·Ⅰ,对战亡灵时，防御提升<color=#be1414>500</color>点,,
,40723,光佑·Ⅰ,对战亡灵时，防御提升<color=#be1414>800</color>点,,
,40731,光佑·Ⅱ,对战亡灵时，防御提升<color=#be1414>10%</color>,,
,40732,光佑·Ⅱ,对战亡灵时，防御提升<color=#be1414>15%</color>,,
,40733,光佑·Ⅱ,对战亡灵时，防御提升<color=#be1414>20%</color>,,
,40741,咒域,受到的物理伤害降低<color=#be1414>6%</color>,,
,40742,咒域,受到的物理伤害降低<color=#be1414>9%</color>,,
,40743,咒域,受到的物理伤害降低<color=#be1414>12%</color>,,
,40821,坚守·Ⅰ,对战人族时，防御提升<color=#be1414>300</color>点,,
,40822,坚守·Ⅰ,对战人族时，防御提升<color=#be1414>500</color>点,,
,40823,坚守·Ⅰ,对战人族时，防御提升<color=#be1414>800</color>点,,
,40831,坚守·Ⅱ,对战人族时，防御提升<color=#be1414>10%</color>,,
,40832,坚守·Ⅱ,对战人族时，防御提升<color=#be1414>15%</color>,,
,40833,坚守·Ⅱ,对战人族时，防御提升<color=#be1414>20%</color>,,
,40841,圣盾,受到的魔法伤害降低<color=#be1414>6%</color>,,
,40842,圣盾,受到的魔法伤害降低<color=#be1414>9%</color>,,
,40843,圣盾,受到的魔法伤害降低<color=#be1414>12%</color>,,
,40921,星守·Ⅰ,对战妖精时，防御提升<color=#be1414>300</color>点,,
,40922,星守·Ⅰ,对战妖精时，防御提升<color=#be1414>500</color>点,,
,40923,星守·Ⅰ,对战妖精时，防御提升<color=#be1414>800</color>点,,
,40931,星守·Ⅱ,对战妖精时，防御提升<color=#be1414>10%</color>,,
,40932,星守·Ⅱ,对战妖精时，防御提升<color=#be1414>15%</color>,,
,40933,星守·Ⅱ,对战妖精时，防御提升<color=#be1414>20%</color>,,
,40941,星运,使用辅助技时有<color=#be1414>35%</color>概率不消耗奥义,,
,40942,星运,使用辅助技时有<color=#be1414>45%</color>概率不消耗奥义,,
,40943,星运,使用辅助技时有<color=#be1414>65%</color>概率不消耗奥义,,
,41021,圣铠·Ⅰ,对战魔族时，防御提升<color=#be1414>300</color>点,,
,41022,圣铠·Ⅰ,对战魔族时，防御提升<color=#be1414>500</color>点,,
,41023,圣铠·Ⅰ,对战魔族时，防御提升<color=#be1414>800</color>点,,
,41031,圣铠·Ⅱ,对战魔族时，防御提升<color=#be1414>10%</color>,,
,41032,圣铠·Ⅱ,对战魔族时，防御提升<color=#be1414>15%</color>,,
,41033,圣铠·Ⅱ,对战魔族时，防御提升<color=#be1414>20%</color>,,
,41041,石化,攻击时有<color=#be1414>30%</color>概率提升对手所有技能冷却时间1秒,,
,41042,石化,攻击时有<color=#be1414>40%</color>概率提升对手所有技能冷却时间1秒,,
,41043,石化,攻击时有<color=#be1414>60%</color>概率提升对手所有技能冷却时间1秒,,
,41121,闪回,闪避成功时，奥义值回复<color=#be1414>20</color>点,,
,41122,闪回,闪避成功时，奥义值回复<color=#be1414>30</color>点,,
,41123,闪回,闪避成功时，奥义值回复<color=#be1414>45</color>点,,
,41131,反噬·Ⅰ,反弹<color=#be1414>5%</color>受到的伤害,,
,41132,反噬·Ⅰ,反弹<color=#be1414>8%</color>受到的伤害,,
,41133,反噬·Ⅰ,反弹<color=#be1414>12%</color>受到的伤害,,
,41141,愈月,受到的裂伤伤害降低<color=#be1414>40%</color>,,
,41142,愈月,受到的裂伤伤害降低<color=#be1414>60%</color>,,
,41143,愈月,受到的裂伤伤害降低<color=#be1414>85%</color>,,
,41231,坚铠,防御提升<color=#be1414>5%</color>,,
,41232,坚铠,防御提升<color=#be1414>8%</color>,,
,41233,坚铠,防御提升<color=#be1414>12%</color>,,
,41241,寒霜,受到的灼烧伤害降低<color=#be1414>40%</color>,,
,41242,寒霜,受到的灼烧伤害降低<color=#be1414>60%</color>,,
,41243,寒霜,受到的灼烧伤害降低<color=#be1414>85%</color>,,
,41331,预演,对战冒险者时<color=#be1414>40%</color>概率免疫普通攻击造成的伤害,,
,41332,预演,对战冒险者时<color=#be1414>70%</color>概率免疫普通攻击造成的伤害,,
,41333,预演,对战冒险者时<color=#be1414>100%</color>概率免疫普通攻击造成的伤害,,
