,id,title
备注,监听id,标题
,0,完成当前星级全部任务
,1097,一个英雄达到10级
,1098,一个英雄达到20级
,1131,一个英雄突破一阶
,1132,一个英雄突破二阶
,1153,一件装备达到10级
,1154,一件装备达到20级
,1215,一件装备达到一阶
,1216,一件装备达到二阶
,1187,一件装备达到一星
,1188,一件装备达到二星
,1884,一个英雄的5个技能达到2级
,1615,两个英雄的5个技能达到2级
,1099,一个英雄达到30级
,1100,一个英雄达到40级
,1133,一个英雄突破三阶
,1134,一个英雄突破四阶
,1155,一件装备达到30级
,1156,一件装备达到40级
,1217,一件装备达到三阶
,1218,一件装备达到四阶
,1189,一件装备达到三星
,1190,一件装备达到四星
,1621,五个英雄的5个技能达到2级
,1106,三个英雄达到20级
,1108,三个英雄达到40级
,1140,三个英雄突破二阶
,1142,三个英雄突破四阶
,1162,一个英雄四件装备达到20级
,1164,一个英雄四件装备达到40级
,1223,一个英雄四件装备达到二阶
,1225,一个英雄四件装备达到四阶
,1890,三个英雄的5个技能达到2级
