,charId,des,spdes
备注,角色Id,描述,特殊描述
西蒙,101,年龄：18\n奥兹家族的新星\n未来的大英雄\n乐天行动派,“我可是剑术小天才！”
泰雷,102,年龄：25\n神器守护人\n王国的良心\n会行走的规章制度,“正义女神使我前行。”
黑兰奇,103,年龄：25\n圣界的扛把子\n原帝国特工/守护者\n一言不合就拔剑,“弱者不配和我说话。”
温丽,201,年龄：17\n芙蕾雅家族天才法师\n美食鉴赏家\n这些都是她自称的,“才不是第二名呢！”
爱琳娜,301,年龄：20\n异能者中的佼佼者\n特立独行的赏金猎人\n原则就是看心情,“小帅哥，一起练拳？”
诺尔,1000,年龄：50\n帝国内阁右相\n德高望重，法术导师\n与左相势力不和,“权力，即是胜利。”
莱克,1003,年龄：26\n左相亲侄子\n就问你怕不怕\n阿克莱斯小霸王,“知道我叔叔不？”
诗寇蒂,2030,年龄：秘密\n卡诺萨圣祭司\n未经她本人同意就成为\n“卡诺萨最想娶的人”,“愿你听从自己的心。”
米修（阿噗）,2031,年龄：？？\n湖畔镇特有小动物\n尽管只会发出“阿噗”\n但能表达八十多种意思,“阿噗，阿噗阿噗！”
