,id,name,attr
备注,npcid（注意这里是2D的NPC资源不要和3D的资源混淆）,npc名字,特性
,101,西蒙,
,102,泰雷,
,103,兰奇,
,104,木禅,
,106,檐鬼,
,201,温丽,
,301,爱琳娜,
,302,爱琪,
,1000,诺尔,白袍
,1001,黑谷,
,1002,薇莉丝,
,1003,禁卫督军莱克,
,1168,皮克曼1号,
,1169,乞丐山姆,
,1170,旅行少女小雅,
,1171,小树灵,
,1175,吟游诗人玛门,
,2001,卫兵,风车镇
,2019,村民,
,2020,狂化阿噗,
,2021,鹿角兽队长,
,2026,鹿角兽首领,
,2029,鱼妖,
,2030,圣祭司诗寇蒂,
,2031,米修,
,2032,由莉,
,2033,鹿角兽,
,2035,桑妮,
,2036,强盗,
,2039,潘多拉宝盒,
,3001,赫丽,平民
,3002,镇民麦提,
,3003,强盗贝拉,
,3004,大卫,
,3005,铁臂安道夫,
,3006,劫匪,风车镇
,3007,富商金斯特,
,3008,库伯拉长老,
,3009,安可,
,3010,夜崎隐,
,3011,哈扎克,
,3012,木匠卡卡,
,3017,萨莎,
,3018,受伤的镇民,
,3019,强盗贝拉,
,3020,黑色蔷薇费玛,
,3021,管家约瑞克,
,3022,花店老板,
诺尔黑化,3027,诺尔,黑化
,3028,特罗德,
,3036,海莉大妈,
,3037,镇民,湖畔镇
,3038,碎魂狼王,
,3039,宝箱玩法测试NPC,
,3042,吉拉,
,3043,伦纳德,
,3044,旅馆老板,
,3045,秘密探员,
,3048,希尔,
,3051,先驱者1号,
,3052,联盟办事员,罗兰镇
,3053,小女孩,
,3054,特里,
,3055,杰拉德,
,3057,芙妮,
,3058,库里奇,
,3059,缪吉克辉,
,3060,哥布林商人,
,3061,联盟办事员,阿克莱斯
,3062,丧尸士兵,
,3063,食人怪奥顿,
,3064,难民沙多曼,
,3065,难民皮卡德,
,3066,难民普利扎,
,3067,强盗珀纳,
,3068,嗜血死神萨米尔,
,3069,佣兵托尼,
,3070,泽欧密探,
,3074,哥布林德雷克,
,3075,酒馆负责人,
,3076,左相西莫斯,
,3077,莉雅,
,3080,比多猫,
