,id,dialog
备注,怪物对话配置的id,对话文字
女巫菲梅,10054,我的魔法药剂使你神魂颠倒。
,100000,团长对我们这次行动很不满，气冲冲就走了。
,100001,完不了任务就拿不到报酬，虽然不知道是谁委托的。
,100003,这个任务报酬这么高，一定要认真对待。
,100004,我绝对不会辜负爱琪大人的期待！
亡魂死徒,100005,远古意志的哀嚎，途经此地的人，颤抖吧！
亡魂死士,100006,远古意志的哀嚎，途经此地的人，颤抖吧！
黑骑士迪亚,100007,鲜血将唤醒我的魂魄！
狮心魔骑贝恩,100008,消失在永无止境的黑暗中吧！
幻阵之魂·火,100009,炽热的幻阵之魂，迈向毁灭之程吧！
幻阵之魂·冰,100010,冰冻的幻阵之魂，迈向毁灭之程吧！
幻阵之魂·光,100011,耀眼的幻阵之魂，迈向毁灭之程吧！
幻阵之魂·暗,100012,黯淡的幻阵之魂，迈向毁灭之程吧！
诺尔,100013,我才是帝国的王！我才是！
贪婪,100014,终于出来了，是时候饱餐一顿了！
,100017,都给我好好巡逻，一只蚂蚁都不能让它爬进来。
,100018,我要集中注意力，认真巡逻……认真巡逻……
,100019,我要集中注意力，认真巡逻……认真巡逻……
,100020,真正的狼性就是：即使死去，灵魂也会一直咆哮！
,100021,别想打狼族宝藏的主意，我盯着呢！
,100022,没用的人类，在我的脚下颤抖吧！
鹿角兽1气泡,100023,那位大人交代了，一只爬虫都不能放行。
鹿角兽2气泡,100024,一定要好好巡逻，决不能坏了大人的计划。
巨刃鹿角兽气泡,100025,吾将浴血奋战，誓死守护。
食魂鹿角兽气泡,100026,美味的灵魂~被那位大人抢走了！啊~
萨米尔气泡,100027,贪婪将化成我的巨斧，汲取鲜血！
,100029,我不是死了吗……为什么……
,100030,我又活过来！我活过来了！
,100031,比死掉更痛苦的是半死不活。
,100032,恶恶恶……恶魔，别……别过来……
,100033,那人一下把哈扎克大人抓走了，好可怕好可怕。
,100034,啊啊啊啊谁动我的宝箱我跟谁拼命。
,100035,我就是你们要找的宝藏~来吧~孩子~来吧~
鹿角兽,100036,贪婪大人正在恢复力量，我要提高警惕，决不能在关键时刻松懈。
巨刃鹿角兽,100037,天啊~我是不是在做梦，我居然成为魔神七魂之一贪婪的手下。
食魂鹿角兽,100038,哈哈哈！我已经感受到贪婪大人逐渐变强的力量了！！
鹿角男爵尤克,100039,贪婪大人作为魔神大人的意识分身都这么厉害，那魔神本尊…不敢想象！
亡魂死徒,100040,咦~那边好像有动静。咦~这边好像也有动静。
亡魂死士,100041,嘿嘿~仪式阵的方案是我想出来，贪婪大人恢复完实力一定会重赏我的。
黑骑士佩兰,100042,呵呵呵，魔族伟大的复兴计划即将完全。
狮心魔骑巴兹,100043,魔神大人的荣耀，将由吾来守护！
野蛮孤狼,100044,老大说了，事成后就给我换把新武器。
狼爵士普洛,100045,我是因为家人生计才参加这次行动的。我已经厌倦了纷争，我想离开这里。
魔尾蝎,100046,一定要好好巡逻，决不能坏了大人们的计划。
魔蝎王艾德,100047,吾即将迎来魔神大人的七罪之一……贪婪……贪婪。
贪婪,100048,吾……的力量……又回到了熟悉的世界了……
,100049,今天是我采矿的第一千零一天，好累啊。
,100050,午餐又没有吃饱，怎么有力气干活？
,100051,神啊，救救我吧！
,100052,今天没有采一百车矿石，你们都不准睡觉！
,100053,只要好好采矿，我们矮巨人一定会重回巅峰。
,100054,不要悲伤，不心急，忧郁的日子一定会过去。
,100055,这样的日子没法过了，我要不要搞点事情呢？
,100056,偷懒的人是想和我的钢锤亲密接触吗？
,100058,切，弱鸡还妄想打败我，可笑至极。
沙河虫,100059,……沙……
吞骨沙虫,100060,沙……沙沙……沙……
毒尾蝎,100061,咔咔咔……咔……
毒尾蝎,100062,咔……咔咔……
沙河虫,100063,沙……沙……
吞骨沙虫,100064,沙沙沙，沙沙……
沙原魔蝎斯科恩,100065,那些毫无忌口的人类，我会替族人们复仇！
女巫仆从,100066,我每一天的时间，清醒的时候听从于菲梅大人，混乱的时候是因为吃了梅菲大人的药剂。
女巫菲梅,100067,该死的人类，我的魔药会告诉你们失信的下场！
,100068,我也不想伤害你们，可是圣界好可怕。
,100069,在强大的圣界面前，我们太渺小了。
,100070,抓住那些逃窜的小老鼠，别让他们遛了！
,100071,我平静的生活全毁了……
,100072,为了活下去，我只能拔刀相向了。
,100073,如果连家人都无法守护，我还怎么维护正义。
,100074,莉莉，他们为什么要挣扎呢？反正最后都会死掉。
魔心普巨刃鹿角兽,100076,战斗，战斗，战斗！我的巨刃一刻都停不下来！
魔心普鹿角兽士兵,100077,冲吧！那些安于现状的部落，都注定被淘汰！
魔心普鹿角兽士兵,100078,冲吧！为了不可抗拒的酋长之命！
魔心普食魂鹿角兽,100079,吞噬一切，为了部落！
魔心普鹿角兽酋长,100080,勇猛的鹿角兽战士们，用你们的铁蹄征服那些懦夫！
普通强盗,100081,见到镇民的时候，就要声称自己是玫瑰团的人！
普通强盗,100082,见到镇民的时候，就要声称自己是玫瑰团的人！
强盗队长,100083,首领说的果然没错，光是靠“玫瑰团”三个字就能吓死他们！
强盗首领,100084,等这次的赎金到了，再用同样的方法干票大的！
幻阵之魂·冰,100085,冰冻的幻阵之魂，迈向毁灭之程吧！
幻阵之魂·火,100086,炽热的幻阵之魂，迈向毁灭之程吧！
幻阵之魂·光,100087,耀眼的幻阵之魂，迈向毁灭之程吧！
幻阵之魂·暗,100088,黯淡的幻阵之魂，迈向毁灭之程吧！
亡魂死徒、亡魂死士,100089,远古意志的哀嚎，途经此地的人，颤抖吧！
黑骑士迪亚,100090,鲜血将唤醒我的魂魄！
狮心魔骑贝恩,100091,消失在永无止境的黑暗中吧！
黑魔巫师,100092,控制了残留的魔神怨魂，我就控制了一切！
,100093,都给我好好巡逻，一只蚂蚁都不能让它爬进来。
,100094,我要认真巡逻了，别说蚂蚁，跳蚤都不会放它进来。
,100095,我要集中注意力，认真巡逻……认真巡逻……
,100096,真正的狼性就是：即使死去，灵魂也会一直咆哮！
,100097,真正的狼性就是：即使死去，灵魂也会一直咆哮！
,100098,没用的人类，在我的脚下颤抖吧！
,100099,你们这些欺负弱小的人类……嘤嘤嘤……
,100100,就让我们安静地生活在这里好吗！
,100101,我是哥布林雇来的保镖，他们真的太可怜了……
,100102,啊啊啊啊谁动我的宝箱我跟谁拼命。
,100103,我就是你们要找的宝藏~来吧~孩子~来吧~
