,id,name
备注,petID,名字
,4012,龙侍法夫纳
,4013,阿噗米修
,4014,神炎之瑟拉菲
,4022,喵灵贝斯忒
,4023,傲兽贝希摩斯
,4024,炽天之基路伯
,4032,守护灵罗慕
,4033,萤夜月狄瓦娜
,4034,翱翔之莱德尔
,4042,重甲卫列奥尼达
,4043,星鳞姬露纱
,4044,食梦之维尔斯
,4052,九头蛇凯迪勒
,4053,虫姬阿拉克涅
,4054,霜龙乌诺拉托
,4062,牧野仙星亚莉洛
,4063,雨妖奥西妮
,4064,炎龙斯蒂拉斯
,4072,鬼灯杰克
,4073,魂响栖泽米那
,4074,永梦·维列斯
,4082,黑穗爵士乔纳森
,4083,骨姬弥兹雅
,4084,圣盾之加兰德
,4092,月影狩艾特妮丝
,4093,肃正王巴巴托斯
,4094,星灵之阿斯莉雅
,4102,星海骑莫赛罗斯
,4103,天穹翼迦楼罗
,4104,蛇发之西丝娜
,4112,跃动者伊希斯
,4113,砂瀑守拉美丝汀
,4114,寒霜之希瓦
,4123,狮皇利奥
,4124,肃灭·芬里尔
,4133,神目切尔纳
,4134,晨晖之奥罗拉
,4143,白翼骑希古纳斯
,4144,沧海之莉特
,4153,狱戒犬柯贝鲁斯
,4154,断罪之绮蒂莎
,4163,堕牙乌波洛斯
,4164,浩瀚·伊维亚
,4173,幻蝶泰拉
,4174,丰饶·库尔坎
,4183,灾亡龙巴哈姆特
,4184,魅惑之玛格丽特
,4193,噬光者妮珂丝
,4194,百鬼之奥加
,4203,幻梦角尤尼科
,4204,幻梦星班尼
,4213,迷宫君主米诺陶
,4214,永恒之迪拉罕
,101164,战神之奥兹
,102164,神辉之安德琳娜
,103164,永堕之法西洛
,104164,万象·欧特基科
,105164,疾风·皮扎兰姆
,106164,暗渊之沃娜
,107164,暗裔之亚卡莎
,108164,森月·莎缇雅
,201164,光耀之伊丝娜
,301164,爆烈之塞斯蒂亚
,302164,荆棘之奥利安瑞
,401164,暗黑·斐基德拉
