,id,des
备注,特性id,描述
,1000,引导提示文字
,1001,点击此处进入建筑
,1002,点击此处进入战斗
,1003,空匕首表示已经施放过的技能
,1004,蓝匕首表示还未施放的技能
,1005,此处会显示敌方场下角色的头像
,1006,左侧的能量条满后会增加一格能量点
,1007,怕迷路？不怕，点击任务栏开启自动寻路，阿噗！
,1008,点击技能1进行<color=#bd4104>连击</color>
,1009,继续施放技能可完成<color=#bd4104>2连击</color>哦!
,1010,点击敌人头像可以查看<color=#bd4104>特性详情</color>
,1011,噗，跟着阿噗君的动作，打开英雄界面。
,1012,点击进入时装界面
,1013,选择一件时装
,1014,已经拥有足够的时装碎片，可以点击解锁
,1015,点击穿戴就可以为英雄替换时装啦
,1016,顺利完成任务了，点击<color=#bd4104>领取奖励</color>吧！阿噗君为你骄傲。
,1017,不要忽视木桶，点击搜查下，阿噗。
,1018,噗，没有找到，不过不要灰心，阿噗君陪你。
,1019,阿噗，也许会在这里呢？我们看一看。
,1020,阿噗噗，找到啦！
,1021,现在离开房间去交给桑妮姐姐吧，阿噗。
,1022,下一步，点击进入育成界面，阿噗！
,1023,消耗此<color=#bd4104>经验球</color>中的经验值可以升级英雄
,1024,阿噗，点击<color=#bd4104>升级×5</color>快速提升英雄等级。
,1025,阿噗君要教新的知识点啦，点击此处打开<color=#bd4104>编队</color>界面。
,1026,然后将温丽酱拖至<color=#bd4104>先锋</color>位置，完成新的编队。是不是很简单？阿噗。
,1027,是不是很想了解道具信息？不急，阿噗君带你 查看<color=#bd4104>道具说明</color>。
,1028,阿噗！阿噗！使用后能提升<color=#bd4104>暴击率</color>，还等什么？用，不要犹豫，噗。
,1029,快使用道具在战斗中试试效果吧
,1030,点击<color=#bd4104>装备</color>分页，别点错了哦，阿噗。
,1031,经验告诉阿噗君，武器很重要，所以先强化武器来提升<color=#bd4104>攻击力</color>。
,1032,强化了武器后，也不要忘了上衣哦，阿噗。
,1033,阿噗，强化上衣可以提升<color=#bd4104>生命上限</color>。一次强化，也许能在重要时刻，救你一命哦。
,1034,点此选择<color=#bd4104>本命</color>分页
,1035,阿噗，戳这里！添加助力本命卡。
,1036,噗噗，快点击阿噗君的小伙伴助力战斗呀！它在战斗中为英雄增加一格<color=#bd4104>奥义</color>呢！
,1037,噗，跟随神秘力量的指引，打开<color=#bd4104>占卜</color>界面。
,1038,摆出正确的姿势，点此进行英雄召唤，阿噗。
,1039,阿噗，阿噗，现在换一种姿势，试试稀有召唤吧！
,1040,获得了新英雄<color=#bd4104>爱琳娜</color>，快去英雄界面看看吧
,1041,阿噗，然后选择装备<color=#bd4104>进阶</color>。
,1042,接下来，要选择<color=#bd4104>进阶材料</color>了，这可是一门大学问。走神的冒险者，要注意啦，阿噗噗。
,1043,如果选择<color=#bd4104>绿色品质</color>的材料，可以将装备进阶至<color=#bd4104>绿品</color>。这个常识想必大家都知道了，阿噗。
,1044,阿噗，武器提升为<color=#bd4104>蓝色品质</color>，你的实力又增强了。阿噗君也为你高兴，噗噗噗~
,1045,阿噗，然后选择装备<color=#bd4104>升星</color>。
,1046,阿噗，材料已经足够了，那么杜绝拖延，马上点击此处提升装备星级吧。
,1047,点此选择<color=#bd4104>助力</color>的本命卡
,1048,准备好了吗？点击选项框就会<color=#bd4104>进入战斗</color>哦，阿噗。
,1049,此处是英雄已经<color=#bd4104>积累</color>的能量
,1050,<color=#bd4104>施放技能</color>或<color=#bd4104>受到伤害</color>都会回复能量
,1051,注意本场战斗有3个敌人
,1052,不同英雄辅助技能效果不同。西蒙的效果是<color=#bd4104>打断攻击</color>。
,1053,阿噗，这节课结束了，点击返回英雄界面吧。
,1054,阿噗，指导到此为止，下次见哦。
,1055,击败首领之后即可<color=#bd4104>退出副本</color>
,1056,阿噗，忘记最关键的一步，一定要<color=#bd4104>保存阵容</color>哦！
,1057,西蒙的奥义消耗一格<color=#bd4104>奥义能量</color>
,1058,点击此处查看<color=#bd4104>技能说明</color>
,1059,2技能带有<color=#bd4104>破甲</color>效果
,1060,4技能可以<color=#bd4104>升级破甲</color>
,1061,了解技能之后点此关闭
,1062,在场上敌人被击败后<color=#bd4104>依次上场</color>
,1063,此处会显示敌人拥有<color=#bd4104>特性</color>
,1064,本命助力的英雄会获得其<color=#bd4104>基础属性加成</color>
,1065,空格子表示敌人<color=#bd4104>施放过的技能</color>
,1066,匕首表示敌人<color=#bd4104>将要施放的技能</color>
,1067,但是，如果选择<color=#bd4104>蓝色品质</color>的材料，装备可以跳过<color=#bd4104>绿品</color>直接进阶至<color=#bd4104>蓝品</color>。是不是很惊喜呀？阿噗。
,1068,噗，学习还没有结束哦！现在来学习本命育成， 提升本命的战力吧！
,1069,听阿噗君的话，升级本命很重要的，阿噗！它不仅可以提升其基础属性，还能为英雄附加属性呢！
,1070,点此提升阿噗的等级
,1071,阿噗君带你参观帝国竞技场。<br>来，打开竞技界面。
,1072,阿噗，仿佛听到了热血沸腾的声音。勇敢的冒险者，进入竞 技场战斗吧！贴心的补充一句，竞技模式为<color=#bd4104>自动VS自动</color>。
,1073,挑战其他玩家提升自己的名次吧！<br><color=#bd4104>虚位以待表示可以直接占据哦</color>
