,id,name,goal,unlock_condition
备注,关卡id,关卡名称,关卡目标,解锁条件
,1,第一关,小狐狸,战技研习系统解锁时解锁（打完莱克护卫后解锁战技研习系统）
,2,第二关,小狐狸,第一关通关后解锁
,3,第三关,兰奇,饿狼巢穴副本结束后解锁
,4,第四关,山岭巨人,玫瑰团驻地副本结束后解锁
,5,第五关,檐鬼、兰奇、乔伊,通关第四关后解锁
,10101,第一关,西蒙,默认解锁
,10102,第二关,西蒙,通关第一关后解锁
,10103,第三关,西蒙,通关第二关后解锁
,20101,第一关,温丽,获得温丽后解锁
,20102,第二关,温丽,通关第一关后解锁
,20103,第三关,温丽,通关第二关后解锁
,30101,第一关,爱琳娜,获得爱琳娜后解锁
,30102,第二关,爱琳娜,通关第一关后解锁
,30103,第三关,爱琳娜,通关第二关后解锁
,10201,第一关,泰雷,获得泰雷后解锁
,10202,第二关,泰雷,通关第一关后解锁
,10203,第三关,泰雷,通关第二关后解锁
,30201,第一关,爱琪,获得爱琪后解锁
,30202,第二关,爱琪,通关第一关后解锁
,30203,第三关,爱琪,通关第二关后解锁
,10301,第一关,兰奇,获得兰奇后解锁
,10302,第二关,兰奇,通关第一关后解锁
,10303,第三关,兰奇,通关第二关后解锁
,10401,第一关,木禅,获得木禅后解锁
,10402,第二关,木禅,通关第一关后解锁
,10403,第三关,木禅,通关第二关后解锁
,10601,第一关,檐鬼,获得檐鬼后解锁
,10602,第二关,檐鬼,通关第一关后解锁
,10603,第三关,檐鬼,通关第二关后解锁
,10701,第一关,夜崎隐,获得夜崎隐后解锁
,10702,第二关,夜崎隐,通关第一关后解锁
,10703,第三关,夜崎隐,通关第二关后解锁
,40101,第一关,乔伊,获得乔伊后解锁
,40102,第二关,乔伊,通关第一关后解锁
,40103,第三关,乔伊,通关第二关后解锁
,10501,第一关,葛莱蒂斯,获得葛莱蒂斯后解锁
,10502,第二关,葛莱蒂斯,通关第一关后解锁
,10503,第三关,葛莱蒂斯,通关第二关后解锁
,10801,第一关,阿德琳,获得阿德琳后解锁
,10802,第二关,阿德琳,通关第一关后解锁
,10803,第三关,阿德琳,通关第二关后解锁
,11201,第一关,米兰达,获得米兰达后解锁
,11202,第二关,米兰达,通关第一关后解锁
,11203,第三关,米兰达,通关第二关后解锁
