,id,hero_id,index,title,content
备注,英雄id拼接档案索引,英雄id,档案索引,标题,内容
,10101,101,1,故事的开始,<line-indent=8em>性格直率的热血少年。身为奥兹家族一员的他，拥有着很强的战斗直觉。而他的目标只有一个，成为帝国第一剑士。
,10102,101,2,奥兹的家训,<line-indent=8em>哥哥曾与我说过，奥兹家族的战士从不妥协。自先辈们接受战神之力的那一刻起，我们的家族便世代奉正义为宗旨。虽然很多仅存的奥兹族人早已不问世事，但只要我们奥兹家族存在于世上，便绝不会姑息世界万恶。<br>……一直以来，哥哥都是如此教导我。虽然我老是表现得心不在焉，但我其实都听进去了，真的都听进去了。我坚信，他是绝对不会背叛帝国的。<br>……回想起来，在哥哥消失的那天，我在他的房间里找到了一封不祥的信函，上面充斥着魔族的气息，而且使用了各种方法都无法打开。哥哥他……不会的，不会的，哥哥一定是清白的，整件事情中肯定存在着一些误会。
,10103,101,3,南瓜饼,<line-indent=8em>“呼！呼！很久没有吃到我最爱的南瓜饼了，不知道这一家的南瓜饼做得如何呢？……啊！”<br>话音未落，沿着湖边走的西蒙一不留神，便将手中那热腾腾的美食丢到了湖泊中。失落的情绪油然而生，毕竟他可是一口都未吃到，心中不免充满惋惜之意。但是，他很快地便振作了起来。<br>“虽然发生了这样的意外，但细想一下，这南瓜饼绝无可能做得比哥哥所做的好吃，我何必失落呢？还是快点找到他，让他做更多好吃的南瓜饼给我，以作为补偿，哼！”<br>霎那之间，静止的湖面翻起了汹涌的波浪。在耀眼的光芒中，一位貌如天仙的女神从湖中浮现出来，紧闭的双眼没有一丝要张开的意思。<br>“少年，请问……”<br>未等到女神把话说完，目瞪口呆的西蒙便马不停蹄地转身离去，故作镇定的他没有丝毫的打算要去理解眼前这无稽的现象。然而，在他转身的一瞬间，不知何时睁开了双眼的女神早已站在了他的身前。<br>“少年，请问刚才你所掉落水中的，是这样金南瓜饼，还是这个银南瓜饼，亦或是这个普通的南瓜饼呢？”<br>西蒙的脑海中一片空白，他可从没有遇到过这么诡异的情况。遵从着本能的反应下，他伸出了手指并指向那普通的南瓜饼。<br>“我很高兴你如此诚实，那么作为奖励，我将这一个普通的南瓜饼归还给你吧！”伴随着话音的落下，眼前的女神消失得无影无踪，剩下西蒙手里那被泡得发胀的南瓜饼。<br>“这南瓜饼都被泡成呕吐物了，你倒是给我一个新的啊……看着它，不禁让我想起了哥哥所做的其他料理。哈哈！为什么他只会做南瓜饼啊？”
,10104,101,4,奥兹古典,<line-indent=8em>在昏暗的地下书库中，一名黄发少年在左右踱步。他拍了拍手中那满是灰尘的书籍，徐徐地翻开了这本破旧得都看不清书名的老东西。<br>“人类，世间最为弱小的种族。他们的存在既脆弱又无力，能存在于世间实乃天下最不可思议的奇迹。或许，正是人类的这种弱小，塑造出他们那卑微却坚韧的天性。不拘泥于自身能力卑微而胸怀大志的人类，吾欣赏这种追求强大力量的意志，故将授予信奉吾的战士们‘量化之力’，成年者将获得无上力量，后人亦然。辅以此书，假以时日必为人间战神，战无不胜。谨记吾名，吾乃奥……”<br>黄发少年突然将书盖上，百无聊赖地将它扔到一边，满脸困惑地离开了书库。<br>“这本书的作者到底是谁啊？净是一些胡言乱语，实在搞笑。我自四岁便掌握了‘量化之力’，那需要等到成年呢？通篇下来无聊至极，同时用的又是晦涩难懂的远古文字，估计也只有哥哥能有耐性将它看完吧！”<br>书库的门在一声巨响下，重新关上了。而那本古老的书籍，也将回归到一片尘埃之中。
,10105,101,5,帝国第一剑士,<line-indent=8em>“西蒙，你好像从来没有喊错过我们的名字，但怎么老是将别人的名字喊错呢？”走在路上的温丽突然回头，饶是困惑地问道。<br>“有吗？不过大家的名字实在难记，所以我喊错也没什么大不了的吧！”<br>“才不是呢！我看你绝对是故意的，就是用这一招来刺激别人。”<br>“切！这哪有不好。凭良心说，你不是一下子便将史莱克和梅子女巫记住了吗？”<br>“喂！你这是狡辩。”生气的少女脸颊鼓得像包子一般。<br>在打闹之中，西蒙的思绪逐渐陷入到回忆当中。这，是一个他埋藏在内心深处的小秘密。<br>宫殿之中，顶着黄头发的小小身影静静地站在大人们的身边，而他的哥哥正得心应手地与各个达官贵人打着交道。心情低落的他悄悄地逃到了后花园，一个人沉默不语地坐在长椅上。<br>“你竟敢占据本大小姐的专属座位！”<br>突如其来的一个稚嫩女声在黄发男孩耳边响起，但心情低落的他并没有予以理会。<br>“你……你怎么能无视本大小姐！把你的名字告诉我，我要向爷爷告状，让他来好好地批评你这个没礼貌的家伙！”<br>“……西蒙。”黄发男孩低声地回答。<br>“什么？西瓜吗？哈哈，怎么会有人叫西瓜啊！不过，我看你老是苦着一张脸，要不叫苦瓜还更好呢！”说完，小女孩便转过身，蹦蹦跳跳地离去，兴许是去找她爷爷了。<br>面对小女孩的调侃，小西蒙有些生气地抬起了头。映入他眼中的，是一个灵动的女孩背影。她一蹦一跳的，阳光活泼。看着眼前的小身影终于消失了，他小小的内心中却萌生了一种说不出的怪异感觉，而自己的脸颊则烫得跟刚出炉的南瓜饼似的。<br>“苦瓜吗？……呸！我才不是苦瓜呢！对了，我一定要变得更加厉害。总有一天，我会让所有人都记着我的名字。”再次抬起头的小西蒙，一扫先前的阴霾，眼中只剩下坚定的光彩。
,10106,101,6,要塞一别,<line-indent=8em>“兰奇，快带上西蒙和其他的族人离开这里。”战火四起的要塞中，仪容凌乱且满脸鲜血的西蒙父亲督促着身后的兰奇，让他马上带着仍在熟睡中的西蒙逃离此地。<br>“父亲，我……”<br>“兰奇，你和西蒙可是我的儿子，会处理好一切的。快走吧！”西蒙父亲举起了手中的剑刃，一个转身斩落了身后的魔族。孤身一人的他居然以一己之力便暂缓了魔族大军的攻势。但眼看更多的魔族攻入要塞，绝望的降临也只是在顷刻之间……<br>朦胧之中，快到四岁的西蒙感觉到一阵又一阵的水滴滑落在自己的脸颊。仍被睡意笼罩着的他睁开了双眼，出现在眼前的正是泛着泪光的兰奇。兰奇紧抱着西蒙，不停地向前跑着，身边更是伴随着大批一同逃亡的同伴。<br>“哥哥，你怎么哭了？”<br>“我没有，只是有点困了。”<br>“哈哈，才不是呢！哥哥是爱哭鬼，比西蒙还爱哭。我们现在是去哪里呀？怎么大家都不停地在跑呀？爸爸呢？爸爸去哪里了呀？”<br>“父亲他……因为有人侦查到北方有魔族的踪影，父亲带着大军北上围剿，可能需要费时多日，所以我们就先行返回皇城。”<br>“噢！爸爸他最棒了。不过我快要生日了，希望爸爸能来得及回来吧！”<br>“……他会的，西蒙你先睡吧！这段路，还需要一段距离才能到呢！”<br>随着兰奇的哄骗，满脸幸福的西蒙慢慢地回到了梦境中。
,10201,102,1,故事的开始,<line-indent=8em>具军人忠诚果敢的特质，是一个能力强大且秉性正直的军官。高度的敬业精神，让他一旦下决心就会全力投入，哪怕需要献出自己的性命。
,10202,102,2,说来就来,<line-indent=8em>“立正，敬礼！”军事操场上的新兵整齐地排列在一起，而他们的军官威严端庄地走到他们的面前。<br>“小雏鸟们，我便是你们在这里的首领。我的指示不容你们反抗，我的命令你们必须执行。听到了吗？”<br>“现在，五百下俯卧撑，十分钟内完成。”在这名军官的命令下，众多新兵立马伏了下去。军官慵懒地吸了一口手上的古尔尼雪茄，抬头却看到一名绑着单马尾的白发少年站了起来。<br>“那边的雏鸟，你是在挑战我的条规吗？实在胆大包天，给我报上你的名字。”<br>“报告长官，我的名字叫泰雷。”<br>“泰雷？司法部副部长的儿子？……我管你老子是谁，居然敢当众违背我的命令，我不要脸的吗？给我立马再来一千下俯卧撑”盛怒的军官拔出了手中的剑指着泰雷，以示自己的决然。<br>“是的，长官。”一声令下，泰雷便迅速地开始了俯卧撑。<br>雪茄从军官的嘴中掉下，哒的一声落在地上。合不拢嘴的他看着眼前的白发少年以疯狂的速度完成着俯卧撑，且每一个动作都是如此的完美标准。这时，他才反应过来，这名少年并非未遵照他的命令，而是在他点烟的片刻便已将五百个俯卧撑完成了。<br>“怪……怪物吗？”吃惊的军官忍不住惊呼了一声。而完成了一千个俯卧撑的泰雷站了起来，略带气喘地擦掉了自己额头上的汗。<br>“报告长官，一千个俯卧撑已经完成，你认为有需要再来一千个吗？”泰雷严肃但略带愤怒地回答着。军官显然未从震惊中缓和过来，连忙蹲下来捡起了地上雪茄并多抽了几口，以暂时平复自己那无所适从的心情。
,10203,102,3,粉丝后援会,<line-indent=8em>在中央藏书室中，阳光直射在窗边角落的位子上，一名衣着端庄的白发男子端坐在那里。他身着一身轻甲，坐姿挺拔，细阅着手中的那本兵书。虽然他的相貌并没有多么出类拔萃，但完美的身材比例与遮挡不住的英气，让经过的少女都会有意无意地偷看他几眼。<br>“听说他就是新晋的军官，叫泰雷，还是司法部副部长的儿子……”<br>“不止有实力，还是官二代，据说性格还非常可爱……”<br>“他怎么可以这么帅啊！完了，怎么办，我明明已经有男朋友了，可是我的心已经悬在他身上了……对了，要不我们组一个后援会吧！”<br>正当她们一言一语时，坐在一旁戴着眼镜的女孩显然因自己的阅读时间被打扰到而感到十分的不悦。<br>“你们这群花痴，他到底有什么帅啊！不过是个靠关系的……”她的话都还没有说完，在远处的泰雷便笔直地朝她们走了过来。<br>“小姐们，虽然不知道你们在讨论些什么，但在藏书室还是应该保持安静，不然骚扰到别人可就不好了。”泰雷显然没有听到她们先前的谈话内容，只是出于规章的遵守而前来提醒一下。但他不知道，这些女生心中欢喜得几乎岔气，张大的嘴巴无法发出任何的声音。<br>正打算回头的泰雷刚好看到眼镜女孩桌上的那本书，顿时感到有点小惊讶。“没想到居然也有人在看这本书，它可是非常冷门的。不过，它非常有内涵，是我最喜爱的书籍之一。”<br>随即，泰雷没有再作过多的停留便回到了自己的座位上。刚才还在嘲讽的他的眼镜女孩，看着泰雷却发现他的周围居然多了许多爱心泡泡，而自己的心跳也前所未有的狂奔，那是一个近乎缺氧的状态。<br>“那个，刚才我是疯了吧！他那么完美，我居然还说他的坏话。姐妹们，我错了。我觉得你们说得对，我们必须尽快成立泰雷后援会！”
,10204,102,4,月黑风高夜,<line-indent=8em>月黑风高，夜阑人静，城市中的角落总是伴随着隐秘与危险。在看不见的暗处，不断传来阵阵杂乱的脚步声，但在片刻间便愕然停止，剩下虫鸣蛙叫。<br>泰雷独自提着灯笼，在渺无人烟的小巷中穿梭巡逻。虽然他早已晋升为军官，但事无大小都依然亲力亲为，力求尽善尽美。<br>“嗯，很好，一切安然。”泰雷终于完成了今天的巡逻，正准备打道回府。就在这个时候，铺天满地的短剑凭空出现，笼罩着泰雷所有可以逃离的方向。身陷如此大量的短剑中，任谁被击中都不可能安然无恙的，所以坠落的短剑理所当然地把泰雷打了个稀烂。<br>灯笼在地上滚动，剩下点点的细光在顽强地坚持。火光晃动，数十道黑影从暗处中浮现出来。完成了任务的他们可没有打算继续逗留，一声低语后便准备离去。<br>“你们是帝国的奸细吗？说，到底是谁派你们来的。”<br>火光熄灭，突然掠过了一阵旋风，两把尖长的剑刃架在刺客头领的喉咙上。原来，面对着这致命的袭击，他迅速地在地上砸一个洞来躲过剑雨，只留下破碎的外衣作为障眼法。<br>“我是不会说的，你就算把我……是，是贵族们联合起来雇用了我们。”<br>本来还想嘴硬的刺客，看到剑刃确切地没入自己的喉咙中，连忙全都招了出来。<br>“贵族吗？那必然是由于我对他们进行违法调查的缘故。回去告诉你们的主子，让他们别再做什么小动作了。否则，我为了维护帝国的正义，可不介意亲自招呼他们，让他们身首分离。”<br>对于泰雷的强大有了亲身的体会，刺客们再也不敢造次，连滚带爬地逃跑了。
