,id,name,desc
备注,id,名字,描述
,1001,遮天之目,使用变身魔药能达到迷惑叛军守卫的效果。
,100101,碎甲,物理防御降低5%
,100301,重击增幅,下个技能伤害额外提升40%
,100701,玫瑰之舞,所有技能额外造成30%无视防御的伤害
,100801,裂伤,持续损失生命值
,100901,荆棘结界,反弹30%伤害
,101001,缠绕,无法使用辅助技和进行援护
,101201,地狱枷锁,无法进行援护
,101301,魅惑,命中率降低10%
,101801,征伐,将敌方10%攻击力转化为自身物理攻击力。
,101901,灼烧,持续损失生命值
,102001,寒风,奥义值恢复量降低50%
,102101,虚弱,攻击力降低5%
,102201,刃卫,格挡率提升20%
,102301,聚能,每次攻击恢复200点奥义值
,102401,诅咒,受治疗量降低100%
,102501,闪避,闪避率提升10%
,102601,暗香,伤害提升10%
,102701,迷惑,攻击力降低5%
,102801,暗黑之魂,魔法防御降低1点
,102901,沉蓄,技能2获得护盾提升100%，其余技能伤害提升50%
,103001,噬刃,使用技能2、3将重置技能1，并使伤害提升30%
,103101,暴击,暴击率提升30%
,103201,暴击增幅,暴击伤害提升30%
,103301,震慑,无法进行援护
,103401,封狩·Ⅰ,技能1无法使用
,103501,封狩·Ⅱ,技能2无法使用
,103601,封狩·Ⅲ,技能3无法使用
,103701,封狩·Ⅳ,技能4无法使用
,103801,黑暗,命中率与闪避率降低10%
,103901,弱点强袭,下个技能的暴击率额外提升30%
,104001,精确打击,所有攻击的暴击率提升5%
,104101,翼刃之刻,单体技能暴击时，对场下的敌方造成一半伤害
,104501,重击增幅,重击增幅
,200101,焰火祭典,可使技能4的火球数目增加
,200201,猩红之痕,持有裂伤状态时，所受攻击伤害降低10%
,200301,侵蚀之痕,每拥有一个负面状态，伤害提升10%
,200401,炼狱之痕,自身治疗量降低100%，所有技能伤害提升20%
,200501,生命印记,每层使治疗效果提升3%。
,200901,暗龙印记,可使乔伊的所有技能触发额外效果
,201001,奥兹刻痕,物理攻击与物理防御提升5%
,201101,寒霜祭典,每层使暴击率提升10%
,201201,暗黑之魂,物理防御提升1%
,201202,暗黑之魂,物理防御提升2%
,201203,暗黑之魂,物理防御提升5%
,201301,飞镖印记,每5层造成1次50%无视防御的伤害
,201303,飞镖印记,每5层造成1次75%无视防御的伤害并回复生命值
,201401,“风”,可使夜崎隐的技能1和技能4触发额外效果
,201501,“林”,可使夜崎隐的技能2和技能4触发额外效果
,201601,“火”,可使夜崎隐的技能3和技能4触发额外效果
,201701,“山”,可使夜崎隐的技能3和技能4触发额外效果
,201801,熊喵印章,每层使暴击率提升3%。
,300001,风之箭矢,葛莱蒂丝使用技能1、技能3与奥义技时所需
,400101,减伤·Ⅰ,物理防御与魔法防御提升200点
,400102,减伤·Ⅰ,物理防御与魔法防御提升350点
,400103,减伤·Ⅰ,物理防御与魔法防御提升500点
,400104,减伤·Ⅰ,物理防御与魔法防御提升700点
,400105,减伤·Ⅰ,物理防御与魔法防御提升1000点
,400201,减伤·Ⅱ,物理防御与魔法防御提升5%
,400202,减伤·Ⅱ,物理防御与魔法防御提升7%
,400203,减伤·Ⅱ,物理防御与魔法防御提升9%
,400204,减伤·Ⅱ,物理防御与魔法防御提升12%
,400205,减伤·Ⅱ,物理防御与魔法防御提升15%
,400301,减伤·Ⅲ,伤害减免提升10%
,400302,减伤·Ⅲ,伤害减免提升14%
,400303,减伤·Ⅲ,伤害减免提升18%
,400304,减伤·Ⅲ,伤害减免提升23%
,400305,减伤·Ⅲ,伤害减免提升28%
,400401,禁锢,无法进行援护
,400402,禁锢,无法进行援护
,400403,禁锢,无法进行援护
,400404,禁锢,无法进行援护
,400405,禁锢,无法进行援护
,400501,蓄力,伤害加成提升10%
,400502,蓄力,伤害加成提升12%
,400503,蓄力,伤害加成提升15%
,400504,蓄力,伤害加成提升18%
,400505,蓄力,伤害加成提升22%
,410101,仇焰,每层使暴击率提升1%
,410102,仇焰,每层使暴击率提升1%
,410103,仇焰,每层使暴击率提升1%
,410201,腐化,持续损失一定生命值
,410202,腐化,持续损失一定生命值
,410203,腐化,持续损失一定生命值
,410301,怒斩,伤害加成提升1%
,410302,怒斩,伤害加成提升2%
,410303,怒斩,伤害加成提升3%
,500301,蚀甲,物理防御与魔法防御降低10%
,500401,封绝,无法使用奥义技
,500402,封绝,无法使用奥义技
,500501,暴烈,暴击率提升10%，暴击伤害提升30%
,500502,怒烈,暴击率提升100%
,500601,守护,伤害减免提升8%
,500602,守卫,伤害减免提升50%
,500701,救疗,使用技能时，恢复5%生命值
,501001,格挡,格挡率提升20%
,501101,弱化,伤害降低10%
,501201,烈刃,物理攻击提升20%
,501301,魔爆,魔法攻击提升20%
,501401,抵抗,暴击抵抗率提升100%
,502401,偷袭,物理防御与魔法防御降低10%
,600004,重击累加,伤害加成提升20%
,600101,测试模式,测试用，攻防提高10倍
,700001,狂烈,暴击率提升100%
,700002,重击累加,伤害加成提升20%
,700003,重击增幅,伤害加成提升20%
,700004,裂伤,持续损失生命值
,700005,重击增幅,伤害加成提升20%
,700006,眩晕,无法行动与进行援护
,700007,蚀饮,进行攻击时，可恢复等同伤害20%的生命值。
,700011,团结之力,伤害加成提升20%
,700012,团结之力,伤害加成提升40%
,700013,团结之力,伤害加成提升60%
,700014,团结之力,伤害加成提升80%
,700015,团结之力,伤害加成提升100%
,700101,尖锋时刻,伤害提升20%，受到伤害降低20%
,700201,腐化,持续损失生命值
,700301,致命腐化,持续损失较多生命值
,800001,麻痹,技能冷却时间增加
,800002,守佑,伤害减免提升95%
,800003,地狱枷锁,无法进行援护
,800004,眩晕,无法行动与进行援护
,800005,裂伤,持续损失生命值
,800006,腐化,持续损失生命值
,800007,无力,物理攻击与魔法攻击降低50%
,800008,眩晕,无法行动与进行援护
,800009,麻痹,技能冷却时间增加
,800010,守佑,伤害减免提升95%
,800011,裂伤,持续损失生命值
,800012,封印,所有攻击技与辅助技无法使用
,800013,坚壁,抵消受到的1次攻击的绝大部分伤害
,800014,矢量引导,降低受到的物理伤害50%
,800015,魔力偏移,降低受到的魔法伤害50%
,800016,决战,伤害提升50%，受到伤害降低30%
,800017,岚闪,每层使闪避率提升10%
,800018,狂猎,每层使暴击率提升10%，暴击伤害提升30%
,800019,绞噬,受到的伤害反弹200%
,800020,转噬,受到的伤害由双方均摊
