,required,optional,optional,optional,optional,optional,repeated,repeated,optional
,uint32,string,string,string,uint32,string,uint32,uint32,uint32
,id,headPath,normalHalfPath,live_path,default_face,twinkle_que,related_persons,related_type,area_id
备注,id,标准头像,标准半身像,Live2D预制体资源的路径,默认表情id,眨眼twinkle的序列，使用LiveTwinkle表中的Id拼成数组实现,图鉴npc关系id,图鉴npc关系类型,所属片区id
,100,Textures/Atlas/Dyn/CharacterCommonHead/Lancy.png,Textures/Atlas/Dyn/CharacterHalfBody/Lancy.png,,0,,0,0,0
西蒙,101,Textures/Atlas/Dyn/CharacterCommonHead/simone.png,Textures/Atlas/Dyn/CharacterHalfBody/Simonnewe.png,,100101,,0,0,0
泰雷,102,Textures/Atlas/Dyn/CharacterCommonHead/Thairay.png,Textures\Atlas\Dyn\CharacterHalfBody\Thairay.png,,0,,0,0,0
兰奇黑,103,Textures/Atlas/Dyn/CharacterCommonHead/LancyBlack.png,Textures\Atlas\Dyn\CharacterHalfBody\LancyBlack.png,,0,,0,0,0
,104,Textures/Atlas/Dyn/CharacterCommonHead/Muchan.png,Textures/Atlas/Dyn/CharacterHalfBody/Muchan.png,,0,,0,0,0
,105,Textures/Atlas/Dyn/CharacterCommonHead/Arwen.png,Textures/Atlas/Dyn/CharacterHalfBody/Arwenthinks.png,npc_geilaidisi,134002,,0,0,0
,106,Textures/Atlas/Dyn/CharacterCommonHead/Aghost.png,Textures/Atlas/Dyn/CharacterHalfBody/Aghost.png,,0,,0,0,0
,107,Textures/Atlas/Dyn/CharacterCommonHead/Cain.png,Textures/Atlas/Dyn/CharacterHalfBody/Cain.png,,0,,0,0,0
,108,Textures/Atlas/Dyn/CharacterCommonHead/Druid.png,Textures/Atlas/Dyn/CharacterHalfBody/Druid.png,,0,,0,0,0
,111,Textures/Atlas/Dyn/CharacterCommonHead/DiLuoZan.png,Textures\Atlas\Dyn\CharacterHalfBody\DiluoZan.png,,0,,0,0,0
,112,Textures/Atlas/Dyn/CharacterCommonHead/Miaer.png,Textures/Atlas/Dyn/CharacterHalfBody/Miranda.png,,0,,0,0,0
,113,Textures/Atlas/Dyn/CharacterCommonHead/Natana.png,Textures\Atlas\Dyn\CharacterHalfBody\NaTaNa.png,,0,,0,0,0
