,required,required
,int32,int32
,id,target_skip
备注,目标id,跳转id
拥有X个英雄,1010000,201
拥有X个英雄,1010001,201
拥有X个英雄,1010002,201
拥有X个英雄,1010003,201
拥有X个英雄,1010004,201
拥有X个英雄,1010005,201
X个英雄达到Y级,1010006,100000
X个英雄达到Y级,1010007,100000
X个英雄达到Y级,1010008,100000
X个英雄达到Y级,1010009,100000
X个英雄达到Y级,1010010,100000
X个英雄达到Y级,1010011,100000
X个英雄达到Y级,1010012,100000
X个英雄达到Y级,1010013,100000
X个英雄达到Y级,1010014,100000
X个英雄达到Y级,1010015,100000
X个英雄达到Y级,1010016,100000
X个英雄达到Y级,1010017,100000
X个英雄达到Y级,1010018,100000
X个英雄达到Y级,1010019,100000
X个英雄达到Y级,1010020,100000
X个英雄达到Y级,1010021,100000
X个英雄达到Y级,1010022,100000
X个英雄达到Y级,1010023,100000
X个英雄达到Y级,1010024,100000
X个英雄达到Y级,1010025,100000
X个英雄达到Y级,1010026,100000
X个英雄达到Y级,1010027,100000
X个英雄达到Y级,1010028,100000
X个英雄达到Y级,1010029,100000
X个英雄达到Y级,1010030,100000
X个英雄达到Y级,1010031,100000
X个英雄达到Y级,1010032,100000
X个英雄达到Y级,1010033,100000
X个英雄达到Y级,1010034,100000
X个英雄达到Y级,1010035,100000
X个英雄达到Y级,1010036,100000
X个英雄达到Y级,1010037,100000
X个英雄达到Y级,1010038,100000
X个英雄达到Y级,1010039,100000
X个英雄达到Y级,1010040,100000
X个英雄突破到Y阶,1010041,100001
X个英雄突破到Y阶,1010042,100001
X个英雄突破到Y阶,1010043,100001
X个英雄突破到Y阶,1010044,100001
X个英雄突破到Y阶,1010045,100001
X个英雄突破到Y阶,1010046,100001
X个英雄突破到Y阶,1010047,100001
X个英雄突破到Y阶,1010048,100001
X个英雄突破到Y阶,1010049,100001
X个英雄突破到Y阶,1010050,100001
X个英雄突破到Y阶,1010051,100001
X个英雄突破到Y阶,1010052,100001
X个英雄突破到Y阶,1010053,100001
X个英雄突破到Y阶,1010054,100001
X个英雄突破到Y阶,1010055,100001
X个英雄突破到Y阶,1010056,100001
X个英雄突破到Y阶,1010057,100001
X个英雄突破到Y阶,1010058,100001
X个英雄突破到Y阶,1010059,100001
X个英雄突破到Y阶,1010060,100001
X个英雄亲密度达到Y段,1010061,100007
X个英雄亲密度达到Y段,1010062,100007
X个英雄亲密度达到Y段,1010063,100007
X个英雄亲密度达到Y段,1010064,100007
X个英雄亲密度达到Y段,1010065,100007
X个英雄亲密度达到Y段,1010066,100007
X个英雄亲密度达到Y段,1010067,100007
X个英雄亲密度达到Y段,1010068,100007
X个英雄亲密度达到Y段,1010069,100007
X个英雄亲密度达到Y段,1010070,100007
X个英雄亲密度达到Y段,1010071,100007
X个英雄亲密度达到Y段,1010072,100007
X个英雄亲密度达到Y段,1010073,100007
X个英雄亲密度达到Y段,1010074,100007
X个英雄亲密度达到Y段,1010075,100007
X个英雄亲密度达到Y段,1010076,100007
X个英雄亲密度达到Y段,1010077,100007
X个英雄亲密度达到Y段,1010078,100007
X个英雄亲密度达到Y段,1010079,100007
X个英雄亲密度达到Y段,1010080,100007
X个英雄亲密度达到Y段,1010081,100007
X个英雄亲密度达到Y段,1010082,100007
X个英雄亲密度达到Y段,1010083,100007
X个英雄亲密度达到Y段,1010084,100007
X个英雄亲密度达到Y段,1010085,100007
X个英雄的4件装备强化到Y级,1010086,100002
X个英雄的4件装备强化到Y级,1010087,100002
X个英雄的4件装备强化到Y级,1010088,100002
X个英雄的4件装备强化到Y级,1010089,100002
X个英雄的4件装备强化到Y级,1010090,100002
X个英雄的4件装备强化到Y级,1010091,100002
X个英雄的4件装备强化到Y级,1010092,100002
X个英雄的4件装备强化到Y级,1010093,100002
X个英雄的4件装备强化到Y级,1010094,100002
X个英雄的4件装备强化到Y级,1010095,100002
X个英雄的4件装备强化到Y级,1010096,100002
X个英雄的4件装备强化到Y级,1010097,100002
X个英雄的4件装备强化到Y级,1010098,100002
X个英雄的4件装备强化到Y级,1010099,100002
X个英雄的4件装备强化到Y级,1010100,100002
X个英雄的4件装备强化到Y级,1010101,100002
X个英雄的4件装备强化到Y级,1010102,100002
X个英雄的4件装备强化到Y级,1010103,100002
X个英雄的4件装备强化到Y级,1010104,100002
X个英雄的4件装备强化到Y级,1010105,100002
X个英雄的4件装备强化到Y级,1010106,100002
X个英雄的4件装备强化到Y级,1010107,100002
X个英雄的4件装备强化到Y级,1010108,100002
X个英雄的4件装备强化到Y级,1010109,100002
X个英雄的4件装备强化到Y级,1010110,100002
X个英雄的4件装备强化到Y级,1010111,100002
X个英雄的4件装备强化到Y级,1010112,100002
X个英雄的4件装备强化到Y级,1010113,100002
X个英雄的4件装备强化到Y级,1010114,100002
X个英雄的4件装备强化到Y级,1010115,100002
X个英雄的4件装备强化到Y级,1010116,100002
X个英雄的4件装备强化到Y级,1010117,100002
X个英雄的4件装备强化到Y级,1010118,100002
X个英雄的4件装备强化到Y级,1010119,100002
X个英雄的4件装备强化到Y级,1010120,100002
X个英雄的4件装备强化到Y级,1010121,100002
X个英雄的4件装备强化到Y级,1010122,100002
X个英雄的4件装备强化到Y级,1010123,100002
X个英雄的4件装备强化到Y级,1010124,100002
X个英雄的4件装备强化到Y级,1010125,100002
X个英雄的4件装备强化到Y级,1010126,100002
X个英雄的4件装备强化到Y级,1010127,100002
X个英雄的4件装备强化到Y级,1010128,100002
X个英雄的4件装备强化到Y级,1010129,100002
X个英雄的4件装备强化到Y级,1010130,100002
X个英雄的4件装备强化到Y级,1010131,100002
X个英雄的4件装备强化到Y级,1010132,100002
X个英雄的4件装备强化到Y级,1010133,100002
X个英雄的4件装备强化到Y级,1010134,100002
X个英雄的4件装备强化到Y级,1010135,100002
X个英雄的4件装备强化到Y级,1010136,100002
X个英雄的4件装备强化到Y级,1010137,100002
X个英雄的4件装备强化到Y级,1010138,100002
X个英雄的4件装备强化到Y级,1010139,100002
X个英雄的4件装备强化到Y级,1010140,100002
X个英雄的4件装备强化到Y级,1010141,100002
X个英雄的4件装备强化到Y级,1010142,100002
X个英雄的4件装备强化到Y级,1010143,100002
X个英雄的4件装备强化到Y级,1010144,100002
X个英雄的4件装备强化到Y级,1010145,100002
X个英雄的4件装备强化到Y级,1010146,100002
X个英雄的4件装备强化到Y级,1010147,100002
X个英雄的4件装备强化到Y级,1010148,100002
X个英雄的4件装备强化到Y级,1010149,100002
X个英雄的4件装备强化到Y级,1010150,100002
X个英雄的4件装备强化到Y级,1010151,100002
X个英雄的4件装备强化到Y级,1010152,100002
X个英雄的4件装备强化到Y级,1010153,100002
X个英雄的4件装备强化到Y级,1010154,100002
X个英雄的4件装备强化到Y级,1010155,100002
X个英雄的4件装备强化到Y级,1010156,100002
X个英雄的4件装备强化到Y级,1010157,100002
X个英雄的4件装备强化到Y级,1010158,100002
X个英雄的4件装备强化到Y级,1010159,100002
X个英雄的4件装备强化到Y级,1010160,100002
战斗称号成就,1010161,0
战斗称号成就,1010162,0
战斗称号成就,1010163,0
战斗称号成就,1010164,0
战斗称号成就,1010165,0
战斗称号成就,1010166,0
战斗称号成就,1010167,0
战斗称号成就,1010168,0
战斗称号成就,1010169,0
战斗称号成就,1010170,0
战斗称号成就,1010171,0
战斗称号成就,1010172,0
战斗称号成就,1010173,0
战斗称号成就,1010174,0
战斗称号成就,1010175,0
战斗称号成就,1010176,0
战斗称号成就,1010177,0
战斗称号成就,1010178,0
战斗称号成就,1010179,0
速递称号成就,1010180,201
速递称号成就,1010181,201
速递称号成就,1010182,201
速递称号成就,1010183,201
速递称号成就,1010184,201
干劲称号成就,1010185,0
X个英雄的4件装备升到Y阶,1010196,100004
X个英雄的4件装备升到Y阶,1010197,100004
X个英雄的4件装备升到Y阶,1010198,100004
X个英雄的4件装备升到Y阶,1010199,100004
X个英雄的4件装备升到Y阶,1010200,100004
X个英雄的4件装备升到Y阶,1010201,100004
X个英雄的4件装备升到Y阶,1010202,100004
X个英雄的4件装备升到Y阶,1010203,100004
X个英雄的4件装备升到Y阶,1010204,100004
X个英雄的4件装备升到Y阶,1010205,100004
X个英雄的4件装备升到Y阶,1010206,100004
X个英雄的4件装备升到Y阶,1010207,100004
X个英雄的4件装备升到Y阶,1010208,100004
X个英雄的4件装备升到Y阶,1010209,100004
X个英雄的4件装备升到Y阶,1010210,100004
X个英雄的4件装备升到Y阶,1010211,100004
X个英雄的4件装备升到Y阶,1010212,100004
X个英雄的4件装备升到Y阶,1010213,100004
X个英雄的4件装备升到Y阶,1010214,100004
X个英雄的4件装备升到Y阶,1010215,100004
技能最高到达X级,1010216,100005
技能最高到达X级,1010217,100005
技能最高到达X级,1010218,100005
技能最高到达X级,1010219,100005
技能最高到达X级,1010220,100005
X个英雄5个技能均达到Y级,1010221,100005
X个英雄5个技能均达到Y级,1010222,100005
X个英雄5个技能均达到Y级,1010223,100005
X个英雄5个技能均达到Y级,1010224,100005
X个英雄5个技能均达到Y级,1010225,100005
X个英雄5个技能均达到Y级,1010226,100005
X个英雄5个技能均达到Y级,1010227,100005
X个英雄5个技能均达到Y级,1010228,100005
X个英雄5个技能均达到Y级,1010229,100005
