,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,shop_type,award_id,item_type,money_type,money_id,price,limit_amount,weight
备注,ID,商城类型,奖励id,商品ID,货币类型,消耗货币ID,售价,限购个数,权重
,1,2,1,2110001,3,0,8,50,1
,2,2,2,2120013,3,0,40,20,1
,3,2,3,2110102,3,0,24,40,1
,4,2,3,2110202,3,0,24,20,1
,5,2,3,2110302,3,0,24,20,1
,6,2,3,2110402,3,0,24,20,1
,7,2,3,2110502,3,0,24,20,1
,8,2,4,2120102,3,0,80,10,1
,9,2,4,2120202,3,0,80,10,1
,10,2,4,2120302,3,0,80,10,1
,11,2,4,2120402,3,0,80,10,1
,12,2,5,420013,3,0,350,2,2
,13,2,5,420014,3,0,700,1,1
,14,2,6,2110002,3,0,80,10,1
,15,2,7,2120014,3,0,240,5,1
,16,2,8,2110103,3,0,96,20,3
,17,2,8,2110203,3,0,96,10,3
,18,2,8,2110303,3,0,96,10,3
,19,2,8,2110403,3,0,96,10,3
,20,2,8,2110503,3,0,96,10,3
,21,2,9,2120103,3,0,240,10,3
,22,2,9,2120203,3,0,240,10,3
,23,2,9,2120303,3,0,240,10,3
,24,2,9,2120403,3,0,240,10,3
,44,7,1,2000054,9,0,500,2,2
,45,7,1,2000064,9,0,1200,1,1
,46,7,2,2011021,9,0,80,20,2
,47,7,2,2012021,9,0,80,20,2
,48,7,2,2013021,9,0,80,20,2
,49,7,2,2014021,9,0,80,20,2
,50,7,2,2011032,9,0,160,10,1
,51,7,2,2012032,9,0,160,10,1
,52,7,2,2013032,9,0,160,10,1
,53,7,2,2014032,9,0,160,10,1
,54,7,3,2021021,9,0,80,20,2
,55,7,3,2022021,9,0,80,20,2
,56,7,3,2023021,9,0,80,20,2
,57,7,3,2024021,9,0,80,20,2
,58,7,3,2021032,9,0,160,10,1
,59,7,3,2022032,9,0,160,10,1
,60,7,3,2023032,9,0,160,10,1
,61,7,3,2024032,9,0,160,10,1
,62,7,4,2041021,9,0,80,20,2
,63,7,4,2042021,9,0,80,20,2
,64,7,4,2043021,9,0,80,20,2
,65,7,4,2044021,9,0,80,20,2
,66,7,4,2041032,9,0,160,10,1
,67,7,4,2042032,9,0,160,10,1
,68,7,4,2043032,9,0,160,10,1
,69,7,4,2044032,9,0,160,10,1
,70,7,5,2051021,9,0,80,20,2
,71,7,5,2052021,9,0,80,20,2
,72,7,5,2053021,9,0,80,20,2
,73,7,5,2054021,9,0,80,20,2
,74,7,5,2051032,9,0,160,10,1
,75,7,5,2052032,9,0,160,10,1
,76,7,5,2053032,9,0,160,10,1
,77,7,5,2054032,9,0,160,10,1
,78,7,6,2061021,9,0,80,20,2
,79,7,6,2062021,9,0,80,20,2
,80,7,6,2063021,9,0,80,20,2
,81,7,6,2064021,9,0,80,20,2
,82,7,6,2061032,9,0,160,10,1
,83,7,6,2062032,9,0,160,10,1
,84,7,6,2063032,9,0,160,10,1
,85,7,6,2064032,9,0,160,10,1
,86,7,7,202002,9,0,100,5,1
,87,7,7,202003,9,0,300,2,1
,88,7,7,203002,9,0,100,5,1
,93,7,7,203003,9,0,300,2,1
,94,7,8,3060310,9,0,100,10,1
,95,7,8,3060320,9,0,50,20,1
,96,7,8,210000,9,0,50,10,1
,97,7,9,201001,9,0,50,10,1
,98,7,9,201002,9,0,250,5,1
,99,3,1,3011014,11,0,100,1,1
,100,3,1,3012014,11,0,100,1,1
,101,3,1,3013014,11,0,100,1,1
,102,3,1,3011024,11,0,100,1,1
,103,3,1,3011044,11,0,100,1,1
,104,3,1,3011064,11,0,100,1,1
,105,3,1,3011144,11,0,100,1,1
,106,3,2,3011074,12,0,150,1,1
,107,3,2,3011034,12,0,150,1,1
,108,3,2,3014014,12,0,150,1,1
,109,3,2,3011124,12,0,150,1,1
,110,3,2,3011114,12,0,150,1,1
,111,3,2,3011134,12,0,150,1,1
,112,3,3,610014,4,0,10,5,1
,113,3,4,6003003,4,0,3,10,1
,114,3,5,2000054,11,0,10,10,1
,115,3,5,2000064,11,0,24,2,1
,116,3,5,2000074,11,0,160,2,1
,117,3,6,3030013,11,0,40,10,1
,118,3,6,3030014,11,0,100,5,1
,119,3,6,3060030,11,0,12,10,1
,120,3,7,610024,11,0,6,50,2
,121,3,7,5000012,11,0,6,50,1
,122,3,7,5000023,11,0,20,20,1
,123,3,7,5000034,11,0,40,10,1
,124,3,8,203002,4,0,1,20,1
,125,3,8,203003,4,0,3,10,1
,126,3,8,202002,11,0,4,20,1
,127,3,8,202003,11,0,12,10,1
,128,3,8,210000,4,0,1,50,1
,129,2,9,2110104,3,0,288,5,1
,130,2,10,2110204,3,0,288,5,1
,131,2,10,2110304,3,0,288,5,1
,132,2,10,2110404,3,0,288,5,1
,133,2,10,2110504,3,0,288,5,1
,134,2,11,2120104,3,0,1200,2,1
,135,2,11,2120204,3,0,1200,2,1
,136,2,11,2120304,3,0,1200,2,1
,137,2,11,2120404,3,0,1200,2,1
