,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,archive_type,archive_type_id,task_id,archive_mask,archive_index
备注,自增id,图鉴类型,类型id,任务id,哪个data,哪个字段
,5,50,10010,0,1,1
NPC图鉴-诺尔,6,20,1000,10182,1,1
NPC图鉴-禁卫督军莱克,7,20,1003,10092,1,2
NPC图鉴-薇莉丝,8,20,1002,10182,1,3
NPC图鉴-赫丽,9,20,3001,10187,1,4
NPC图鉴-特罗德,10,20,3028,10180,1,5
NPC图鉴-铁臂安道夫,11,20,3005,10270,1,6
NPC图鉴-吉拉,12,20,3042,70515,1,7
NPC图鉴-伦纳德,13,20,3043,70515,1,8
NPC图鉴-艾赛尔,14,20,3101,70515,1,9
NPC图鉴-比多猫,15,20,3080,70515,1,10
NPC图鉴-比格,16,20,3176,0,1,11
NPC图鉴-图斯,17,20,3177,0,1,12
NPC图鉴-斯利,18,20,3178,0,1,13
NPC图鉴-弗斯,19,20,3179,0,1,14
NPC图鉴-斐佛,20,20,3180,0,1,15
NPC图鉴-谢克斯,21,20,3181,0,1,16
NPC图鉴-由莉,22,20,2032,10115,1,17
NPC图鉴-桑妮,23,20,2035,10106,1,18
NPC图鉴-海莉大妈,24,20,3036,10105,1,19
NPC图鉴-米修,25,20,2031,10101,1,20
NPC图鉴-大卫,26,20,3004,10134,1,21
NPC图鉴-库伯拉长老,27,20,3008,10154,1,22
NPC图鉴-安可,28,20,3009,10154,1,23
NPC图鉴-富商金斯特,29,20,3007,10170,1,24
NPC图鉴-左相西莫斯,30,20,3076,10067,1,25
NPC图鉴-管家约瑞克,31,20,3021,10067,1,26
NPC图鉴-花店老板,32,20,3022,10066,1,27
NPC图鉴-小女巫弥尔,33,20,3118,10281,1,28
NPC图鉴-女巫菲梅,34,20,3119,10282,1,29
NPC图鉴-首领埃尼奥,35,20,3142,10279,1,30
NPC图鉴-费米,36,20,3159,10279,1,31
NPC图鉴-矮人黄胡子,37,20,3121,10236,1,32
NPC图鉴-猎魔人阿比旦,38,20,3216,10424,1,33
NPC图鉴-镇长伊诺克,39,20,3129,10249,1,34
NPC图鉴-树人首领洛克,40,20,3150,10327,1,35
NPC图鉴-德鲁伊首领莱安,41,20,3156,10333,1,36
NPC图鉴-暗精灵首领卡莉,42,20,3164,10296,1,37
NPC图鉴-木匠达罗斯,43,20,3167,10318,1,38
NPC图鉴-魔法师加林,44,20,3166,10315,1,39
NPC图鉴-冒险队长埃尔文,45,20,3256,10373,1,40
NPC图鉴-杰诺,46,20,3253,10386,1,41
NPC图鉴-弗莱特,47,20,3383,10449,1,42
NPC图鉴-岛民杰基,48,20,3384,10455,1,43
NPC图鉴-塔蕾娅,49,20,3398,10477,1,44
NPC图鉴-大臣奥兰德,50,20,3404,10477,1,45
