,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,map_id,name,fight,lookface,map_times,team_min,team_max,boss1_id,boss2_id,boss3_id,drop1_id,drop2_id,drop3_id,order
备注,副本id,注释,推荐战力,副本图片,进入次数上限类型,最少组队人数,最大组队人数,BOSSID,BOSSID,BOSSID,掉落ID,掉落ID,掉落ID,排序
(剧情),3021,玫瑰团驻地,1800,Textures/Atlas/Dyn/InstanceLogo/wolfcamp.png,1,0,0,0,0,0,2120013,1,2110001,0
(剧情),3022,沙海虫巢,11000,Textures/Atlas/Dyn/InstanceLogo/Cassnest.png,1,0,0,0,0,0,1,2110202,2110302,0
(剧情),3023,银母矿洞,14000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,1,2120103,2120203,0
(剧情),3024,荒原古堡,10500,Textures/Atlas/Dyn/InstanceLogo/WitchCastle.png,1,0,0,0,0,0,1,2110001,2120013,0
(普通),3026,魔族之心,70000,Textures/Atlas/Dyn/InstanceLogo/heartmagicrace.png,1,0,0,0,0,0,0,0,0,0
(剧情),3027,风沙堡,13000,Textures/Atlas/Dyn/InstanceLogo/Legionhammers.png,1,0,0,0,0,0,1,210023,3030013,0
(普通),3028,露西蒂尼之墓,6000,Textures/Atlas/Dyn/InstanceLogo/Lucycemetery.png,1,0,0,0,0,0,0,0,0,0
(普通),3029,玫瑰团驻地,45000,Textures/Atlas/Dyn/InstanceLogo/wolfcamp.png,1,0,0,0,0,0,0,0,0,0
(普通),3030,哥布林巢穴,50000,Textures/Atlas/Dyn/InstanceLogo/Goblincave.png,1,0,0,0,0,0,0,0,0,0
(剧情),3031,哥布林巢穴,2500,Textures/Atlas/Dyn/InstanceLogo/Goblincave.png,1,0,0,0,0,0,1,2120013,120012,0
(剧情),3032,哀嚎神殿,8000,Textures/Atlas/Dyn/InstanceLogo/Layercopy.png,1,0,0,0,0,0,10,210000,1,0
(剧情),3034,魔族之心,9500,Textures/Atlas/Dyn/InstanceLogo/heartmagicrace.png,1,0,0,0,0,0,1,2120013,3060030,0
(剧情),3035,露西蒂尼之墓,6000,Textures/Atlas/Dyn/InstanceLogo/Lucycemetery.png,1,0,0,0,0,0,1,120012,3030013,0
(普通),3036,哀嚎神殿,98000,Textures/Atlas/Dyn/InstanceLogo/Layercopy.png,1,0,0,0,0,0,0,0,0,0
(普通),3038,饿狼巢穴,40000,Textures/Atlas/Dyn/InstanceLogo/Antlercave.png,1,0,0,0,0,0,0,0,0,0
(普通),3039,风沙堡,110000,Textures/Atlas/Dyn/InstanceLogo/Legionhammers.png,1,0,0,0,0,0,0,0,0,0
(普通),3040,沙海虫巢,110000,Textures/Atlas/Dyn/InstanceLogo/Cassnest.png,1,0,0,0,0,0,0,0,0,0
,3041,银母矿洞,18500,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,0,0,0,0
,3054,枭鹰邦域,19500,Textures/Atlas/Dyn/InstanceLogo/Treeheartcity.png,1,0,0,0,0,0,1,2120102,2120202,0
,3055,枭鹰矿洞,19000,Textures/Atlas/Dyn/InstanceLogo/SilverMothermine.png,1,0,0,0,0,0,1,2110202,2110302,0
,3042,凋零之地,15000,Textures/Atlas/Dyn/InstanceLogo/Latenightgraveyard.png,1,0,0,0,0,0,1,3030013,2110102,0
,3043,荒原古堡,100000,Textures/Atlas/Dyn/InstanceLogo/WitchCastle.png,1,0,0,0,0,0,0,0,0,0
,3044,树心城,17000,Textures/Atlas/Dyn/InstanceLogo/Treeheartcity.png,1,0,0,0,0,0,1,3060030,6003003,0
(普通),3047,凋零之地,130000,Textures/Atlas/Dyn/InstanceLogo/Lucycemetery.png,1,0,0,0,0,0,0,0,0,0
（普通）,3048,树心城,45000,Textures/Atlas/Dyn/InstanceLogo/AreaBG.png,1,0,0,0,0,0,3,3,3,0
,3051,卡诺萨战争,8500,Textures/Atlas/Dyn/InstanceLogo/VillageCopyBG02.png,5,1,3,1000314,0,0,2011021,2021021,2000054,1
,3061,魔族之心,16000,Textures/Atlas/Dyn/InstanceLogo/heartmagicrace.png,5,1,3,1000140,0,0,2011021,2011032,2000054,2
(剧情),3011,饿狼巢穴,500,Textures/Atlas/Dyn/InstanceLogo/Antlercave.png,1,0,0,0,0,0,3,1,2110001,0
,3071,神迹实验室,21000,Textures/Atlas/Dyn/InstanceLogo/Laboratory.png,1,0,0,0,0,0,1,2120013,2110001,0
,3065,材料副本,100000,Textures/Atlas/Dyn/InstanceLogo/Cassnest.png,1,0,0,0,0,0,0,0,0,0
