,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,string,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,sort,time_type,time_min,time_max,amount_limit,flag,price,awardid,actionid,exchange_id,exchange_ratio
备注,物品id,名称,物品类型,时间类型,时间上限,时间下限,叠加上限,物品flag,售出金币,奖励id,Action id,兑换物品id,兑换率万分比
魔石,1,罗兰钻,0,0,,,0,2,1000,0,0,0,0
交易币,2,星石,0,0,,,0,2,100,0,0,0,0
金币,3,金币,0,0,,,0,2,1,0,0,0,0
英雄经验球经验,4,英雄经验,0,0,,,0,2,0,0,0,0,0
战队经验,5,战队经验,0,0,,,0,2,0,0,0,0,0
上阵英雄经验,6,出战经验,0,0,,,0,2,0,0,0,0,0
幻兽经验球经验,8,本命经验,0,0,,,0,2,0,0,0,0,0
,9,干劲,0,0,,,0,2,1,0,0,0,0
时装币,10,新装券,0,0,,,0,2,0,0,0,0,0
竞技场币,11,荣誉点数,0,0,,,0,2,0,0,0,0,0
军团币,12,公会贡献,0,0,,,0,2,0,0,0,0,0
,13,英雄纹章,0,0,,,0,2,0,0,0,0,0
,14,本命币,0,0,,,0,2,0,0,0,0,0
骑士币,15,勇者奖章,0,0,,,0,2,0,0,0,0,0
梦境币,16,记忆碎片,0,0,,,0,2,0,0,0,0,0
,17,友情点,0,0,,,0,2,0,0,0,0,0
圣界来袭积分,18,圣界来袭积分,0,0,,,0,2,0,0,0,0,0
,19,王牌积分,0,0,,,0,2,0,0,0,0,0
,21,联盟积分,0,0,,,0,2,0,0,0,0,0
,22,荣光纪念章,2,0,0,0,9999,2,100,0,0,0,0
,31,萤玉,0,0,,,0,2,0,0,0,0,0
,32,月鸣玉,0,0,,,0,2,0,0,0,0,0
,101,粗木箱,0,0,,,0,2,0,0,0,0,0
,102,秘银箱,0,0,,,0,2,0,0,0,0,0
,103,炼金宝箱,0,0,,,0,2,0,0,0,0,0
,123,自律联盟凭证,2,0,0,0,9999,2,100,0,0,0,0
,124,魔法议会凭证,2,0,0,0,9999,2,100,0,0,0,0
,1001,哥布林的私房钱,3,0,,,9999,16,0,0,0,0,0
英雄金币召唤券,120012,友达投递券,3,0,,,9999,16,0,0,0,0,0
英雄钻石召唤券,120013,艾恩速达券,3,0,,,9999,16,0,0,0,0,0
本命钻石召唤券,120023,风迹速递礼券,3,0,,,9999,10,0,0,0,0,0
,120033,风迹极递券,3,0,,,9999,16,0,0,0,0,0
白色银币卡,201000,初级金币卡,3,0,,,9999,10,2000,0,0,0,0
绿色银币卡,201001,中级金币卡,3,0,,,9999,10,10000,0,0,0,0
蓝色银币卡,201002,高级金币卡,3,0,,,9999,10,40000,0,0,0,0
紫色银币卡,201003,特级金币卡,3,0,,,9999,10,120000,0,0,0,0
橙色银币卡,201004,顶级金币卡,3,0,,,9999,10,350000,0,0,0,0
白色英雄经验卡,202000,初级英雄经验卡,3,0,,,9999,10,100,0,0,0,0
绿色英雄经验卡,202001,中级英雄经验卡,3,0,,,9999,10,300,0,0,0,0
蓝色英雄经验卡,202002,高级英雄经验卡,3,0,,,9999,10,1000,0,0,0,0
紫色英雄经验卡,202003,特级英雄经验卡,3,0,,,9999,10,3000,0,0,0,0
橙色英雄经验卡,202004,顶级英雄经验卡,3,0,,,9999,10,10000,0,0,0,0
白色本命经验卡,203000,初级本命经验卡,3,0,,,9999,10,100,0,0,0,0
绿色本命经验卡,203001,中级本命经验卡,3,0,,,9999,10,300,0,0,0,0
蓝色本命经验卡,203002,高级本命经验卡,3,0,,,9999,10,1000,0,0,0,0
紫色本命经验卡,203003,特级本命经验卡,3,0,,,9999,10,3000,0,0,0,0
橙色本命经验卡,203004,顶级本命经验卡,3,0,,,9999,10,10000,0,0,0,0
体力药水初级,204010,酱汁糯米团,3,0,,,9999,16,100,0,0,0,0
体力药水中级,204020,夹心水果蛋糕,3,0,,,9999,16,100,0,0,0,0
体力药水高级,204030,香草黄油烤龙虾,3,0,,,9999,16,100,0,0,0,0
快速战斗券,210000,速战凭证,3,0,,,9999,2,1,0,0,0,0
,210010,红蓝特典重置券,3,0,,,9999,2,0,0,0,0,0
,210020,红蓝特典入场券,3,0,0,0,9999,2,0,0,0,0,0
领主召唤券,210023,领主召唤券,3,0,,,9999,16,1,0,0,0,0
圣界领主召唤券,210024,圣魂讨伐券,3,0,,,9999,16,1,0,0,0,0
,210033,荣光指令函,2,0,0,0,9999,2,0,0,0,0,0
商城刷新券,210043,商城重置券,3,0,,,9999,2,1,0,0,0,0
,220003,探宝图鉴,3,0,,,9999,10,0,0,0,0,0
曜金钥匙,310010,曜金钥匙,3,0,,,9999,3,100,0,0,0,0
霜晶钥匙,310020,霜蓝钥匙,3,0,,,9999,3,100,0,0,0,0
联盟礼箱,410012,联盟礼箱,3,0,,,9999,10,0,0,0,0,0
霜风战箱,410021,木箱,3,0,,,9999,10,0,0,0,0,0
赤星战箱,410022,青铜箱,3,0,,,9999,10,0,0,0,0,0
银月战箱,410023,白银箱,3,0,,,9999,10,0,0,0,0,0
烈日战箱,410024,燃金宝箱,3,0,,,9999,10,0,0,0,0,0
,410032,青木圣魂箱,3,0,,,9999,10,0,0,0,0,0
,410033,苍石圣魂箱,3,0,,,9999,10,0,0,0,0,0
,410034,鬼纹圣魂箱,3,0,,,9999,10,0,0,0,0,0
,410040,联盟委托D级宝箱,3,0,0,0,9999,10,1000,0,0,0,0
,410041,联盟委托C级宝箱,3,0,0,0,9999,10,1000,0,0,0,0
