,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,string,uint32,uint32,uint32,uint32
,id,supply_card_id,award,award_reddiamond,money_type,price,time_type,starttime,endtime,limit_type,limit_amount,level_group,level
备注,ID,月卡id,奖励id,红钻数量,货币类型,价格,是否限时,开始时间,结束时间,是否需要限购,限购数量,是否为等级礼包,表示等级
,201,201,4000071,0,999,3000,0,0,0,0,0,0,0
新手礼包,301,301,4000073,0,999,600,0,0,0,5,1,0,0
新手礼包,302,0,4000074,0,999,600,0,0,0,5,1,0,0
新手抽卡,303,0,4000075,0,999,3500,0,0,0,5,1,0,0
新手抽卡,304,0,4000076,0,999,6800,0,0,0,5,1,0,0
新手抽卡,305,0,4000077,0,999,9800,0,0,0,5,1,0,0
成长礼包(20级),401,0,4000078,0,2,6,0,0,0,5,1,1,20
成长礼包(30级),402,0,4000079,0,2,12,0,0,0,5,1,1,30
成长礼包(35级),403,0,4000080,0,2,30,0,0,0,5,1,1,35
成长礼包(40级),404,0,4000081,0,2,30,0,0,0,5,1,1,40
成长礼包(45级),405,0,4000082,0,2,68,0,0,0,5,1,1,45
成长礼包(50级),406,0,4000083,0,2,68,0,0,0,5,1,1,50
成长礼包(55级),407,0,4000084,0,2,98,0,0,0,5,1,1,55
成长礼包(60级),408,0,4000085,0,2,128,0,0,0,5,1,1,60
成长礼包(65级),409,0,4000086,0,2,168,0,0,0,5,1,1,65
成长礼包(70级),410,0,4000087,0,2,168,0,0,0,5,1,1,70
成长礼包(75级),411,0,4000088,0,2,198,0,0,0,5,1,1,75
成长礼包(80级),412,0,4000089,0,2,198,0,0,0,5,1,1,80
免费礼包(15级),501,0,4000090,0,999,0,0,0,0,5,1,2,15
免费礼包(20级),502,0,4000091,0,999,0,0,0,0,5,1,2,20
免费礼包(25级),503,0,4000092,0,999,0,0,0,0,5,1,2,25
免费礼包(30级),504,0,4000093,0,999,0,0,0,0,5,1,2,30
免费礼包(35级),505,0,4000094,0,999,0,0,0,0,5,1,2,35
免费礼包(40级),506,0,4000095,0,999,0,0,0,0,5,1,2,40
免费礼包(45级),507,0,4000096,0,999,0,0,0,0,5,1,2,45
免费礼包(50级),508,0,4000097,0,999,0,0,0,0,5,1,2,50
免费礼包(55级),509,0,4000098,0,999,0,0,0,0,5,1,2,55
免费礼包(60级),510,0,4000099,0,999,0,0,0,0,5,1,2,60
免费礼包(65级),511,0,4000100,0,999,0,0,0,0,5,1,2,65
免费礼包(70级),512,0,4000101,0,999,0,0,0,0,5,1,2,70
免费礼包(75级),513,0,4000102,0,999,0,0,0,0,5,1,2,75
免费礼包(80级),514,0,4000103,0,999,0,0,0,0,5,1,2,80
日礼包,601,0,4000104,0,0,0,0,0,0,1,1,0,0
周礼包,701,0,4000105,0,999,3000,0,0,0,2,1,0,0
周礼包,702,0,4000106,0,999,6000,0,0,0,2,1,3,50
周礼包,703,0,4000107,0,999,6000,0,0,0,2,1,0,0
周礼包,704,0,4000108,0,999,9800,0,0,0,2,1,0,0
月礼包,801,0,4000109,0,999,19800,0,0,0,4,1,0,0
