,required,required,required,required,repeated,repeated,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string,string,string,string
,id,hard,clew,boss_id,status1,status2,site1,site2,site3,site4
备注,副本id,副本难度,线索标记,怪物id,特性组1, 特性组2,小怪3个坐标,小怪3个坐标,小怪3个坐标,小怪3个坐标
,3096,0,1,200463,1604;1621,1607;1618,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3097,0,1,200468,1031;1041,,"-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06",,
,3098,0,0,200783,1628;1605,1637;1631,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3099,0,0,200493,1622;1608,1011;1021,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3101,1,1,200503,1606;1621,1626;1616,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3102,0,1,200508,1623;1636,1604;1620,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3103,0,0,200513,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3104,1,1,200523,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3105,0,0,200518,1631;1637,1011;1021,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3106,0,0,200528,1011;1021,1041;1031,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3107,1,1,200533,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3108,0,0,200538,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3109,0,0,200543,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3110,0,0,200548,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3111,0,1,200553,1637;1606,1626;1618,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3112,0,0,200558,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
,3113,0,1,200563,1011;1021,1031;1041,"-22.52,0.08,-18.85;-20.86,0.08,-22.09;-18.92,0.08,-19","23.842,0.08,-20.75;22.29,0.08,-24.12;20.75,0.08,-21.34","-22.03,0.08,7.09;-22.18,0.08,3.23;-18.85,0.08,5.505","23.307,0.08,5.6;22.433,0.08,2.108;19.5,0.08,4.06"
