,required,repeated,repeated,repeated,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,npc_ids,text_ids,text_modes,show_time,wait_time
备注,对话id,地图刷新id序列组,文本id序列组,文本背景序列组,显示时长,等待时间
,1,1000017;1000019;1000017;1000019;1000017;1000019,300001;300002;300003;300004;300005;300006,,2,1
,2,1000017;1000019;1000017;1000019;1000017;1000019,300001;300002;300003;300004;300005;300006,,2,1
,3,1000017;1000019;1000017;1000019;1000017;1000019,300001;300002;300003;300004;300005;300006,,2,1
,1000,,10000,,5,5
,1001,,10001,,5,5
,1002,,10002,,5,5
,1003,,10003,,5,5
,1004,,10004,,5,5
,1005,,10005,,5,5
,1006,,10006,,5,5
,1007,,10007,,5,5
,1008,,10008,,5,5
,1009,,10009,,5,5
,1010,,10010,,5,5
,1011,,10011,,5,5
,1012,,10012,,5,5
,1013,,10013,,5,5
,1014,,10014,,5,5
,1015,,10015,,5,5
,1016,,10016,,5,5
,1017,,10017,,5,5
,1018,,10018,,5,5
,1019,,10019,,5,5
,1020,,10020,,5,5
,1021,,10021,,5,5
,1022,,10022,,5,5
,1023,,10023,,5,5
,1024,,10024,,5,5
,1025,,10025,,5,5
,1026,,10026,,5,5
,1027,,10027,,5,5
,1028,,10028,,5,5
,1029,,10029,,5,5
,1030,,10030,,5,5
,1031,,10031,,5,5
,1032,,10032,,5,5
,1033,,10033,,5,5
,1034,,10034,,5,5
,1035,,10035,,5,5
,1036,,10036,,5,5
,1037,,10037,,5,5
,1038,1000044;1000045,10038;10039,,5,5
,1039,1000044;1000045,10040;10041,,5,5
,1040,1000044;1000045,10042;10043,,5,5
,1041,1000044;1000045,10044;10045,,5,5
,1042,,10046,,5,5
,1043,,10047,,5,5
,1044,,10048,,5,5
,1045,,10049,,5,5
,1046,1000048;1000049,10050;10055,,5,5
,1047,1000048;1000049,10051;10056,,5,5
,1048,1000048;1000049,10052;10057,,5,5
,1049,1000048;1000049,10053;10058,,5,5
,1050,1000048;1000049,10054;10059,,5,5
,1051,,10060,,5,5
,1052,,10061,,5,5
,1053,,10062,,5,5
,1054,,10063,,5,5
,1055,1000053;1000096,10064;10065,,5,5
,1056,1000053;1000096,10066;10067,,5,5
,1057,1000053;1000096,10068;10069,,5,5
,1058,,10070,,5,5
,1059,,10071,,5,5
,1060,,10072,,5,5
,1061,,10074,,5,5
,1062,,10075,,5,5
,1063,,10076,,5,5
,1064,,10077,,5,5
,1065,,10078,,5,5
,1066,,10079,,5,5
,1067,1000120;1000121,10080;10081,,5,5
,1068,1000120;1000121,10082;10083,,5,5
,1069,1000120;1000121,10084;10085,,5,5
,1070,,10073,,5,5
,1071,,10086,,5,2
,1072,,10087,,5,5
,1073,,10088,,5,5
,1074,,10089,,5,5
,1075,,10090,,5,5
,1077,,10094,,5,5
,1078,,10095,,5,5
,1079,,10096,,5,5
,1080,,10097,,5,5
,1081,,10098,,99,0
,1082,,10099,,99,0
,1086,,10103,,5,3
,1087,,10104,,5,5
,1088,,10105,,5,5
,1089,,10106,,5,5
,1090,,10107,,5,5
,1118,20040063;20040064,10135;10136,,3,3
,1119,20040063;20040064,10135;10136,,3,3
,1120,,10137,,5,5
,1121,,10138,,5,5
,1122,,10139,,5,5
,1131,1000193;1000194,10148;10149,,5,5
,1132,,10150,,5,5
,1133,1000044;1000045,10151;10152,,5,5
,1134,,10153,,5,5
,1142,,10160,,5,5
,1143,,10161,,5,5
,1144,,10163,,5,5
,1145,,10162,,5,5
,1146,,10164,,5,5
,1147,,10165,,5,5
,1148,,10166,,5,5
,1149,,10167,,5,5
,1150,,10168,,5,5
,1151,,10169,,5,5
,1152,,10170,,5,5
,1153,,10171,,5,5
,1154,,10172,,5,5
,1155,,10173,,5,5
,1166,,10184,,5,5
,1167,,10185,,5,5
,1168,,10186,,5,5
,1169,,10187,,5,5
,1170,,10188,,5,5
,1171,,10189,,5,5
,1172,,10190,,5,5
,1173,,10191,,5,5
,1174,,10192,,5,5
,1175,,10193,,5,5
,1176,,10194,,5,5
,1177,,10195,,5,5
,1178,,10196,,5,5
,1179,,10197,,5,5
,1188,,10206,,5,5
,1189,,10207,,5,5
,1190,,10208,,5,5
,1191,,10209,,5,5
,1192,,10210,,5,5
,1193,,10211,,5,5
,1194,,10212,,5,5
,1195,,10213,,5,5
,1196,,10214,,5,5
,1197,,10215,,5,5
,1198,,10216,,5,5
,1199,,10217,,5,5
,1200,,10218,,5,5
,1201,,10219,,5,5
,1202,,10220,,5,5
,1203,,10221,,5,5
,1204,,10222,,5,5
,1205,,10223,,5,5
,1206,,10224,,5,5
,1207,,10225,,5,5
,1208,,10226,,5,5
,1209,,10227,,5,5
,1210,,10228,,5,5
,1211,,10229,,5,5
,1212,,10230,,5,5
,1213,,10231,,5,5
,1214,,10232,,5,5
,1215,,10233,,5,5
,1216,,10234,,5,5
,1217,,10235,,5,5
,1218,,10236,,5,5
,1219,,10237,,5,5
,1220,,10238,,5,5
,1221,,10239,,5,5
,1222,,10240,,5,5
,1223,,10241,,5,5
,1224,,10242,,5,5
,1225,,10243,,5,5
,1226,1005002;1005023;1005024,10244;10245;10246,,5,5
,1227,1005019;1005011,10247;10248,,5,5
,1228,,10249,,5,5
,1229,,10250,,5,5
,1230,1005020;1005021;1005012,10249;10250;10251,,5,5
,1231,1005022;1005013,10252;10253,,5,5
,1232,,10254,,5,5
,1233,,10255,,5,5
,1234,,10256,,5,5
,1235,,10257,,5,5
,1236,1005031;1005032,10258;10259,,5,5
,1237,,10260,,5,5
,1238,,10261,,5,5
,1239,,10262,,5,5
,1240,,10263,,5,5
,1241,,10264,,5,5
,1242,1005039;1005038,10265;10266,,5,5
,1243,,10267,,5,5
,1244,,10268,,5,5
,1245,,10269,,5,5
,1246,,10270,,5,5
,1247,,10271,,5,5
,1248,,10272,,5,5
,1249,,10273,,5,5
,1250,1005048;1005047,10274;10275,,5,5
,1251,,10276,,5,5
,1252,,10277,,5,5
,1253,1005051;1005052,10278;10279,,5,5
,1254,1005064;1005065,10280;10281,,5,5
,1255,,10282,,5,5
,1256,1005059;1005068;1005046,10227;10283;10273,,5,5
,1257,,10284,,5,5
,1258,1005057;1005056,10233;10232,,5,5
,1259,1005062;1005061,10225;10226,,5,5
,1260,1005073;1005072,10231;10279,,5,5
,1261,1005054;1005070,10232;10231,,5,5
,1262,1005034;1005035;1005041,10261;10262;10236,,5,5
,1263,,10285,,5,5
,1264,,10286,,5,5
,1265,,10287,,5,5
,1266,,10288,,5,5
,1267,,10289,,5,5
,1268,,10290,,5,5
,1269,,10291,,5,5
,1270,,10292,,5,5
,1271,,10293,,5,5
,1272,,10294,,5,5
,1273,,10295,,5,5
,1274,,10296,,5,5
,1275,,10297,,5,5
,1276,,10298,,5,5
,1277,,10299,,5,5
,1278,,10300,,5,5
,1279,,10301,,5,5
,1280,,10302,,5,5
,1281,,10303,,5,5
,1282,,10304,,5,5
,1283,,10305,,5,5
,1284,,10306,,5,5
,1285,,10307,,5,5
,1286,,10308,,5,5
,1287,,10309,,5,5
,1288,,10310,,5,5
,1289,,10311,,5,5
,1290,,10312,,5,5
,1291,,10313,,5,5
,1292,,10314,,5,5
,1293,,10315,,5,5
,1294,,10316,,5,5
,1295,,10317,,5,5
,1296,,10318,,5,5
,1297,,10319,,5,5
,1298,20010295,10320,,5,5
,1308,,10324,,5,5
,1309,,10325,,5,5
,1310,,10326,,5,5
,1311,,10327,,5,5
,1312,,10328,,5,5
,1313,,10329,,5,5
,1314,,10330,,5,5
,1315,,10331,,5,5
,1316,,10332,,5,5
,1317,1000082,10333;10334;10335,,5,5
,1320,99990125,10338;10339;10340,,5,5
,1321,,10341,,5,5
,1322,,10342,,5,5
,1323,,10343,,5,5
,1324,,10344,,5,5
,1325,,10345,,5,5
,1326,,10346,,5,5
,1327,,10347,,5,5
,1328,,10348,,5,5
,1329,,10349,,5,5
,1330,,10350,,5,5
,1331,,10351,,5,5
,1332,,10352,,5,5
,1333,,10353,,5,5
,1334,,10354,,5,5
,1335,,10355,,5,5
,1336,,10356,,5,5
,1337,,10357,,5,5
,1338,,10358,,5,5
,1339,,10359,,5,5
,1340,,10360,,5,5
,1341,,10361,,5,5
,1342,,10362,,5,5
,1343,,10363,,5,5
,1344,,10364,,5,5
,1345,,10365,,5,5
,1346,,10366,,5,5
,1347,,10367,,5,5
,1348,,10368,,5,5
,1349,,10369,,5,5
,1350,,10370,,5,5
,1351,,10371,,5,5
,1352,,10372,,5,5
,1353,,10373,,5,5
,1354,,10374,,5,5
,1355,,10375,,5,5
,1356,,10376,,5,5
,1357,,10377,,5,5
,1358,,10378,,5,5
,1359,,10379,,5,5
,1360,,10380,,5,5
,1361,,10381,,5,5
,1362,,10382,,5,5
,1363,,10383,,5,5
,1364,,10384,,5,5
,1365,,10385,,5,5
,1366,,10386,,5,5
,1367,,10387,,5,5
,1368,,10388,,5,5
,1369,,10389,,5,5
,1370,,10390,,5,5
,1371,,10391,,5,5
,1372,,10392,,5,5
,1373,,10393,,5,5
,1374,,10394,,5,5
,1375,,10395,,5,5
,1376,,10396,,5,5
,1377,,10397,,5,5
,1378,,10398,,5,5
,1379,,10399,,5,5
,1380,,10400,,5,5
,1381,,10401,,5,5
,1382,,10402,,5,5
,1383,,10403,,5,5
,1384,,10404,,5,5
,1385,,10405,,5,5
,1386,,10406,,5,5
,1387,,10407,,5,5
,1388,,10408,,5,5
,1389,,10409,,5,5
,1390,,10410,,5,5
,1391,,10411,,5,5
,1392,,10412,,5,5
,1393,,10413,,5,5
,1394,,10414,,5,5
,1395,,10415,,5,5
,1396,,10416,,5,5
,1397,,10417,,5,5
,1398,,10418,,5,5
,1399,,10419,,5,5
,1400,,10420,,5,5
,1401,,10421,,5,5
,1402,,10422,,5,5
,1403,,10423,,5,5
,1404,,10424,,5,5
,1405,,10425,,5,5
,1406,,10426,,5,5
,1407,,10427,,5,5
,1408,,10428,,5,5
,1409,,10429,,5,5
,1410,,10430,,5,5
,1411,,10431,,5,5
,1412,,10432,,5,5
,1413,,10433,,5,5
,1414,,10434,,5,5
,1415,,10435,,5,5
,1416,,10436,,5,5
,1417,,10437,,5,5
,1418,,10438,,5,5
,1419,,10439,,5,5
,1420,,10440,,5,5
,1421,,10441,,5,5
,1422,,10442,,5,5
,1423,,10443,,5,5
,1424,,10444,,5,5
,1425,,10445,,5,5
,1426,,10446,,5,5
,1427,,10447,,5,5
,1428,,10448,,5,5
,1429,,10449,,5,5
,1430,,10450,,5,5
,1431,,10451,,5,5
