,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,award_id,award_type,award_type_id,award_num,award_show
备注,id,奖励id,类型,物品id,物品数量,是否展示
,10011,7000011,1,1,500,0
,10012,7000011,1,2000054,2,0
,10013,7000011,1,204020,2,0
,10014,7000012,1,120013,3,0
,10015,7000012,1,3060030,1,0
,10016,7000012,1,204020,2,0
,10017,7000013,1,120023,5,1
,10018,7000013,1,2000064,1,0
,10019,7000013,1,3,20000,0
,10020,7000014,1,3030013,3,0
,10021,7000014,1,420014,1,0
,10022,7000014,1,204020,2,0
,10023,7000015,1,6003003,10,0
,10024,7000015,1,8,100000,0
,10025,7000015,1,204020,2,0
,10026,7000016,1,204030,2,0
,10027,7000016,1,2120013,5,0
,10028,7000016,1,204020,2,0
,10029,7000017,2,401,1,1
,10030,7000017,1,2110001,50,0
,10031,7000017,1,2120013,10,0
,10032,7000018,1,120023,1,0
,10033,7000018,1,420014,1,0
,10034,7000018,1,204020,2,0
,10035,7000019,1,210023,1,0
,10036,7000019,1,210000,5,0
,10037,7000019,1,204020,2,0
,10038,7000020,1,420014,1,0
,10039,7000020,1,420013,2,0
,10040,7000020,1,204020,2,0
,10041,7000021,1,120023,2,0
,10042,7000021,1,3060320,2,0
,10043,7000021,1,204020,2,0
,10044,7000022,1,3030013,3,0
,10045,7000022,1,120012,5,0
,10046,7000022,1,204020,2,0
,10047,7000023,1,6003003,10,0
,10048,7000023,1,8,100000,0
,10049,7000023,1,204020,2,0
,10050,7000024,3,4004,1,1
,10051,7000024,1,2000064,1,0
,10052,7000024,1,3,50000,0
,10055,7000013,1,204020,2,0
,10059,7000017,1,204020,2,0
,10066,7000024,1,204020,2,0
,10092,7000048,1,11,300,0
,10180,7000109,1,12,50,0
,10181,7000110,1,12,100,0
,10182,7000110,1,3,10000,0
,10183,7000111,1,12,150,0
,10184,7000111,1,3,20000,0
,10185,7000111,1,120012,2,0
,10186,7000112,1,12,200,0
,10187,7000112,1,420013,1,0
,10188,7000112,1,210023,1,0
,10189,7000113,1,12,500,0
,10190,7000113,1,420014,1,0
,10191,7000113,1,3030013,1,0
,10192,7000113,1,3060030,2,0
,10194,7000055,1,3060310,1,0
,10195,7000056,1,1,50,0
,10196,7000057,1,210000,2,0
,10197,7000058,1,3,3000,0
,10198,7000059,1,204020,2,0
,10199,7000060,1,120012,1,0
,10200,7000061,1,210023,1,0
,10201,7000062,1,3060310,2,0
,10202,7000063,1,1,60,0
,10203,7000064,1,210000,3,0
,10204,7000065,1,3,5000,0
,10205,7000066,1,204020,2,0
,10206,7000067,1,120012,2,0
,10207,7000068,1,210023,1,0
,10208,7000069,1,3060310,3,0
,10209,7000070,1,1,70,0
,10210,7000071,1,210000,4,0
,10211,7000072,1,3,8000,0
,10212,7000073,1,204020,2,0
,10213,7000074,1,120012,3,0
,10214,7000075,1,210023,1,0
,10215,7000076,1,3060310,4,0
,10216,7000077,1,1,80,0
,10217,7000078,1,210000,5,0
,10218,7000079,1,3,10000,0
,10219,7000080,1,204020,2,0
,10220,7000081,1,120012,5,0
,10221,7000082,1,210023,1,0
,10222,7000083,1,3060310,5,0
,10223,7000084,1,1,200,0
,10224,7000085,1,120013,1,0
,10225,7000085,1,3,5000,0
,10226,7000086,1,420014,1,0
,10227,7000086,1,120012,1,0
,10228,7000087,1,2000054,1,0
,10229,7000087,1,204020,1,0
,10230,7000088,1,120013,1,0
,10231,7000088,1,3,5000,0
,10232,7000089,1,16,300,0
,10233,7000089,1,3060030,1,0
,10234,7000090,1,6003003,2,0
,10235,7000090,1,1,100,0
,10236,7000091,1,120013,1,0
,10237,7000091,1,3,10000,0
,10238,7000092,1,420014,1,0
,10239,7000092,1,120012,2,0
,10240,7000093,1,2000054,1,0
,10241,7000093,1,204020,2,0
,10242,7000094,1,120013,1,0
,10243,7000094,1,3,10000,0
,10244,7000123,1,16,300,0
,10245,7000123,1,3060030,2,0
,10246,7000124,1,6003003,2,0
,10247,7000124,1,1,200,0
,10248,7000125,1,120013,1,0
,10249,7000125,1,3,15000,0
,10250,7000126,1,420014,1,0
,10251,7000126,1,120012,3,0
,10252,7000127,1,2000054,1,0
,10253,7000127,1,204020,2,0
,10254,7000128,1,120013,1,0
,10255,7000128,1,3,15000,0
,10256,7000129,1,16,300,0
,10257,7000129,1,3060030,3,0
,10258,7000130,1,6003003,2,0
,10259,7000130,1,1,300,0
,10260,7000131,1,120013,1,0
,10261,7000131,1,3,20000,0
,10262,7000132,1,420014,1,0
,10263,7000132,1,120012,4,0
,10264,7000133,1,2000054,1,0
,10265,7000133,1,204020,3,0
,10266,7000134,1,120013,1,0
,10267,7000134,1,3,20000,0
,10268,7000995,1,16,300,0
,10269,7000995,1,3060030,4,0
,10270,7000996,1,6003003,2,0
,10271,7000996,1,1,300,0
,10272,7000997,1,120013,1,0
,10273,7000997,1,3,30000,0
,10274,7000998,1,420014,1,0
,10275,7000998,1,120012,5,0
,10276,7000999,1,2000054,1,0
,10277,7000999,1,204020,3,0
,10278,7001000,1,120013,1,0
,10279,7001000,1,3,30000,0
,10280,7001001,1,16,300,0
,10281,7001001,1,3060030,5,0
,10282,7001002,1,6003003,2,0
,10283,7001002,1,1,300,0
,10284,7001003,1,120013,1,0
,10285,7001003,1,3,30000,0
,10286,7001004,1,420014,1,0
,10287,7001004,1,120012,5,0
,10288,7001005,1,2000054,1,0
,10289,7001005,1,204020,3,0
,10290,7001006,1,120013,1,0
,10291,7001006,1,3,30000,0
,10292,7001007,1,16,300,0
,10293,7001007,1,3060030,5,0
,10294,7001008,1,6003003,2,0
,10295,7001008,1,1,300,0
,10296,7001009,1,120013,1,0
,10297,7001009,1,3,30000,0
,10298,7001010,1,420014,1,0
,10299,7001010,1,120012,5,0
,10300,7001011,1,2000054,1,0
,10301,7001011,1,204020,3,0
,10302,7001012,1,120013,1,0
,10303,7001012,1,3,30000,0
,10304,7001013,1,16,300,0
,10305,7001013,1,3060030,5,0
,10306,7001014,1,6003003,2,0
,10307,7001014,1,1,300,0
,10308,7001015,1,120013,1,0
,10309,7001015,1,3,30000,0
,10310,7001016,1,420014,1,0
,10311,7001016,1,120012,5,0
,10312,7001017,1,2000054,1,0
,10313,7001017,1,204020,3,0
,10314,7001018,1,120013,1,0
,10315,7001018,1,3,30000,0
,10316,7001019,1,16,300,0
,10317,7001019,1,3060030,5,0
,10318,7001020,1,6003003,2,0
,10319,7001020,1,1,300,0
,10320,7001021,1,120013,1,0
,10321,7001021,1,3,30000,0
,10322,7001022,1,420014,1,0
,10323,7001022,1,120012,5,0
,10324,7001023,1,2000054,1,0
,10325,7001023,1,204020,3,0
,10326,7001024,1,120013,1,0
,10327,7001024,1,3,30000,0
,10328,7001025,1,16,300,0
,10329,7001025,1,3060030,5,0
,10330,7001026,1,6003003,2,0
,10331,7001026,1,1,300,0
,10332,7001027,1,120013,1,0
,10333,7001027,1,3,30000,0
,10334,7001028,1,420014,1,0
,10335,7001028,1,120012,5,0
,10336,7001029,1,2000054,1,0
,10337,7001029,1,204020,3,0
,10338,7001030,1,120013,1,0
,10339,7001030,1,3,30000,0
,10340,7001031,1,16,300,0
,10341,7001031,1,3060030,5,0
,10342,7001032,1,6003003,2,0
,10343,7001032,1,1,300,0
,10344,7001033,1,120013,1,0
,10345,7001033,1,3,30000,0
,10346,7001034,1,420014,1,0
,10347,7001034,1,120012,5,0
,10348,7001035,1,2000054,1,0
,10349,7001035,1,204020,3,0
,10350,7001036,1,120013,1,0
,10351,7001036,1,3,30000,0
,10352,7001037,1,16,300,0
,10353,7001037,1,3060030,5,0
,10354,7000135,1,120013,1,0
,10355,7000135,1,120012,1,0
,10356,7000135,1,210000,1,0
,10357,7000136,1,120013,1,0
,10358,7000136,1,120012,2,0
,10359,7000136,1,210000,2,0
,10360,7000137,1,120013,1,0
,10361,7000137,1,120012,3,0
,10362,7000137,1,210000,3,0
,10363,7000138,1,120013,2,0
,10364,7000138,1,120012,4,0
,10365,7000138,1,210000,4,0
,10366,7000139,1,120013,2,0
,10367,7000139,1,120012,5,0
,10368,7000139,1,210000,5,0
,10369,7000140,1,120013,2,0
,10370,7000140,1,120012,6,0
,10371,7000140,1,210000,6,0
,10372,7000141,1,120013,3,0
,10373,7000141,1,120012,7,0
,10374,7000141,1,210000,7,0
,10375,7000142,1,120013,3,0
,10376,7000142,1,120012,8,0
,10377,7000142,1,210000,8,0
,10378,7000143,1,120013,4,0
,10379,7000143,1,120012,9,0
,10380,7000143,1,210000,9,0
,10381,7000144,1,120013,4,0
,10382,7000144,1,120012,10,0
,10383,7000144,1,210000,10,0
,10384,7000145,1,120013,5,0
,10385,7000145,1,120012,11,0
,10386,7000145,1,210000,11,0
,10387,7000146,1,120013,5,0
,10388,7000146,1,120012,12,0
,10389,7000146,1,210000,12,0
,10390,7000147,1,120013,5,0
,10391,7000147,1,120012,13,0
,10392,7000147,1,210000,13,0
,10393,7000148,1,120013,5,0
,10394,7000148,1,120012,14,0
,10395,7000148,1,210000,14,0
,10396,7000149,1,120013,5,0
,10397,7000149,1,120012,15,0
,10398,7000149,1,210000,15,0
,10399,7000150,1,120013,5,0
,10400,7000150,1,120012,16,0
,10401,7000150,1,210000,16,0
,10402,7000151,1,120013,5,0
,10403,7000151,1,120012,17,0
,10404,7000151,1,210000,17,0
,10405,7000152,1,120013,5,0
,10406,7000152,1,120012,18,0
,10407,7000152,1,210000,18,0
,10408,7000153,1,120013,5,0
,10409,7000153,1,120012,19,0
,10410,7000153,1,210000,19,0
,10411,7000154,1,120013,5,0
,10412,7000154,1,120012,20,0
,10413,7000154,1,210000,20,0
,10432,7000155,1,13,2,0
,10433,7000156,1,13,5,0
,10434,7000157,1,13,10,0
,10435,7000158,1,13,20,0
,10436,7000159,1,13,30,0
,10437,7000160,1,13,50,0
,10438,7000161,1,4,20000,0
,10439,7000162,1,4,50000,0
,10440,7000163,1,4,100000,0
,10441,7000164,1,4,150000,0
,10442,7000165,1,4,200000,0
,10443,7000166,1,4,300000,0
,10444,7000167,1,4,400000,0
,10445,7000168,1,4,30000,0
,10446,7000169,1,4,75000,0
,10447,7000170,1,4,150000,0
,10448,7000171,1,4,225000,0
,10449,7000172,1,4,300000,0
,10450,7000173,1,4,450000,0
,10451,7000174,1,4,600000,0
,10452,7000175,1,4,40000,0
,10453,7000176,1,4,100000,0
,10454,7000177,1,4,200000,0
,10455,7000178,1,4,300000,0
,10456,7000179,1,4,400000,0
,10457,7000180,1,4,600000,0
,10458,7000181,1,4,800000,0
,10459,7000182,1,4,40000,0
,10460,7000183,1,4,100000,0
,10461,7000184,1,4,200000,0
,10462,7000185,1,4,300000,0
,10463,7000186,1,4,400000,0
,10464,7000187,1,4,600000,0
,10465,7000188,1,4,800000,0
,10466,7000189,1,4,40000,0
,10467,7000190,1,4,100000,0
,10468,7000191,1,4,200000,0
,10469,7000192,1,4,300000,0
,10470,7000193,1,4,400000,0
,10471,7000194,1,4,600000,0
,10472,7000195,1,4,800000,0
,10473,7000196,1,120013,1,0
,10474,7000197,1,120013,2,0
,10475,7000198,1,120013,3,0
,10476,7000199,1,120013,5,0
,10477,7000200,1,120013,2,0
,10478,7000201,1,120013,3,0
,10479,7000202,1,120013,4,0
,10480,7000203,1,120013,6,0
,10481,7000204,1,120013,3,0
,10482,7000205,1,120013,4,0
,10483,7000206,1,120013,5,0
,10484,7000207,1,120013,6,0
,10485,7000208,1,120013,3,0
,10486,7000209,1,120013,4,0
,10487,7000210,1,120013,5,0
,10488,7000211,1,120013,6,0
,10489,7000212,1,120013,3,0
,10490,7000213,1,120013,4,0
,10491,7000214,1,120013,5,0
,10492,7000215,1,120013,6,0
,10493,7000216,1,3060030,1,0
,10494,7000217,1,3060030,5,0
,10495,7000218,1,3060030,10,0
,10496,7000219,1,3060030,15,0
,10497,7000220,1,3060030,20,0
,10498,7000221,1,3060030,2,0
,10499,7000222,1,3060030,10,0
,10500,7000223,1,3060030,20,0
,10501,7000224,1,3060030,30,0
,10502,7000225,1,3060030,40,0
,10503,7000226,1,3060030,3,0
,10504,7000227,1,3060030,15,0
,10505,7000228,1,3060030,30,0
,10506,7000229,1,3060030,45,0
,10507,7000230,1,3060030,60,0
,10508,7000231,1,3060030,3,0
,10509,7000232,1,3060030,15,0
,10510,7000233,1,3060030,30,0
,10511,7000234,1,3060030,45,0
,10512,7000235,1,3060030,60,0
,10513,7000236,1,3060030,3,0
,10514,7000237,1,3060030,15,0
,10515,7000238,1,3060030,30,0
,10516,7000239,1,3060030,45,0
,10517,7000240,1,3060030,60,0
,10518,7000241,1,2110001,2,0
