,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,sort,activity_id,monitor_id,mask_index,mask_id,award,point,data1
备注,分段id,分段类别,活动id,监听事件id,掩码字段位,掩码值,奖励id,积分点数,数据1
,1010161,1,0,2315,10,43,7000969,20,6
,1010162,1,0,2316,10,44,7000970,20,6
,1010163,1,0,2317,10,45,7000971,20,6
,1010164,1,0,2318,10,46,7000972,20,6
,1010165,1,0,2319,10,47,7000973,20,6
,1010166,1,0,2320,10,48,7000974,20,6
,1010167,1,0,2321,10,49,7000975,20,6
,1010168,1,0,2322,10,50,7000976,20,6
,1010169,1,0,2323,10,51,7000977,20,6
,1010170,1,0,2324,10,52,7000978,20,6
,1010171,1,0,2325,10,53,7000979,20,6
,1010172,1,0,2326,10,54,7000980,20,6
,1010173,1,0,2327,10,55,7000981,20,6
,1010174,1,0,2328,10,56,7000982,20,6
,1010175,1,0,2329,10,57,7000983,20,6
,1010176,1,0,2330,10,58,7000984,20,6
,1010177,1,0,2331,10,59,7000985,20,6
,1010178,1,0,2332,10,60,7000986,20,6
,1010179,1,0,2333,11,1,7000987,20,6
,1010180,1,0,2270,11,2,7000988,20,6
,1010181,1,0,2271,11,3,7000989,20,6
,1010182,1,0,2272,11,4,7000990,80,6
,1010183,1,0,2274,11,5,7000991,80,6
,1010184,1,0,2273,11,6,7000992,80,6
,1010185,1,0,1056,11,7,7000993,30,6
,1010515,1,0,2236,10,36,7000957,20,6
,1010516,1,0,1504,10,37,7000958,20,6
,1010517,1,0,1769,10,38,7000959,50,6
,1010518,1,0,2237,10,39,7000960,20,6
,1010519,1,0,2238,10,40,7000961,50,6
,1010520,1,0,1669,10,41,7000962,50,6
,1010521,1,0,2239,10,42,7000963,30,6
,2010000,2,10004,1020,1,1,7000006,10,1
,2010001,2,10004,1327,1,2,7000007,5,1
,2010002,2,10004,1383,1,3,7000008,5,1
,2010003,2,10004,1336,1,4,7000009,10,1
,2010004,2,10004,1423,1,5,7000010,10,1
,2010005,2,10004,2286,1,6,7000025,10,2
,2010006,2,10004,1514,1,7,7000026,10,2
,2010007,2,10004,2228,1,8,7000027,15,2
,2010008,2,10004,1411,1,9,7000028,10,2
,2010009,2,10004,1343,1,10,7000029,15,2
,2010010,2,10004,1023,1,11,7000030,10,3
,2010011,2,10004,1479,1,12,7000031,15,3
,2010012,2,10004,2229,1,13,7000032,15,3
,2010013,2,10004,1419,1,14,7000033,20,3
,2010014,2,10004,1337,1,15,7000034,15,3
,2010015,2,10004,2293,1,16,7000035,15,4
,2010016,2,10004,1522,1,17,7000036,20,4
,2010017,2,10004,2299,1,18,7000037,20,4
,2010018,2,10004,1394,1,19,7000038,10,4
,2010019,2,10004,1333,1,20,7000039,20,4
,2010020,2,10004,2363,1,21,7000040,20,5
,2010021,2,10004,2288,1,22,7000041,25,5
,2010022,2,10004,2296,1,23,7000042,15,5
,2010023,2,10004,2292,1,24,7000043,15,5
,2010024,2,10004,1344,1,25,7000044,20,5
,2010025,2,10004,1338,1,26,7000045,15,6
,2010026,2,10004,1225,1,27,7000046,25,6
,2010027,2,10004,1522,1,28,7000047,20,6
,2010029,2,10004,2231,1,30,7000049,25,6
,2010030,2,10004,1341,1,31,7000050,20,6
,2010031,2,10004,1459,1,32,7000051,25,7
,2010032,2,10004,1420,1,33,7000052,30,7
,2010033,2,10004,2230,1,34,7000053,40,7
,2010034,2,10004,2232,1,35,7000054,25,7
,1010000,1,0,1720,2,1,7000155,2,1
,1010001,1,0,1721,2,2,7000156,3,1
,1010002,1,0,1347,2,3,7000157,5,1
,1010003,1,0,1722,2,4,7000158,8,1
,1010004,1,0,1723,2,5,7000159,10,1
,1010005,1,0,1724,2,6,7000160,15,1
,1010006,1,0,1106,2,7,7000161,2,1
,1010007,1,0,1107,2,8,7000162,3,1
,1010008,1,0,1108,2,9,7000163,5,1
,1010009,1,0,1110,2,10,7000164,8,1
,1010010,1,0,1112,2,11,7000165,10,1
,1010011,1,0,1725,2,12,7000166,15,1
,1010012,1,0,1726,2,13,7000167,20,1
,1010013,1,0,1114,2,14,7000168,2,1
,1010014,1,0,1115,2,15,7000169,3,1
,1010015,1,0,1116,2,16,7000170,5,1
,1010016,1,0,1118,2,17,7000171,8,1
,1010017,1,0,1120,2,18,7000172,10,1
,1010018,1,0,1727,2,19,7000173,15,1
,1010019,1,0,1728,2,20,7000174,20,1
,1010020,1,0,1729,2,21,7000175,2,1
,1010021,1,0,1730,2,22,7000176,3,1
,1010022,1,0,1731,2,23,7000177,5,1
,1010023,1,0,1732,2,24,7000178,8,1
,1010024,1,0,1733,2,25,7000179,10,1
,1010025,1,0,1734,2,26,7000180,15,1
,1010026,1,0,1735,2,27,7000181,20,1
,1010027,1,0,1736,2,28,7000182,2,1
,1010028,1,0,1737,2,29,7000183,3,1
,1010029,1,0,1738,2,30,7000184,5,1
,1010030,1,0,1739,2,31,7000185,8,1
,1010031,1,0,1740,2,32,7000186,10,1
,1010032,1,0,1741,2,33,7000187,15,1
,1010033,1,0,1742,2,34,7000188,20,1
,1010034,1,0,1743,2,35,7000189,2,1
,1010035,1,0,1744,2,36,7000190,3,1
,1010036,1,0,1745,2,37,7000191,5,1
,1010037,1,0,1746,2,38,7000192,8,1
,1010038,1,0,1747,2,39,7000193,10,1
,1010039,1,0,1748,2,40,7000194,15,1
,1010040,1,0,1749,2,41,7000195,20,1
,1010041,1,0,1142,2,42,7000196,5,1
,1010042,1,0,1143,2,43,7000197,10,1
,1010043,1,0,1144,2,44,7000198,20,1
,1010044,1,0,1145,2,45,7000199,30,1
,1010045,1,0,1244,2,46,7000200,5,1
,1010046,1,0,1245,2,47,7000201,10,1
,1010047,1,0,1246,2,48,7000202,20,1
,1010048,1,0,1247,2,49,7000203,30,1
,1010049,1,0,2301,2,50,7000204,5,1
,1010050,1,0,2302,2,51,7000205,10,1
,1010051,1,0,1755,2,52,7000206,20,1
,1010052,1,0,2303,2,53,7000207,30,1
,1010053,1,0,2304,2,54,7000208,5,1
,1010054,1,0,2305,2,55,7000209,10,1
,1010055,1,0,1759,2,56,7000210,20,1
,1010056,1,0,2306,2,57,7000211,30,1
,1010057,1,0,2307,2,58,7000212,5,1
,1010058,1,0,2308,2,59,7000213,10,1
,1010059,1,0,1763,2,60,7000214,20,1
,1010060,1,0,2309,3,1,7000215,30,1
,1010061,1,0,1395,3,2,7000216,3,1
,1010062,1,0,1766,3,3,7000217,5,1
,1010063,1,0,1767,3,4,7000218,10,1
,1010064,1,0,1768,3,5,7000219,20,1
,1010065,1,0,1769,3,6,7000220,30,1
,1010066,1,0,1402,3,7,7000221,3,1
,1010067,1,0,1770,3,8,7000222,5,1
,1010068,1,0,1771,3,9,7000223,10,1
,1010069,1,0,1772,3,10,7000224,20,1
,1010070,1,0,1773,3,11,7000225,30,1
,1010071,1,0,1409,3,12,7000226,3,1
,1010072,1,0,1774,3,13,7000227,5,1
,1010073,1,0,1775,3,14,7000228,10,1
,1010074,1,0,1776,3,15,7000229,20,1
,1010075,1,0,1777,3,16,7000230,30,1
,1010076,1,0,1778,3,17,7000231,3,1
,1010077,1,0,1779,3,18,7000232,5,1
,1010078,1,0,1780,3,19,7000233,10,1
,1010079,1,0,1781,3,20,7000234,20,1
,1010080,1,0,1782,3,21,7000235,30,1
,1010081,1,0,1783,3,22,7000236,3,1
,1010082,1,0,1784,3,23,7000237,5,1
,1010083,1,0,1785,3,24,7000238,10,1
,1010084,1,0,1786,3,25,7000239,20,1
,1010085,1,0,1787,3,26,7000240,30,1
,1010086,1,0,1297,3,27,7000241,1,1
,1010087,1,0,1788,3,28,7000242,2,1
,1010088,1,0,1298,3,29,7000243,2,1
,1010089,1,0,1339,3,30,7000244,3,1
,1010090,1,0,1299,3,31,7000245,3,1
,1010091,1,0,1789,3,32,7000246,4,1
,1010092,1,0,1300,3,33,7000247,4,1
,1010093,1,0,1301,3,34,7000248,5,1
,1010094,1,0,1302,3,35,7000249,6,1
,1010095,1,0,1303,3,36,7000250,8,1
,1010096,1,0,1304,3,37,7000251,10,1
,1010097,1,0,1790,3,38,7000252,15,1
,1010098,1,0,1791,3,39,7000253,20,1
,1010099,1,0,1792,3,40,7000254,25,1
,1010100,1,0,1793,3,41,7000255,30,1
,1010101,1,0,1169,3,42,7000256,1,1
,1010102,1,0,1794,3,43,7000257,2,1
,1010103,1,0,1170,3,44,7000258,2,1
,1010104,1,0,1795,3,45,7000259,3,1
,1010105,1,0,1171,3,46,7000260,3,1
,1010106,1,0,1796,3,47,7000261,4,1
,1010107,1,0,1172,3,48,7000262,4,1
,1010108,1,0,1173,3,49,7000263,5,1
,1010109,1,0,1174,3,50,7000264,6,1
,1010110,1,0,1175,3,51,7000265,8,1
,1010111,1,0,1176,3,52,7000266,10,1
,1010112,1,0,1797,3,53,7000267,15,1
,1010113,1,0,1798,3,54,7000268,20,1
,1010114,1,0,1799,3,55,7000269,25,1
,1010115,1,0,1800,3,56,7000270,30,1
,1010116,1,0,1801,3,57,7000271,1,1
,1010117,1,0,1802,3,58,7000272,2,1
,1010118,1,0,1803,3,59,7000273,2,1
,1010119,1,0,1804,3,60,7000274,3,1
,1010120,1,0,1805,4,1,7000275,3,1
,1010121,1,0,1806,4,2,7000276,4,1
,1010122,1,0,1807,4,3,7000277,4,1
,1010123,1,0,1808,4,4,7000278,5,1
,1010124,1,0,1809,4,5,7000279,6,1
,1010125,1,0,1810,4,6,7000280,8,1
,1010126,1,0,1811,4,7,7000281,10,1
,1010127,1,0,1812,4,8,7000282,15,1
,1010128,1,0,1813,4,9,7000283,20,1
,1010129,1,0,1814,4,10,7000284,25,1
,1010130,1,0,1815,4,11,7000285,30,1
,1010131,1,0,1816,4,12,7000286,1,1
,1010132,1,0,1817,4,13,7000287,2,1
,1010133,1,0,1818,4,14,7000288,2,1
,1010134,1,0,1819,4,15,7000289,3,1
,1010135,1,0,1820,4,16,7000290,3,1
,1010136,1,0,1821,4,17,7000291,4,1
,1010137,1,0,1822,4,18,7000292,4,1
,1010138,1,0,1823,4,19,7000293,5,1
,1010139,1,0,1824,4,20,7000294,6,1
,1010140,1,0,1825,4,21,7000295,8,1
,1010141,1,0,1826,4,22,7000296,10,1
,1010142,1,0,1827,4,23,7000297,15,1
,1010143,1,0,1828,4,24,7000298,20,1
,1010144,1,0,1829,4,25,7000299,25,1
,1010145,1,0,1830,4,26,7000300,30,1
,1010146,1,0,1831,4,27,7000301,1,1
,1010147,1,0,1832,4,28,7000302,2,1
,1010148,1,0,1833,4,29,7000303,2,1
,1010149,1,0,1834,4,30,7000304,3,1
,1010150,1,0,1835,4,31,7000305,3,1
,1010151,1,0,1836,4,32,7000306,4,1
,1010152,1,0,1837,4,33,7000307,4,1
,1010153,1,0,1838,4,34,7000308,5,1
,1010154,1,0,1839,4,35,7000309,6,1
,1010155,1,0,1840,4,36,7000310,8,1
,1010156,1,0,1841,4,37,7000311,10,1
,1010157,1,0,1842,4,38,7000312,15,1
,1010158,1,0,1843,4,39,7000313,20,1
,1010159,1,0,1844,4,40,7000314,25,1
,1010160,1,0,1845,4,41,7000315,30,1
,1010196,1,0,1231,5,17,7000351,5,1
,1010197,1,0,1232,5,18,7000352,10,1
,1010198,1,0,1233,5,19,7000353,20,1
,1010199,1,0,1234,5,20,7000354,30,1
,1010200,1,0,1238,5,21,7000355,5,1
,1010201,1,0,1239,5,22,7000356,10,1
,1010202,1,0,1240,5,23,7000357,20,1
,1010203,1,0,1241,5,24,7000358,30,1
,1010204,1,0,1867,5,25,7000359,5,1
,1010205,1,0,1868,5,26,7000360,10,1
,1010206,1,0,1869,5,27,7000361,20,1
,1010207,1,0,1870,5,28,7000362,30,1
,1010208,1,0,1871,5,29,7000363,5,1
,1010209,1,0,1872,5,30,7000364,10,1
,1010210,1,0,1873,5,31,7000365,20,1
,1010211,1,0,1874,5,32,7000366,30,1
