,required,repeated,repeated,required
,uint32,uint32,uint32,uint32
,id,dialog_ids,chat_ids,replay
备注,地图刷新表id,对话 id组,冒泡聊天id组,触发冒泡间隔
,1000013,1398;1399;1400,1023;1024;1025;1026,10
,1000015,1368;1369;1370,1016;1017;1018,10
,1000016,,1051;1052;1053;1054,10
,1000017,,1004;1005;1006;1007,10
,1000044,,1038;1039;1040;1041;1133,10
,1000045,,1038;1039;1040;1041;1133,10
,1000047,,1042;1043;1044;1045;1132,10
,1000048,,1046;1047;1048;1049;1050,10
,1000049,,1046;1047;1048;1049;1050,10
,1000050,1410;1411;1412,1011;1012;1013;1014;1015,10
,1000053,,1055;1056;1057,10
,1000054,1422;1423;1424,1027;1028;1029,10
,1000056,,1058;1059;1060;1070,10
,1000062,,1064;1065;1066,10
,1000075,1335;1336;1337,1008;1009;1010,10
,1000082,,1317,10
,1000084,1377;1378;1379,1019;1020;1021;1022,10
,1000096,,1055;1056;1057,10
,1000110,1554,1030;1031;1032;1033,10
,1000111,1555,1034;1035;1036;1037,10
,1000112,,1061;1062;1063,10
,1000114,,1134,10
,1000120,,1067;1068;1069,10
,1000121,,1067;1068;1069,10
,1000175,,1087,10
,1000176,,1088,10
,1000177,,1089,10
,1000178,,1090,10
,1000193,,1131,10
,1000194,,1131,10
,1000212,,1154,10
,1000214,,1155,10
,1005002,,1226,10
,1005003,,1217,10
,1005004,,1219,10
,1005005,,1220,10
,1005006,,1221,10
,1005007,,1222,10
,1005008,,1223,10
,1005009,,1224,10
,1005010,,1225,10
,1005011,,1227,10
,1005012,,1230,10
,1005013,,1231,10
,1005014,,1232,10
,1005015,,1233,10
,1005029,,1234,10
,1005030,,1235,10
,1005032,,1236,10
,1005033,,1237,10
,1005036,,1240,10
,1005037,,1241,10
,1005038,,1242,10
,1005040,,1243,10
,1005041,,1262,10
,1005042,,1245,10
,1005043,,1246,10
,1005044,,1247,10
,1005045,,1248,10
,1005048,,1250,10
,1005049,,1251,10
,1005050,,1252,10
,1005051,,1253,10
,1005053,,1212,10
,1005054,,1261,10
,1005055,,1215,10
,1005057,,1258,10
,1005058,,1208,10
,1005059,,1256,10
,1005060,,1209,10
,1005062,,1259,10
,1005064,,1254,10
,1005067,,1255,10
,1005069,,1257,10
,1005071,,1216,10
,1005073,,1260,10
,1005074,,1209,10
,1005075,,1218,10
,2001169,,1308,10
,2001475,,1313,10
,2001493,,1312,10
,3103001,,1332,10
,3103002,,1333,10
,3103003,,1334,10
,3103004,,1335,10
,3103005,,1331,10
,3104006,,1327,10
,3104007,,1328,10
,3104008,,1329,10
,3104009,,1330,10
,3104010,,1326,10
,3106001,,1357,10
,3106002,,1358,10
,3106003,,1359,10
,3106004,,1360,10
,3106005,,1356,10
,3107001,,1352,10
,3107002,,1353,10
,3107003,,1354,10
,3107004,,1355,10
,3107005,,1351,10
,3108001,,1342,10
,3108002,,1343,10
,3108003,,1344,10
,3108004,,1345,10
,3108005,,1341,10
