,required,required,required
,uint32,uint32,uint32
,id,reward_id,need_value
备注,英雄id拼等级,奖励id,升级所需
,10100,0,200
,10101,6000096,500
,10102,6000096,800
,10103,6000096,1100
,10104,6000096,1500
,10105,6000096,2000
,10106,6000096,2500
,10107,6000096,3000
,10108,6000096,3500
,10109,6000096,4000
,10110,6000096,4500
,10111,6000097,5000
,10112,6000097,5500
,10113,6000097,6000
,10114,6000097,6500
,10115,6000097,7000
,10116,6000097,7500
,10117,6000097,8000
,10118,6000098,8500
,10119,6000098,9000
,10120,6000098,10000
,10121,6000098,11000
,10122,6000098,12000
,10123,6000098,13000
,10124,6000098,14000
,10125,6000098,15000
,10126,6000098,16000
,10127,6000098,17000
,10128,6000098,18000
,10129,6000098,20000
,10200,0,200
,10201,6000099,500
,10202,6000099,800
,10203,6000099,1100
,10204,6000099,1500
,10205,6000099,2000
,10206,6000099,2500
,10207,6000099,3000
,10208,6000099,3500
,10209,6000099,4000
,10210,6000099,4500
,10211,6000100,5000
,10212,6000100,5500
,10213,6000100,6000
,10214,6000100,6500
,10215,6000100,7000
,10216,6000100,7500
,10217,6000100,8000
,10218,6000101,8500
,10219,6000101,9000
,10220,6000101,10000
,10221,6000101,11000
,10222,6000101,12000
,10223,6000101,13000
,10224,6000101,14000
,10225,6000101,15000
,10226,6000101,16000
,10227,6000101,17000
,10228,6000101,18000
,10229,6000101,20000
,10300,0,300
,10301,6000102,750
,10302,6000102,1200
,10303,6000102,1650
,10304,6000102,2250
,10305,6000102,3000
,10306,6000102,3750
,10307,6000102,4500
,10308,6000102,5250
,10309,6000102,6000
,10310,6000102,6750
,10311,6000103,7500
,10312,6000103,8250
,10313,6000103,9000
,10314,6000103,9750
,10315,6000103,10500
,10316,6000103,11250
,10317,6000103,12000
,10318,6000104,12750
,10319,6000104,13500
,10320,6000104,15000
,10321,6000104,16500
,10322,6000104,18000
,10323,6000104,19500
,10324,6000104,21000
,10325,6000104,22500
,10326,6000104,24000
,10327,6000104,25500
,10328,6000104,27000
,10329,6000104,30000
,10400,0,200
,10401,6000105,500
,10402,6000105,800
,10403,6000105,1100
,10404,6000105,1500
,10405,6000105,2000
,10406,6000105,2500
,10407,6000105,3000
,10408,6000105,3500
