,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32,string,uint32,uint32,uint32,string,string,uint32,uint32,uint32
,id,bgpath,sortid,group,rankid,audio,discondition,data,type,data1,data2,show_type,show_time,disappear,times_type,shop_type,icon_path,poster_path,poster_rankid,name,first_dialog
备注,表示序列号,背景图片索引,活动类型Id,分组,序列号,音频,显示条件,data值,指引类型,data1值,预显示天数,时间限时类型,时间文字,根据任务完成情况显示,,对应的商城,主界面按钮,轮播图标,轮播图片顺序,名字id,首次点击对白id
联盟特派日常,10001,Textures/Atlas/GUI/DailyActivityMainPanel/Dailycopy_iso_zh-chs.png,2,1,3,10409,3,27,0,1500,0,0,,0,0,0,,,0,0,0
温丽梦境,10002,Textures/Atlas/GUI/DailyActivityMainPanel/dream_iso_zh-chs.png,3,2,1,10410,2,10598;70471,3,0,0,0,,0,21,0,,,0,0,0
新人登入福利,10003,Textures/Atlas/GUI/DailyActivityMainPanel/activity1_iso_zh-chs.png,4,5,1,10408,3,36,0,2300,0,1,,0,0,0,,,0,0,0
骑士转正考核,10004,Textures/Atlas/GUI/DailyActivityMainPanel/activity2_iso_zh-chs.png,5,5,2,10405,1,0,0,2400,0,0,,0,0,0,,,0,0,0
多人副本,10005,Textures/Atlas/GUI/DailyActivityMainPanel/multiplayercopy_iso_zh-chs.png,6,2,4,10394,3,25,0,2500,0,0,,0,5,0,,,0,0,0
每日签到,10006,Textures/Atlas/GUI/DailyActivityMainPanel/dailysign_iso_zh-chs.png,9,3,1,10408,3,36,0,2600,0,0,,0,0,0,,,0,0,0
成就系统,10007,Textures/Atlas/GUI/DailyActivityMainPanel/achivement_iso_zh-chs.png,7,3,4,10409,3,36,0,2700,0,0,,0,0,0,,,0,0,0
雾海的危机,10015,Textures/Atlas/GUI/DailyActivityMainPanel/banner_bg_iso_zh-chs.png,15,2,2,0,3,32,3,0,3,0,,0,0,0,,,0,0,0
圣界来袭,10025,Textures/Atlas/GUI/DailyActivityMainPanel/Holyattack_iso_zh-chs.png,19,4,2,0,3,24,4,3000;7000883,5,0,,0,0,0,,,0,0,0
王牌通缉,10026,Textures/Atlas/GUI/DailyActivityMainPanel/Poker_iso_zh-chs.png,20,4,1,0,3,39,0,3100,4,0,,0,0,0,,,0,0,0
讨伐领主,10027,Textures/Atlas/GUI/DailyActivityMainPanel/tflz_iso_zh-chs.png,21,1,4,0,3,24,0,1000,0,0,,0,0,0,,,0,0,0
好友宝箱,10028,Textures/Atlas/GUI/DailyActivityMainPanel/hybx_iso_zh-chs.png,22,3,2,0,3,22,0,1800,0,0,,0,0,0,,,0,0,0
战技研习,10029,Textures/Atlas/GUI/DailyActivityMainPanel/zjyx_iso_zh-chs.png,23,2,5,0,3,34,0,3200,0,0,,0,0,0,,,0,0,0
帝国红蓝特典,10037,Textures/Atlas/GUI/DailyActivityMainPanel/dghltd_iso_zh-chs.png,34,2,3,0,3,19,3,0,3,0,,0,0,0,,,0,0,0
秘境探索,10039,Textures/Atlas/GUI/DailyActivityMainPanel/mjts_iso_zh-chs.png,33,1,2,0,3,38,0,2200,0,0,,0,0,0,,,0,0,0
奥兹家族,10040,Textures/Atlas/GUI/DailyActivityMainPanel/acgya_iso_zh-chs.png,35,4,3,0,3,41,3,0,0,0,,1,0,0,,,0,0,0
圣诞卡诺萨,10042,Textures/Atlas/GUI/DailyActivityMainPanel/Sdkhy_iso_zh-chs.png,37,2,11,0,1,0,3,0,30,0,,0,0,0,,,0,0,0
答题活动,10045,Textures/Atlas/GUI/DailyActivityMainPanel/ywzchd.png,40,4,6,0,2,70422,2,21044,0,0,,0,0,0,,,0,0,0
多人副本,10046,Textures/Atlas/GUI/DailyActivityMainPanel/multiplayercopy_iso_zh-chs.png,6,2,4,10394,3,25,0,2500,0,0,,0,5,0,,,0,0,0
多人副本,10047,Textures/Atlas/GUI/DailyActivityMainPanel/multiplayercopy_iso_zh-chs.png,6,2,4,10394,3,25,0,2500,0,0,,0,5,0,,,0,0,0
委托,10055,Textures/Atlas/GUI/DailyActivityMainPanel/wtrw_iso_zh-chs.png,41,1,1,10409,2,70519,99,0,0,0,,0,3,0,,,0,0,0
悬赏,10056,Textures/Atlas/GUI/DailyActivityMainPanel/lmxs_iso_zh-chs.png,42,1,5,10409,2,70517,0,410,0,0,,0,0,0,,,0,0,0
最强指南,10058,Textures/Atlas/GUI/DailyActivityMainPanel/zuiqiangzhinan_iso_zh-chs.png,45,3,3,0,1,0,0,4700,0,0,,0,0,0,,,0,0,0
