,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32
,id,texture_path,sort,original_price,show_type
备注,ID,图片路径,排序,原价,显示方式
,301,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,2,25000,1
,302,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,3,5000,0
,303,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,4,12500,0
,304,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,5,25000,0
,305,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,6,28000,0
,401,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,180,0
,402,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,83,0
,403,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,135,0
,404,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,100,0
,405,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,212,0
,406,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,216,0
,407,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,272,0
,408,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,345,0
,409,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,500,0
,410,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,445,0
,411,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,550,0
,412,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,13,500,0
,501,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,502,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,503,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,504,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,505,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,506,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,507,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,508,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,509,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,510,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,511,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,512,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,513,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,514,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,0
,601,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,14,0,1
,701,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,8,6000,0
,702,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,9,12000,0
,703,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,10,12000,0
,704,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,11,19500,0
,801,Textures/Atlas/GUI/DirectPurchasePanel/Newly/item.png,12,50000,0
