,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,string,string
,id,type,type_id,data1,data2,data3,data4,data5,data6,data7,param1,desc
"备注,",id,类型,子类型,参数1,参数2,参数3,参数4,参数5,参数6,参数7,字符参数,描述
,1,1,1,17,50,13,0,0,0,0,,多人副本帮助奖励(物品、物品数量、帮助次数上限)
,2,2,1,101,0,0,0,0,0,0,,"创建角色默认英雄,data1英雄ID"
,3,2,3,100,0,0,0,0,0,0,,data1表示重置技能消耗的魔石数量
,4,2,4,300,5000,5000,0,0,0,0,,战力：生命、攻击、防御
,5,2,5,1000,1000,500,1000,500,0,0,,战力：命中闪避、暴击抗暴、暴击伤害、格挡破击、格挡减伤
,6,2,6,1000,1000,1,1,0,0,0,,战力：伤害增减、元素、XP回复、初始XP
,7,2,7,50,200,200,200,300,0,0,,战力：自动技、主动技、XP技、辅助技、转职等级
,8,2,8,0,0,0,0,0,0,0,,符文解锁转职等级
,9,2,10,10000,0,0,0,0,0,0,,单个经验球上限值
,10,4,1,10000,0,0,0,0,0,0,,怪物组名字颜色显示
,11,4,2,3000,20000,9200,0,0,0,0,,怪物属性适配（最低值、最高值、修正计算战斗力）
,12,6,1,5,0,0,0,0,0,0,,玩家申请加入军团上限
,13,6,2,10,0,0,0,0,0,0,,玩家申请加入军团等级限制
,14,6,3,15,0,0,0,0,0,0,,玩家创建军团的战队等级限制
,16,6,5,500,0,0,0,0,0,0,,创建军团消耗的钻石
,17,6,6,20,0,0,0,0,0,0,,一个军团能接受申请的人数上限
,18,6,7,120,0,0,0,0,0,0,,退出军团惩罚时间
,19,6,8,5,2880,0,0,0,0,0,,预备军团成为正式军团的条件
,20,6,9,2000,0,0,0,0,0,0,,每周衰减威望的比值
,21,6,10,72,0,0,0,0,0,0,,领袖多日未上线将被更改配置
,22,6,11,10000,20,3,3,8,5,0,,交易币捐献
,23,6,12,30,50,0,5,8,0,0,,魔石捐献
,24,6,13,20,0,0,0,0,0,0,,成员变动表数据上限
,25,6,14,10,0,0,0,0,0,0,会长,职位初始名称、职位等级
,26,6,14,20,0,0,0,0,0,0,议长,职位初始名称、职位等级
,27,6,14,30,0,0,0,0,0,0,执政官,职位初始名称、职位等级
,28,6,14,40,0,0,0,0,0,0,核心成员,职位初始名称、职位等级
,29,6,14,50,0,0,0,0,0,0,普通成员,职位初始名称、职位等级
,32,8,2,99,5000,2102500,4302500,3201500,1401500,5502000,,搜索层、主城玩家过滤算法
,33,8,3,1518333457,0,0,0,0,0,0,,开服时间
,34,9,1,50,10,10,5,0,0,0,,好友上限、好友申请上限
,35,10,2,500,0,0,0,0,0,0,,保底伤害比例系数
,36,10,3,1,500,0,0,0,0,0,,1连击加成
,37,10,3,2,1000,0,0,0,0,0,,2连击加成
,38,10,3,3,1500,0,0,0,0,0,,3连击加成
,39,10,3,4,2000,0,0,0,0,0,,4连击加成
,40,10,3,5,2500,0,0,0,0,0,,5连击加成
,41,10,3,6,3000,0,0,0,0,0,,6连击加成
,42,10,3,7,3500,0,0,0,0,0,,7连击加成
,43,10,3,8,4000,0,0,0,0,0,,8连击加成
,44,10,3,9,4500,0,0,0,0,0,,9连击加成
,45,10,3,10,5000,0,0,0,0,0,,10连击（以上）加成
,46,10,4,70000,0,0,0,0,0,0,,换人技能冷却，毫秒
,47,10,5,500,3000,0,0,0,0,0,,data1初始奥义值，data2奥义值上限
,48,10,6,1000,502401,0,0,0,0,0,,偷袭增加的初始奥义值
,49,11,1,1,0,0,0,0,0,0,,幻兽合体配置
,50,11,1,2,5,0,0,0,0,0,,幻兽合体配置
,52,11,2,130,150,0,0,0,0,0,,幻兽背包空间
,53,12,1,15,30,0,0,0,0,0,,pvp等待的时间
,54,5,1,1,0,0,0,0,0,0,,pvp邀请数量上限
,55,5,2,15,0,0,0,0,0,0,,pvp邀请响应等待时间
,56,12,2,0,80,3,0,0,0,0,,公平竞技，80级3转英雄
,57,12,3,15,0,0,0,0,0,0,,半公平竞技，携带玩家自身数据
,58,13,1,5,0,0,0,0,0,0,,刷新挑战间隔时间
,59,13,2,0,20,0,0,0,0,0,,两次挑战间隔时间
,60,13,3,8,0,0,0,0,0,0,,挑战前三需要名次
,61,13,4,2000,4,0,0,0,0,0,,可挑战排名范围
,62,13,5,0,3500,0,0,0,0,0,,段位排名
,63,13,5,1,3000,0,0,0,0,0,,段位排名
,64,13,5,2,1800,0,0,0,0,0,,段位排名
,65,13,5,3,1000,0,0,0,0,0,,段位排名
,66,13,5,4,400,0,0,0,0,0,,段位排名
,67,13,5,5,100,0,0,0,0,0,,段位排名
,68,13,6,600000,0,0,0,0,0,0,,战斗时长限制
,69,13,7,0,0,0,0,0,0,0,,段位等级限制
,70,13,7,1,10,0,0,0,0,0,,段位等级限制
,71,13,7,2,20,0,0,0,0,0,,段位等级限制
,72,13,7,3,30,0,0,0,0,0,,段位等级限制
,73,13,7,4,35,0,0,0,0,0,,段位等级限制
,74,13,7,5,40,0,0,0,0,0,,段位等级限制
,75,1,2,200,0,0,0,0,0,0,,战队付费改名价格
,76,10,7,150000,0,0,0,0,0,0,,战斗时间规则
,77,7,2,50,0,0,0,0,0,0,,玩家存储邮件上限为50
,78,7,1,7,0,0,0,0,0,0,,军团邮件的失效时长为7天
,79,15,1,3000,0,0,0,0,0,0,,全服boss数量上限
,80,15,2,1500,3000,0,0,0,0,0,,技能表现时间
,81,15,3,5000,5,0,0,0,0,0,,下发信息
,82,15,4,210023,210000,210024,0,0,0,0,,分享boss物品id，data1：召唤券，data2：快速讨伐券，data3：圣界召唤券
,83,16,1,5,0,0,0,0,0,0,,玩家最多拥有的好友宝箱数
,84,7,3,3,0,0,0,0,0,0,,军团悬赏奖励邮件的失效时长为3天
,85,14,1,6,1,0,0,0,0,0,,赛季挑战持续6天，领奖1天.
