,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,repeated
,uint32,string,uint32,uint32,uint32,float,float,float,int32,int32,string,int32
,levelID,name,sceneID,sort,subsort,enterPosX,enterPosY,enterPosZ,audioClipID,stepClipID,loadBgName,AudioClipLoopID
备注,关卡ID,关卡名,资源名称,类型(-1客户端场景、0主城、1野外、2副本),子类型,入口坐标X,入口坐标Y(暂时添加，是否需要？？？),入口坐标Z,背景音乐,英雄脚步声,场景加载背景名,循环音乐（分号隔开
,0,启动场景,0,0,0,0,0,0,1004,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,1,Loading场景,1,4,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,2,登录场景,2,0,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,3,神谕会议场景,3,6,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,4,温丽梦境,4,7,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,11,皇宫,11,0,0,4.53,0,4.48,1028,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,12,主城_酒馆,12,0,0,4.53,0,4.48,1028,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,18,技能编辑,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,19,技能测试场景,19,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,22,创建角色场景,22,3,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,23,SpiderQ_Palace,23,2,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,24,Annes_Mine,24,5,0,0,0,0,10007,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,25,Hill,25,2,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,27,副本_地下城,27,2,0,29.12,0.05,-0.76,1003,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,28,副本_破阵,28,2,2,450,0,150,1044,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,29,蜘蛛BOSS战,29,2,0,0,0,0,2046,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,30,FuBenHz,30,2,0,0,0,0,1000,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,51,竞技场战斗场景,51,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,52,主城训练场,52,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,53,鹿角兽战斗场景,53,5,0,0,0,0,10011,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10012;10013;10014
,54,狼人营地战斗场景,54,5,0,0,0,0,10066,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10067;10068;10069;10070
,56,狂沙虫巢战斗场景,56,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,57,战斗_阿克莱斯,57,5,0,0,0,0,10043,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10005
,58,战斗_天空遗落城,58,5,0,0,0,0,10038,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10039;10040;10041;10042
,59,战斗_露西墓地,59,5,0,0,0,0,10049,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10050;10051;10052;10053;10054;10055
,60,战斗_女巫古堡,60,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,61,战斗_沙漠,61,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,62,战斗_遗忘森林,62,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,63,战斗_永夜森林,63,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,64,战斗_迷雾森林,64,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,65,战斗_树心城,65,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
,66,战斗_永夜墓地,66,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,67,战斗_银母矿洞,67,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,68,战斗_锤石军团,68,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,69,战斗_黄金立方,69,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,70,战斗_忘川河滩,70,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,71,战斗_天空实验室,71,5,0,0,0,0,10020,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",10021;10022;10023
,72,战斗_深海实验室,72,5,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",
