,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,uint32,uint32,uint32,uint32
,id,against_id,type,starttime,endtime,data1,data2,data3,day
备注,流水ID,互斥id,活动类型,开始时间,结束时间,data1,data2,data3,开服天数
联盟特派日常,10001,0,0,1,1,0,0,0,0
温丽梦境,10002,0,1,1700,459,0,0,0,0
新人登入福利,10003,0,7,0,0,0,0,0,0
骑士转正考核,10004,0,7,0,0,0,0,5,0
多人副本,10005,0,1,1200,1359,0,0,0,0
每日签到,10006,0,0,1,1,0,0,0,0
成就系统,10007,0,0,1,1,0,0,0,0
等级奖励,10008,0,0,1,1,0,0,0,0
雾海的危机,10015,0,10,40000,72359,0,0,0,0
圣界来袭,10025,0,10,60000,72359,0,0,0,0
王牌通缉,10026,0,10,10000,32359,0,0,0,0
讨伐领主,10027,0,0,1,1,0,0,0,0
好友宝箱,10028,0,0,1,1,0,0,0,0
战技研习,10029,0,0,1,1,0,0,0,0
帝国红蓝特典,10037,0,9,30500,2359,7,7,0,0
秘境探索,10039,0,0,1,1,0,0,0,0
奥兹家族,10040,0,0,0,0,0,0,0,0
圣诞卡诺萨,10042,0,5,2.01912E+11,2.01912E+11,0,0,0,0
答题活动,10045,0,10,60500,72359,0,0,0,0
多人副本,10046,0,1,1800,1959,0,0,0,0
多人副本,10047,0,1,2200,2359,0,0,0,0
委托,10055,0,0,1,1,0,0,0,0
悬赏,10056,0,0,1,1,0,0,0,0
最强指南,10058,0,7,0,0,0,0,0,0
