,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,monitor_type,type,type_id,num_type,data1,data2,data3,data4,mask1,mask2
备注,监听id,监听类型,事件大类型,事件子类型,数量类型,数据1,数据2,数据3,数据4,掩码1,掩码2
奇遇数量,1000,3,9,1,1,1,0,0,0,1,1
奇遇数量,1001,3,9,1,1,2,0,0,0,1,1
奇遇数量,1002,3,9,1,1,3,0,0,0,1,1
奇遇数量,1003,3,9,1,1,4,0,0,0,1,1
奇遇数量,1004,3,9,1,1,5,0,0,0,1,1
奇遇数量,1005,3,9,1,1,6,0,0,0,1,1
主线进度,1006,2,7,1,1,10409,0,0,0,1,1
主线进度,1007,2,7,1,1,10224,0,0,0,1,2
主线进度,1008,2,7,1,1,10216,0,0,0,1,3
主线进度,1009,2,7,1,1,10167,0,0,0,1,4
主线进度,1010,2,7,1,1,10092,0,0,0,1,5
主线进度,1011,2,7,1,1,10188,0,0,0,1,6
竞技场段位,1012,2,10,1,1,3000,0,0,0,1,15
竞技场段位,1013,2,10,1,1,1800,0,0,0,1,16
竞技场段位,1014,2,10,1,1,1000,0,0,0,1,17
竞技场段位,1015,2,10,1,1,400,0,0,0,1,18
竞技场段位,1016,2,10,1,1,100,0,0,0,1,19
竞技场排名,1017,2,10,2,1,3000,0,0,0,7,8
战队升级,1018,1,2,1,1,5,0,0,0,0,0
战队升级,1019,1,2,1,1,10,0,0,0,0,0
战队升级,1020,1,2,1,1,15,0,0,0,0,0
战队升级,1021,1,2,1,1,20,0,0,0,0,0
战队升级,1022,1,2,1,1,25,0,0,0,0,0
战队升级,1023,1,2,1,1,30,0,0,0,0,0
战队升级,1024,1,2,1,1,35,0,0,0,0,0
战队升级,1025,1,2,1,1,40,0,0,0,0,0
体力清除5次监听,1056,3,25,1,1,5,0,0,0,4,3
技能升级,1057,1,4,1,2,2,3,101,0,0,0
技能升级,1058,1,4,1,3,2,3,1,2,0,0
符文镶嵌,1059,2,4,2,2,4,3,101,0,7,18
符文镶嵌,1060,2,4,2,3,4,3,1,2,7,19
技能升级,1062,1,4,1,1,1,3,1,0,0,0
技能升级,1063,1,4,1,1,2,3,1,0,0,0
技能升级,1067,1,4,1,1,1,5,3,0,0,0
技能升级,1072,1,4,1,1,1,5,6,0,0,0
英雄升级,1097,1,1,1,1,10,1,0,0,0,0
英雄升级,1098,1,1,1,1,20,1,0,0,0,0
英雄升级,1099,1,1,1,1,30,1,0,0,0,0
英雄升级,1100,1,1,1,1,40,1,0,0,0,0
英雄升级,1101,1,1,1,1,45,1,0,0,0,0
英雄升级,1102,1,1,1,1,50,1,0,0,0,0
英雄升级,1103,1,1,1,1,55,1,0,0,0,0
英雄升级,1104,1,1,1,1,60,1,0,0,0,0
英雄升级,1105,1,1,1,1,10,3,0,0,0,0
英雄升级,1106,1,1,1,1,20,3,0,0,0,0
英雄升级,1107,1,1,1,1,30,3,0,0,0,0
