,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,shop_type,item_type,money_type,money_id,price,limit_amount,refresh_time,refresh_type
备注,ID,商城类型,商品ID,货币类型,消耗货币ID,售价,限购个数,刷新时间,刷新类型
,41,6,120013,7,0,1000,1,0,2
,42,6,120023,7,0,600,3,0,2
,43,6,3010014,7,0,1500,2,0,2
,44,6,3010024,7,0,3000,1,0,2
,45,6,3030013,7,0,400,5,0,2
,63,6,5000012,7,0,60,0,0,0
,64,6,5000023,7,0,200,0,0,0
,65,6,210000,7,0,20,0,0,0
,66,6,6003003,7,0,100,0,0,0
,67,6,202003,7,0,120,0,0,0
,68,6,203003,7,0,120,0,0,0
,69,6,201002,7,0,100,0,0,0
,70,8,3030013,99,22,200,10,0,2
,71,8,2000054,99,22,500,8,0,2
,72,8,2000064,99,22,500,2,0,2
,73,8,420014,99,22,500,5,0,2
,74,8,2110104,99,22,36,20,0,2
,75,8,2110204,99,22,36,20,0,2
,76,8,2110304,99,22,36,20,0,2
,77,8,2110404,99,22,36,20,0,2
,78,8,2110504,99,22,36,20,0,2
,79,8,201000,99,22,10,0,0,0
,80,8,202000,99,22,10,0,0,0
,81,8,203000,99,22,10,0,0,0
