,required,required
,int32,uint32
,id,mask
备注,系统功能ID,掩码
羁绊,2,1
英雄升级,3,2
英雄突破,4,3
装备强化,5,4
符文镶嵌,9,8
符文升级,10,9
本命助力,11,10
装备进阶,6,5
装备升星,7,6
技能升级,8,7
本命升级,12,11
本命升星,13,12
英雄抽取,14,13
编队,16,14
公会,17,15
帝国红蓝特典,19,17
改名,20,18
好友,21,19
好友宝箱,22,20
商城,23,21
讨伐领主,24,22
多人副本,25,23
自律联盟,26,24
每日副本,27,25
温丽的梦境,28,26
每日课程,29,45
问卷1,30,27
问卷2,31,28
限时副本-魔物入侵,32,29
佣兵考核,33,30
战技研习,34,31
英雄特训,35,32
福利,36,33
风迹速递,37,34
周回副本,38,35
王牌通缉,39,36
战力显示,40,37
奥兹家族,41,38
魔法议会,42,39
奇迹学院,43,40
密林国度,44,41
圣界活动,45,42
英豪领域,46,43
冒险方略,47,44
新插入的CBT1版本问卷,48,46
勇者商店,52,50
,53,51
,54,52
,55,53
,56,54
