,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,phase_id,type,data1,data2,mask1,mask2,reward_id,reward_num
备注,id,第几期,目标类型,参数1,参数2,掩码1,掩码2,物品奖励id,物品奖励数量
,10000,1,1,10,1,1,1,15,20
,10001,1,1,10,1,1,1,15,20
,10002,1,2,5,0,1,2,15,20
,10003,1,3,15,0,1,3,15,20
,10004,1,4,5,0,1,4,15,20
,10005,1,5,10,0,1,5,15,20
,10006,1,6,5,3,1,6,15,20
,10007,1,6,3,4,1,7,15,20
,10008,1,7,8,0,1,8,15,20
,10009,1,1,20,1,1,9,15,50
,10010,1,2,10,0,1,10,15,50
,10011,1,3,30,0,1,11,15,50
,10012,1,4,15,0,1,12,15,50
,10013,1,5,20,0,1,13,15,50
,10014,1,6,10,3,1,14,15,50
,10015,1,6,6,4,1,15,15,50
,10016,1,7,15,0,1,16,15,50
,10017,1,1,40,1,1,17,15,100
,10018,1,2,20,0,1,18,15,100
,10019,1,3,50,0,1,19,15,100
,10020,1,4,40,0,1,20,15,100
,10021,1,5,40,0,2,1,15,100
,10022,1,6,20,3,2,2,15,100
,10023,1,6,12,4,2,3,15,100
,10024,1,7,30,0,2,4,15,100
