,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,map_id,type,start_time,end_time,condition1_type,condition1_num,condition2_type,condition2_num,condition3_type,condition3_num
备注,流水id,副本id,验证类型,开启时间,结束时间,条件类型,条件数据,条件类型,条件数据,条件类型,条件数据
卡诺萨战争,3051,3051,1,120000,135900,1,25,0,0,0,0
枭鹰邦域,3054,3054,0,0,0,0,0,0,0,0,0
魔族之心(多人),3061,3061,1,120000,135900,1,32,0,0,0,0
饿狼巢穴,3011,3011,0,0,0,0,0,0,0,0,0
饿狼巢穴(普通),3038,3038,0,0,0,0,0,0,0,0,0
玫瑰团驻地,3021,3021,0,0,0,0,0,0,0,0,0
玫瑰团驻地(普通),3029,3029,0,0,0,0,0,0,0,0,0
哥布林巢穴(普通),3030,3030,0,0,0,0,0,0,0,0,0
哥布林巢穴,3031,3031,0,0,0,0,0,0,0,0,0
材料副本(困难),3065,3065,0,0,0,0,0,0,0,0,0
材料副本（普通）,3068,3068,0,0,0,0,0,0,0,0,0
,3069,3069,0,0,0,0,0,0,0,0,0
,3073,3073,0,0,0,0,0,0,0,0,0
森之幻界,3074,3074,1,120000,135900,1,40,0,0,0,0
夜幕古堡大厅,3075,3075,0,0,0,0,0,0,0,0,0
夜幕古堡楼梯,3076,3076,0,0,0,0,0,0,0,0,0
夜幕古堡走廊,3078,3078,0,0,0,0,0,0,0,0,0
夜幕古堡密室,3079,3079,0,0,0,0,0,0,0,0,0
夜幕古堡城堡前,3080,3080,0,0,0,0,0,0,0,0,0
夜幕古堡前厅,3081,3081,0,0,0,0,0,0,0,0,0
夜幕古堡书房,3082,3082,0,0,0,0,0,0,0,0,0
夜幕古堡幻阵,3083,3083,0,0,0,0,0,0,0,0,0
诡异的左相府,3084,3084,0,0,0,0,0,0,0,0,0
哀嚎神殿,3032,3032,0,0,0,0,0,0,0,0,0
哀嚎神殿(普通),3036,3036,0,0,0,0,0,0,0,0,0
露西蒂尼之墓,3035,3035,0,0,0,0,0,0,0,0,0
露西蒂尼之墓(普通),3028,3028,0,0,0,0,0,0,0,0,0
魔族之心,3034,3034,0,0,0,0,0,0,0,0,0
魔族之心(普通),3026,3026,0,0,0,0,0,0,0,0,0
荒原古堡,3024,3024,0,0,0,0,0,0,0,0,0
沙海虫巢,3022,3022,0,0,0,0,0,0,0,0,0
黑锤塞垒,3027,3027,0,0,0,0,0,0,0,0,0
银母矿洞,3023,3023,0,0,0,0,0,0,0,0,0
沙海虫巢(普通),3040,3040,0,0,0,0,0,0,0,0,0
黑锤塞垒(普通),3039,3039,0,0,0,0,0,0,0,0,0
荒原古堡(普通),3043,3043,0,0,0,0,0,0,0,0,0
银母矿洞(普通),3041,3041,0,0,0,0,0,0,0,0,0
,3044,3044,0,0,0,0,0,0,0,0,0
凋零之地,3042,3042,0,0,0,0,0,0,0,0,0
凋零之地(普通),3047,3047,0,0,0,0,0,0,0,0,0
树心城普通,3048,3048,0,0,0,0,0,0,0,0,0
枭鹰矿洞,3055,3055,0,0,0,0,0,0,0,0,0
神迹实验室,3071,3071,0,0,0,0,0,0,0,0,0
,3085,3085,0,0,0,0,0,0,0,0,0
黑龙战舰,3086,3086,0,0,0,0,0,0,0,0,0
失事飞船,3087,3087,0,0,0,0,0,0,0,0,0
枭鹰矿洞(普通),3140,3140,0,0,0,0,0,0,0,0,0
黑龙战舰(普通),3141,3141,0,0,0,0,0,0,0,0,0
枭鹰邦域(普通),3142,3142,0,0,0,0,0,0,0,0,0
失事飞船(普通),3143,3143,0,0,0,0,0,0,0,0,0
,3144,3144,0,0,0,0,0,0,0,0,0
黄金立方(普通),3145,3145,0,0,0,0,0,0,0,0,0
,3146,3146,0,0,0,0,0,0,0,0,0
,3149,3149,0,0,0,0,0,0,0,0,0
,3158,3158,1,120000,235959,1,50,0,0,0,0
,3159,3159,0,0,0,0,0,0,0,0,0
,305101,3051,1,180000,195900,1,25,0,0,0,0
,305102,3051,1,220000,235900,1,25,0,0,0,0
,306101,3061,1,180000,195900,1,32,0,0,0,0
,306102,3061,1,220000,235900,1,32,0,0,0,0
,307401,3074,1,180000,195900,1,40,0,0,0,0
,307402,3074,1,220000,235900,1,40,0,0,0,0
