,optional,optional,optional,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,fight,multi_boss,monster,money,user_exp,hero_exp,hero_impression,exp_ball,reward_id,action_id,max_battle_time,battle_check,attack_status_id,fight_type
备注,ID,备注,战力,多人boss,怪物id,掉落金币,战队经验,英雄经验,英雄好感度,经验球经验,奖励id,事件id,战斗限时,战斗检测,偷袭状态,战斗力压制算法类型
,200860,荒漠异蝎,0,0,1001701,0,0,0,5,0,0,0,600000,0,0,0
,200861,雾夜女巫,0,0,1001702,0,0,0,5,0,0,0,600000,0,0,0
,200862,幽冥鬼煞,0,0,1001703,0,0,0,5,0,0,0,600000,0,0,0
,200863,魅影幻像,0,0,1001704,0,0,0,5,0,0,0,600000,0,0,0
,200864,极渊领主,0,0,1001705,0,0,0,10,0,0,0,600000,0,0,0
,200865,荒漠异蝎,0,0,1001706,0,0,0,5,0,0,0,600000,0,0,0
,200866,雾夜女巫,0,0,1001707,0,0,0,5,0,0,0,600000,0,0,0
,200867,幽冥鬼煞,0,0,1001708,0,0,0,5,0,0,0,600000,0,0,0
,200868,魅影幻像,0,0,1001709,0,0,0,5,0,0,0,600000,0,0,0
,200869,极渊领主,0,0,1001710,0,0,0,10,0,0,0,600000,0,0,0
,200870,荒漠异蝎,0,0,1001711,0,0,0,5,0,0,0,600000,0,0,0
,200871,雾夜女巫,0,0,1001712,0,0,0,5,0,0,0,600000,0,0,0
,200872,幽冥鬼煞,0,0,1001713,0,0,0,5,0,0,0,600000,0,0,0
,200873,魅影幻像,0,0,1001714,0,0,0,5,0,0,0,600000,0,0,0
,200874,极渊领主,0,0,1001715,0,0,0,10,0,0,0,600000,0,0,0
,200875,荒漠异蝎,0,0,1001716,0,0,0,5,0,0,0,600000,0,0,0
,200876,雾夜女巫,0,0,1001717,0,0,0,5,0,0,0,600000,0,0,0
,200877,幽冥鬼煞,0,0,1001718,0,0,0,5,0,0,0,600000,0,0,0
,200878,魅影幻像,0,0,1001719,0,0,0,5,0,0,0,600000,0,0,0
,200879,极渊领主,0,0,1001720,0,0,0,10,0,0,0,600000,0,0,0
,200880,荒漠异蝎,0,0,1001721,0,0,0,5,0,0,0,600000,0,0,0
,200881,雾夜女巫,0,0,1001722,0,0,0,5,0,0,0,600000,0,0,0
,200882,幽冥鬼煞,0,0,1001723,0,0,0,5,0,0,0,600000,0,0,0
,200883,魅影幻像,0,0,1001724,0,0,0,5,0,0,0,600000,0,0,0
,200884,极渊领主,0,0,1001725,0,0,0,10,0,0,0,600000,0,0,0
,200885,荒漠异蝎,0,0,1001726,0,0,0,5,0,0,0,600000,0,0,0
,200886,雾夜女巫,0,0,1001727,0,0,0,5,0,0,0,600000,0,0,0
,200887,幽冥鬼煞,0,0,1001728,0,0,0,5,0,0,0,600000,0,0,0
,200888,魅影幻像,0,0,1001729,0,0,0,5,0,0,0,600000,0,0,0
,200889,极渊领主,0,0,1001730,0,0,0,10,0,0,0,600000,0,0,0
,200890,荒漠异蝎,0,0,1001731,0,0,0,5,0,0,0,600000,0,0,0
,200891,雾夜女巫,0,0,1001732,0,0,0,5,0,0,0,600000,0,0,0
,200892,幽冥鬼煞,0,0,1001733,0,0,0,5,0,0,0,600000,0,0,0
,200893,魅影幻像,0,0,1001734,0,0,0,5,0,0,0,600000,0,0,0
,200894,极渊领主,0,0,1001735,0,0,0,10,0,0,0,600000,0,0,0
,200895,荒漠异蝎,0,0,1001736,0,0,0,5,0,0,0,600000,0,0,0
,200896,雾夜女巫,0,0,1001737,0,0,0,5,0,0,0,600000,0,0,0
,200897,幽冥鬼煞,0,0,1001738,0,0,0,5,0,0,0,600000,0,0,0
,200898,魅影幻像,0,0,1001739,0,0,0,5,0,0,0,600000,0,0,0
,200899,极渊领主,0,0,1001740,0,0,0,10,0,0,0,600000,0,0,0
,200900,荒漠异蝎,0,0,1001741,0,0,0,5,0,0,0,600000,0,0,0
,200901,雾夜女巫,0,0,1001742,0,0,0,5,0,0,0,600000,0,0,0
,200902,幽冥鬼煞,0,0,1001743,0,0,0,5,0,0,0,600000,0,0,0
,200903,魅影幻像,0,0,1001744,0,0,0,5,0,0,0,600000,0,0,0
,200904,极渊领主,0,0,1001745,0,0,0,10,0,0,0,600000,0,0,0
,200905,荒漠异蝎,0,0,1001746,0,0,0,5,0,0,0,600000,0,0,0
,200906,雾夜女巫,0,0,1001747,0,0,0,5,0,0,0,600000,0,0,0
,200907,幽冥鬼煞,0,0,1001748,0,0,0,5,0,0,0,600000,0,0,0
,200908,魅影幻像,0,0,1001749,0,0,0,5,0,0,0,600000,0,0,0
,200909,极渊领主,0,0,1001750,0,0,0,10,0,0,0,600000,0,0,0
