,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3096018,机关门,3096,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3096019,机关门,3096,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3096020,机关门,3096,4,1141,0,1,0,0,0,0,0,"-13.93,0,2.07",90,1
,3096021,机关门,3096,4,1141,0,1,0,0,0,0,0,"14.28,0,1.901",90,1
,3097018,机关门,3097,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3097019,机关门,3097,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3097020,机关门,3097,4,1141,0,1,0,0,0,0,0,"-13.93,0,2.07",90,1
,3097021,机关门,3097,4,1141,0,1,0,0,0,0,0,"14.28,0,1.901",90,1
,3098018,机关门,3098,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3098019,机关门,3098,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3098020,机关门,3098,4,1141,0,1,0,0,0,0,0,"-13.93,0,2.07",90,1
,3098021,机关门,3098,4,1141,0,1,0,0,0,0,0,"14.28,0,1.901",90,1
,3099018,机关门,3099,4,1141,0,1,0,0,0,0,0,"-14.1,0,-20.5",90,1
,3099019,机关门,3099,4,1141,0,1,0,0,0,0,0,"13.58,0,-20.5",90,1
,3099020,机关门,3099,4,1141,0,1,0,0,0,0,0,"-13.93,0,2.07",90,1
,3099021,机关门,3099,4,1141,0,1,0,0,0,0,0,"14.28,0,1.901",90,1
,3101011,光墙,3101,4,1094,0,1,0,0,0,0,0,"0.27871,0.01,12.15",180,1
,3101018,机关门,3101,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3101019,机关门,3101,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3101020,机关门,3101,4,1141,0,1,0,0,0,0,0,"-13.93,0,2.07",90,1
,3101021,机关门,3101,4,1141,0,1,0,0,0,0,0,"14.28,0,1.901",90,1
,3102018,机关门,3102,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3102019,机关门,3102,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3102020,机关门,3102,4,1141,0,1,0,0,0,0,0,"-13.93,0,2.07",90,1
,3102021,机关门,3102,4,1141,0,1,0,0,0,0,0,"14.28,0,1.901",90,1
,3103018,机关门,3103,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3103019,机关门,3103,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
,3103020,机关门,3103,4,1141,0,1,0,0,0,0,0,"-13.93,0,2.07",90,1
,3103021,机关门,3103,4,1141,0,1,0,0,0,0,0,"14.28,0,1.901",90,1
,3104018,机关门,3104,4,1141,0,1,0,0,0,0,0,"-13.93,0,-9.4",90,1
,3104019,机关门,3104,4,1141,0,1,0,0,0,0,0,"13.85,0,-9.31",90,1
