,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3096001,混沌魔魂,3096,1,20614,0,1,0,0,0,0,0,"-8.8000,0.08,-19.1",180,1
,3096002,觉醒魔魂,3096,1,20615,0,1,0,0,0,0,0,"9.79999,0.08,-20.1",180,1
,3096003,赤焰狼王,3096,1,20616,0,1,0,0,0,0,0,"-9.7000,0.08,2.931",180,1
,3096004,惩戒屠夫,3096,1,20617,0,1,0,0,0,0,0,"9.95000,0.08,2.931",180,1
,3096005,炼狱之主,3096,1,20618,0,1,0,0,0,0,0,"-0.3200,2.22,35.14",180,1
,3096006,混沌魔魂,3096,2,200459,1,1,1,0,0,0,76,,0,1
,3096007,觉醒魔魂,3096,2,200460,2,1,1,0,0,0,76,,0,1
,3096008,赤焰狼王,3096,2,200461,3,1,1,0,0,0,76,,0,1
,3096009,惩戒屠夫,3096,2,200462,4,1,1,0,0,0,76,,0,1
,3096010,炼狱之主,3096,2,200463,5,1,1,0,0,0,76,,0,1
,3096011,怨灵墙,3096,4,1091,0,1,0,0,0,0,0,"0.27871,0.01,12.15",180,1
,3096012,怨灵墙,3096,4,1093,0,1,0,0,0,0,0,"-9.2,0.01,-15",180,1
,3096013,怨灵墙,3096,4,1093,0,1,0,0,0,0,0,"9.2,0.01,-15",180,1
,3096014,混沌魔魂,3096,1,20619,0,1,0,0,0,0,0,"-20.800,0.08,-20.1",90,1
,3096015,觉醒魔魂,3096,1,20620,0,1,0,0,0,0,0,"22.4000,0.08,-22.3",-90,1
,3096016,赤焰狼王,3096,1,20621,0,1,0,0,0,0,0,"-20.960,0.08,5.391",90,1
,3096017,惩戒屠夫,3096,1,20622,0,1,0,0,0,0,0,"21.6500,0.08,4.101",-90,1
,3097001,卫兵,3097,1,20636,0,1,0,0,0,0,0,"-9.172,0.08,-23.69",0,1
,3097002,卫兵,3097,1,20637,0,1,0,0,0,0,0,"10.555,0.08,-23.69",0,1
,3097003,荒蛮孤狼,3097,1,20638,0,1,0,0,0,0,0,"-9.7000,0.08,2.931",180,1
,3097004,梦魇白狼,3097,1,20623,0,1,0,0,0,0,0,"9.95000,0.08,2.931",150,1
,3097005,贪狼暴君,3097,1,20624,0,1,0,0,0,0,0,"-0.3200,2.22,35.14",180,1
,3097008,赤焰狼王,3097,2,200466,3,1,1,0,0,0,76,,0,1
,3097009,惩戒屠夫,3097,2,200467,4,1,1,0,0,0,76,,0,1
,3097010,炼狱之主,3097,2,200468,5,1,1,0,0,0,76,,0,1
,3097013,障碍墙,3097,4,1092,0,1,0,0,0,0,0,"0.27871,0.01,12.15",180,1
,3097014,典狱长,3097,1,21021,0,1,0,0,0,0,0,"2.821,0.08,-29.58",0,1
,3097016,荒蛮孤狼,3097,1,21023,0,1,0,0,0,0,0,"-20.960,0.08,5.391",90,1
,3097017,梦魇白狼,3097,1,21024,0,1,0,0,0,0,0,"21.6500,0.08,4.101",-134.5,1
