,required,required,repeated,repeated,required
,uint32,uint32,uint32,uint32,uint32
,id,level_id,monster1_id,monster2_id,boss_id
备注,ID,关卡id,战力,多人boss,怪物id
,51,3163,200860;200861,200862;200863,200864
,52,3164,200865;200866,200867;200868,200869
,53,3165,200870;200871,200872;200873,200874
,54,3166,200875;200876,200877;200878,200879
,55,3167,200880;200881,200882;200883,200884
,61,3168,200885;200886,200887;200888,200889
,62,3169,200890;200891,200892;200893,200894
,63,3170,200895;200896,200897;200898,200899
,64,3171,200900;200901,200902;200903,200904
,65,3172,200905;200906,200907;200908,200909
