,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,repeated,optional,repeated,optional
,uint32,string,string,uint32,uint32,uint32,uint32,float,float,float,int32,int32,string,int32,int32
,levelID,name,desc,sceneID,sort,subsort,type,enterPosX,enterPosY,enterPosZ,audioClipID,stepClipID,loadBgName,AudioClipLoopID,auto
备注,关卡ID,关卡名,关卡描述,资源名称,类型(-1客户端场景、0主城、1野外、2副本),子类型,"属性(2进制,地图限制)",入口坐标X,入口坐标Y(暂时添加，是否需要？？？),入口坐标Z,背景音乐,英雄脚步声,场景加载背景名,循环音乐（分号隔开,
,76,战斗_监狱岛,战斗_监狱岛,76,5,0,0,0,0,0,10006,2010,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3163,海地斯监狱二十一层,海地斯监狱二十一层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3164,海地斯监狱二十二层,海地斯监狱二十二层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3165,海地斯监狱二十三层,海地斯监狱二十三层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3166,海地斯监狱二十四层,海地斯监狱二十四层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3167,海地斯监狱二十五层,海地斯监狱二十五层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3168,海地斯监狱二十六层,海地斯监狱二十六层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3169,海地斯监狱二十七层,海地斯监狱二十七层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3170,海地斯监狱二十八层,海地斯监狱二十八层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3171,海地斯监狱二十九层,海地斯监狱二十九层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
,3172,海地斯监狱三十层,海地斯监狱三十层,176,2,0,0,0.38,0.08,-29.60559,1009,2260;2261;2262;2263;2264,"77,78,79,80,81,82,83,84,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012",,0
