,required,required,optional,optional,optional,optional,optional,optional,optional,repeated,repeated,optional,repeated,optional,repeated,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,uint32,string,uint32,uint32
,id,name,attr_type,type,sex,family,profession,level,attr_id,special_effects,own_skills,skill_que,skill_vis,skill_loop_que,skill_que_vis,action_id
备注,怪物ID,注释,属性适配类型,怪物类型,性别,家族,职业类型,等级,怪物属性ID,特殊效果ID,拥有技能列表,技能序列,技能序列可见性,循环技能序列,循环技能序列可见性,效果ID
,1001701,荒漠异蝎,0,0,1,2,1,0,1001701,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1001702,雾夜女巫,0,0,1,6,1,0,1001702,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1001703,幽冥鬼煞,0,0,1,6,2,1,1001703,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001704,魅影幻像,0,0,1,6,2,1,1001704,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1001705,蜘蛛女王,0,2,2,6,1,1,1001705,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001706,荒漠异蝎,0,0,1,2,1,0,1001706,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1001707,雾夜女巫,0,0,1,6,1,0,1001707,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1001708,幽冥鬼煞,0,0,1,6,2,1,1001708,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001709,魅影幻像,0,0,1,6,2,1,1001709,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
,1001710,蜘蛛女王,0,2,2,6,1,1,1001710,,900301;900302;900303;900304,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001711,荒漠异蝎,0,0,1,2,1,0,1001711,1061;1021,1002701;1002702;1002703,"0,1,2;0,2",0,"0,0,1,2;0,2;0,1,2",0,0
,1001712,雾夜女巫,0,0,1,6,1,0,1001712,,1005401;1005402;1005403,"0,1,2",0,"0,1,2",0,0
,1001713,幽冥鬼煞,0,0,1,6,2,1,1001713,,900201;900202;900203;900204,"0,1,2,3;1,0,2,1",0,"0,2,1,3;0,1,2;0,1,1;1,2,3;1,0,2,1",0,0
,1001714,魅影幻像,0,0,1,6,2,1,1001714,,1005701;1005702;1005703;1005704,"2,3;0,1,2",0,"0,1,2;0,1;2,3",0,0
