,id,name,attr,story,location
备注,npcid（注意这里是2D的NPC资源不要和3D的资源混淆）,npc名字,特性,图鉴故事内容,图鉴出场地点
,4334,欢呼的民众,兰奇友好_工匠,,
,4335,欢呼的民众,兰奇友好_小雅,,
,4336,欢呼的民众,兰奇友好_加林,,
,4337,欢呼的民众,兰奇友好_露娜,,
,4338,感动的民众,兰奇友好_老婆婆,,
,4339,感动的民众,兰奇友好_巴亚,,
,4340,感动的民众,兰奇友好_大叔,,
,4341,感动的民众,兰奇友好_旅行家,,
,4353,镇民骆克桑,米兰达友好,,
,4354,镇民米可,米兰达友好,,
,4355,镇民莫翎,米兰达友好,,
,4356,镇民玳尔,米兰达友好,,
,4357,镇民柯林,米兰达友好,,
,4359,魔魂之仆,怨魔空间,,
,4360,怨魔之灵,怨魔空间,,
,4361,毒戾法师,怨魔空间,,
,4362,赤血魔魂,怨魔空间,,
,4363,泰坦战灵,怨魔空间,,
,4364,机械人偶,自律联盟三阶段,,
,4365,莱克,海地斯监狱,,
,4366,幽岚领主塔伦,海地斯监狱,,
,4367,黑钢领主艾布林,海地斯监狱,,
,4368,苍蓝领主拉弥娅,海地斯监狱,,
,4369,千纸领主洛伊,海地斯监狱,,
,4370,荒沼领主贝格,海地斯监狱,,
,4371,怒涛领主奥古斯,海地斯监狱,,
,4372,狼蛛领主玛丽,海地斯监狱,,
,4373,刀锋领主希德,海地斯监狱,,
,4374,剑豪领主拉希德,海地斯监狱,,
,4375,噬盾领主霍普,海地斯监狱,,
,4376,魅影领主苏姬,海地斯监狱,,
,4377,狂龙领主柏格,海地斯监狱,,
,4378,鬼纹领主杰西法,海地斯监狱,,
,4379,铸魂领主米尔顿,海地斯监狱,,
,4380,刺血领主爱丝,海地斯监狱,,
,4381,怒焰领主霍齐亚,海地斯监狱,,
,4382,狮蛮领主艾凡,海地斯监狱,,
,4383,蚀骨领主安波儿,海地斯监狱,,
,4384,夜翼领主马文,海地斯监狱,,
,4385,研究组组长,海地斯监狱,,
,4386,研究员,海地斯监狱,,
