,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,string,uint32,uint32,string,uint32,uint32,float,uint32,int32,string,string
,id,sceneId,regionSize,shapeType,type,name,plowlevel,glowlevel,scale,lookfaceId,background,des,uiPos
备注,NPC组Id,关卡Id,区域大小,区域形状,NPC组类型(1npc/building/box/map/5copy/6transfor/7trap/8采集),名字,触发交互界面等级,npc群组最低等级,尺寸,外形id,NPC群组聊天背景,描述,（相对位置）建筑等或无模型类型UI名称位置
,21196,3158,,0,1,,0,0,1,52013,0,,
,21197,3158,,0,1,,0,0,1,52022,0,,
,21198,3158,,0,1,,0,0,1,9004,0,,
,30741,3158,"4,4,20",1,7,,0,0,1,0,0,,
,30742,3158,,0,7,,0,0,1,0,0,,
,30743,3158,,0,7,,0,0,1,0,0,,
,40358,3158,,0,3,,0,0,1,1018,0,,
,40359,3158,,0,3,,0,0,1,1018,0,,
,40360,3158,,0,3,,0,0,1,1020,0,,
,70051,3158,,0,10,,0,0,1,1014,0,,"0,1,0"
