,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,string,string,uint32,string,string,string,string
,id,regionSize,shapeType,size,des,triggerType,prefabPath,idleEffect,startEffect,endEffect
备注,机关id,区域大小,区域形状,机关大小,描述,触发方式 0区域触发/1点击,预制路径,默认特效,开始特效,完成特效
,1139,,1,,空气墙,2,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1140,"6,6,6",0,"0.4,0.4,0.4",结界,2,Prefab/BattleInstance/Effect_Scene_tanlanjiejie.prefab,,,
,1142,"0.8,1,1",1,,空气墙,2,Prefab/Effect/Effect_Scene_guangqiang01.prefab,,,
,1143,"3,4,9",1,,陷阱,2,,,,
,1144,"3,4,9",1,,陷阱,2,,,,
,1145,"3,4,9",1,,陷阱,2,,,,
,1152,"3,4,20",1,,陷阱,2,,,,
