,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,int64,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,life,phy_atk,mgc_atk,phy_def,mgc_def,life_add,phy_atk_add,mgc_atk_add,phy_def_add,mgc_def_add,hit_rate,dodge_rate,critical_rate,critical_dmg,critical_def,parry_rate,parry_def,hitbreak_rate,hitback_xp,dmg_add,dmg_cut,ice_atk,fire_atk,dark_atk,light_atk,ice_def,fire_def,light_def,dark_def
备注,属性id,生命值,物理攻击,魔法攻击,物理防御,魔法防御,生命加成,物攻加成,魔攻加成,物防加成,魔防加成,命中率,闪避率,暴击率,暴击伤害,抗爆率,格挡率,格挡减伤,破击率,受击回复xp,伤害加成,伤害减免,冰元素伤害,火元素伤害,暗元素伤害,光元素伤害,冰元素抗性,火元素抗性,光元素抗性,暗元素抗性
,1001673,139250,5009,5009,2003,2003,0,0,0,0,0,10000,0,0,5000,0,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1001674,139250,5009,5009,2003,2003,0,0,0,0,0,10000,0,0,5000,0,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1001675,622770,5668,5668,2267,2267,0,0,0,0,0,10000,0,0,5000,0,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1001676,139250,5009,5009,2003,2003,0,0,0,0,0,10000,0,0,5000,0,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1001677,232338,5397,5397,2158,2158,0,0,0,0,0,10000,0,0,5000,0,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1001678,232338,5397,5397,2158,2158,0,0,0,0,0,10000,0,0,5000,0,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1001679,622770,5668,5668,2267,2267,0,0,0,0,0,10000,0,0,5000,0,0,3000,1000,0,0,0,0,0,0,0,0,0,0,0
,1001680,996432,5668,5668,2267,2267,0,0,0,0,0,10000,0,1000,5000,0,2000,3000,1000,0,0,0,0,0,0,0,0,0,0,0
