,required,required,required,optional,optional
,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,level,need_exp,ap_point,ap_reward
备注,id,战队等级,升级经验,体力值上限,奖励体力值
,1,1,100,41,0
,2,2,100,42,10
,3,3,200,43,10
,4,4,200,44,10
,5,5,400,45,10
,6,6,400,46,10
,7,7,800,47,10
,8,8,800,48,10
,9,9,1200,49,10
,10,10,1600,50,20
,11,11,2000,51,20
,12,12,2400,52,20
,13,13,3000,53,20
,14,14,3500,54,50
,15,15,4500,55,55
,16,16,5500,56,56
,17,17,6500,57,57
,18,18,7500,58,58
,19,19,9000,59,59
,20,20,9500,60,60
,21,21,11500,61,61
,22,22,13500,62,62
,23,23,16000,63,63
,24,24,18600,64,64
,25,25,22150,65,65
,26,26,26800,66,66
,27,27,31200,67,67
,28,28,38600,68,68
,29,29,41600,69,69
,30,30,45000,70,70
,31,31,53800,71,71
,32,32,72000,72,72
,33,33,78500,73,73
,34,34,87500,74,74
,35,35,96900,75,75
,36,36,101900,76,76
,37,37,106900,77,77
,38,38,111900,78,78
,39,39,116900,79,79
,40,40,137800,80,80
,41,41,154200,81,81
,42,42,168800,82,82
,43,43,183800,83,83
,44,44,199400,84,84
,45,45,215600,85,85
,46,46,233900,86,86
,47,47,259600,87,87
,48,48,289200,88,88
,49,49,319800,89,89
,50,50,354600,90,90
,51,51,390500,91,91
,52,52,439400,92,92
,53,53,485700,93,93
,54,54,533500,94,94
,55,55,586300,95,95
,56,56,644200,96,96
,57,57,703900,97,97
,58,58,769000,98,98
,59,59,839800,99,99
,60,60,916500,100,100
,61,61,999100,101,101
,62,62,1088100,102,102
,63,63,1179300,103,103
,64,64,1277100,104,104
,65,65,1381500,105,105
,66,66,1492900,106,106
,67,67,1611300,107,107
,68,68,1737000,108,108
,69,69,1870200,109,109
,70,70,2015600,110,110
,71,71,2169000,111,111
,72,72,2330600,112,112
,73,73,2500600,113,113
,74,74,2683900,114,114
,75,75,2876200,115,115
,76,76,3077600,116,116
,77,77,3293200,117,117
,78,78,3518500,118,118
,79,79,3758800,119,119
,80,80,0,120,120
