,required,required
,uint32,string
,icon_id,icon_path
备注,战队头像id,头像路径
西蒙,101,Textures/Atlas/Dyn/CharacterCommonHead/simone.png
温丽,201,Textures/Atlas/Dyn/CharacterCommonHead/Wenly.png
爱琳娜,301,Textures/Atlas/Dyn/CharacterCommonHead/Elena.png
泰雷,102,Textures/Atlas/Dyn/CharacterCommonHead/Thairay.png
爱琪,302,Textures/Atlas/Dyn/CharacterCommonHead/Rose.png
兰奇,103,Textures/Atlas/Dyn/CharacterCommonHead/LancyBlack.png
木禅,104,Textures/Atlas/Dyn/CharacterCommonHead/Muchan.png
阿德琳,108,Textures/Atlas/Dyn/CharacterCommonHead/Druid.png
乔伊,401,Textures/Atlas/Dyn/CharacterCommonHead/Joey.png
夜崎隐,107,Textures/Atlas/Dyn/CharacterCommonHead/Cain.png
檐鬼,106,Textures/Atlas/Dyn/CharacterCommonHead/Aghost.png
米兰达,112,Textures/Atlas/Dyn/CharacterCommonHead/Miaer.png
米修,10101,Textures/Atlas/Dyn/CharacterCommonHead/ApuffofMichaux.png
由莉,10056,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png
赫丽,10028,Textures/Atlas/Dyn/CharacterCommonHead/Herly.png
贪婪,10103,Textures/Atlas/Dyn/CharacterCommonHead/Greedy.png
夜崎隐趣味,10158,Textures/Atlas/Dyn/CharacterCommonHead/Cain01.png
泰雷趣味,10166,Textures/Atlas/Dyn/CharacterCommonHead/Thairay01.png
萨米尔,114,Textures/Atlas/Dyn/CharacterCommonHead/Godofdeath.png
迪罗赞,111,Textures/Atlas/Dyn/CharacterCommonHead/DiLuoZan.png
纳塔娜,113,Textures/Atlas/Dyn/CharacterCommonHead/Natana.png
