,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,string,string
,id,hero_type_id,hero_class,special,talent1_name,talent1_desc
备注,流水号,英雄id,进阶数,特殊标记 0 普通 1特殊,天赋名,天赋描述
,10103,101,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10105,101,5,1,勇者的执念,成功施放<color=#e57a20>【辅助技】</color>后，<br>获得<color=#e57a20>征伐</color>状态。
,10107,101,7,1,挑战的誓约,施放<color=#e57a20>【辅助技】</color>打断敌方奥义时，重置其冷却时间。<br>一场战斗只能触发一次。【暂未实装】
,10203,102,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10205,102,5,1,防守反击,格挡成功时，敌方造成的伤害反弹<color=#e57a20>100%</color>。
,10207,102,7,1,裁决断击,敌方拥有<color=#e57a20>碎甲</color>状态时，<color=#e57a20>20%</color>几率造成额外伤害，伤害等同敌方生命值上限的<color=#e57a20>5%</color>。【暂未实装】
,10303,103,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10305,103,5,1,血怒狂咒,<color=#e57a20>【奥义技】</color>对敌方群体施加<color=#e57a20>诅咒</color>状态。
,10307,103,7,1,共鸣咒印,拥有<color=#e57a20>负面状态</color>时，会对敌方施加<color=#e57a20>相同种类</color>与<color=#e57a20>数量</color>的状态，且效果与持续时间<color=#e57a20>加倍</color>。【暂未实装】
,10403,104,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10405,104,5,1,林之守护,当前生命值低于<color=#e57a20>20%</color>时，获得等同生命值上限<color=#e57a20>15%</color>的护盾。
,10407,104,7,1,苍天林卫,<color=#e57a20>【辅助技】</color>的反弹效果提升至<color=#e57a20>45%</color>，且额外获得等同生命值上限<color=#e57a20>20％</color>的护盾。【暂未实装】
,10503,105,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10505,105,5,1,翱翔,<color=#e57a20>1</color>场战斗<color=#e57a20>1</color>次，担任<color=#e57a20>【先锋】</color>位首发上场时，装填<color=#e57a20>3</color>枚风之箭矢。
,10507,105,7,1,思念之风,被击败时，所有未被击败的队友获得<color=#e57a20>思念之风</color>状态。
,10603,106,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10605,106,5,1,洞察之眼,<color=#e57a20>1</color>场战斗<color=#e57a20>1</color>次，在场上时，敌方英雄或怪物的奥义伤害降低<color=#e57a20>80%</color>。
,10607,106,7,1,复生幽影,1场战斗1次，被击败后，会在<color=#e57a20>5</color>次切换攻击方后复活。【暂未实装】
,10703,107,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10705,107,5,1,六道劫火,同时拥有<color=#e57a20>“风”“林”“火”“山”</color>四字箴言时，施放<color=#e57a20>【辅助技】</color>后恢复<color=#e57a20>500</color>点奥义值。
,10707,107,7,1,百鬼永劫,施放除<color=#e57a20>【技能4】</color>以外的技能时，触发额外效果将不消耗<color=#e57a20>“风”“林”“火”“山”</color>。【暂未实装】
,10803,108,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,10805,108,5,1,熊之啸,熊型态时，伤害提升<color=#e57a20>10%</color>，且对兽人伤害额外提升<color=#e57a20>10%</color>。
,10807,108,7,1,森灵鸣响,每次生命值恢复时，获得等同恢复生命值<color=#e57a20>50%</color>的护盾。<color=#e57a20>【暂未实装】</color>
,11103,111,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,11105,111,5,1,狮心,自身护盾值高于当前生命值时，命中率，暴击率各提升<color=#e57a20>20%</color>。
,11107,111,7,1,坚毅之念,拥有护盾时，受到伤害降低<color=#e57a20>10%</color>。
,11203,112,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,11205,112,5,1,刃翼之刻,首次登场时，获得<color=#e57a20>10</color>层<color=#e57a20>刃翼之刻</color>。
,11207,112,7,1,征翼之令,群体技能造成的暴击伤害提升<color=#e57a20>30％</color>。
,11303,113,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,11305,113,5,1,独家秀演,<color=#e57a20>【技能4】</color>消耗鬼牌时，获得<color=#e57a20>全场欢呼</color>状态。
,11307,113,7,1,返场诡计,每消耗<color=#e57a20>1</color>张鬼牌，敌方的援护与<color=#e57a20>【辅助技】</color>冷却时间提升<color=#e57a20>10</color>秒。【暂未实装】
,11403,114,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,11405,114,5,1,赤殇战意,每次受到伤害时，有<color=#e57a20>30％</color>机率获得<color=#e57a20>1</color>层<color=#e57a20>怒刃印记</color>。
,11407,114,7,1,赤怒战意,敌方的当前生命值比例低于自己的当前生命值比例时，造成的伤害提升<color=#e57a20>15％</color>。
,11503,115,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,11505,115,5,1,突破5,战败后，对对手施放冻结状态，持续10招。
,11507,115,7,1,突破7,触发冻结状态后，立即重置技能4的冷却时间。
,20103,201,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
,20105,201,5,1,新月祝福日,每个<color=#e57a20>焰火祭典</color>使魔法伤害提升<color=#e57a20>3%</color>。
,20107,201,7,1,霜焰创生祭,同时拥有<color=#e57a20>焰火祭典</color>与<color=#e57a20>寒霜祭典</color>时，暴击率提升<color=#e57a20>10%</color>。
,30103,301,3,1,本命镌刻,可同时获得<color=#e57a20>2</color>位本命的助力
