,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3158001,,3158,2,200830,1,0,0,0,0,0,74,,0,1
,3158002,,3158,2,200831,2,0,0,0,0,0,74,,0,1
,3158003,,3158,2,200832,3,0,0,0,0,0,74,,0,1
,3158004,,3158,2,200833,4,0,0,0,0,0,74,,0,1
,3158005,,3158,2,200834,5,0,1,0,0,0,74,,0,1
,3158006,,3158,2,200835,6,0,0,0,0,0,74,,0,1
,3158007,,3158,2,200836,7,0,0,0,0,0,74,,0,1
,3158008,,3158,2,200837,8,0,0,0,0,0,74,,0,1
,3158009,,3158,2,200838,9,0,0,0,0,0,74,,0,1
,3158010,,3158,2,200839,10,0,1,0,0,0,74,,0,1
,3158011,,3158,2,200840,11,0,1,0,0,0,74,,0,1
,3158012,,3158,1,40358,0,1,0,0,0,0,0,"-29.17,13.022,7.427",180,1
,3158013,,3158,1,40359,0,1,0,0,0,0,0,"-47.14,13.022,7.427",180,1
,3158014,,3158,1,40360,0,1,0,0,0,0,0,"-106.6,18.285,0.101",90,1
,3158015,篝火,3158,1,70051,0,1,0,0,0,0,0,"-112.8,21.990,-0.1",0,1
,3158016,摩尼耶·投影,3158,1,21196,0,1,0,0,0,0,0,"-55.95,13.022,0.02",90,1
,3158017,亚玻伦·投影,3158,1,21197,0,1,0,0,0,0,0,"-103.8,18.298,0.02",90,1
,3158018,亚兹莫·投影,3158,1,21198,0,1,0,0,0,0,0,"-112.8,21.990,-0.1",90,1
,3158019,空气墙,3158,4,1139,0,1,0,0,0,0,0,"-61.67,13.03,0.001",90,1
,3158020,空气墙,3158,4,1139,0,1,0,0,0,0,0,"-103.2,22.01,10.82",90,1
,3158021,空气墙,3158,4,1139,0,1,0,0,0,0,0,-103.3.22.01.-11.1,90,1
,3158022,结界,3158,4,1140,0,1,0,0,0,0,0,"-106.6,18.285,0.101",0,1
