,optional,optional,optional,optional,repeated,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,fight,multi_boss,monster,money,user_exp,hero_exp,hero_impression,exp_ball,reward_id,action_id,max_battle_time,battle_check,attack_status_id,fight_type
备注,ID,备注,战力,多人boss,怪物id,掉落金币,战队经验,英雄经验,英雄好感度,经验球经验,奖励id,事件id,战斗限时,战斗检测,偷袭状态,战斗力压制算法类型
,200830,黑龙战盾·投影,1,0,1001673,0,0,0,5,0,0,0,600000,1,0,0
,200831,黑龙战盾·投影,1,0,1001673,0,0,0,5,0,0,0,600000,1,0,0
,200832,黑龙重剑·投影,1,0,1001674,0,0,0,5,0,0,0,600000,1,0,0
,200833,黑龙重剑·投影,1,0,1001674,0,0,0,5,0,0,0,600000,1,0,0
,200834,摩尼耶·投影,1,1,1001675,0,0,0,5,0,0,0,600000,0,0,0
,200835,深海巨鳍·投影,1,0,1001676,0,0,0,5,0,0,0,600000,1,0,0
,200836,深海巨鳍·投影,1,0,1001676,0,0,0,5,0,0,0,600000,1,0,0
,200837,重卫机甲·特一型,1,0,1001677,0,0,0,5,0,0,0,600000,0,0,0
,200838,重卫机甲·特二型,1,0,1001678,0,0,0,5,0,0,0,600000,0,0,0
,200839,亚玻伦·投影,1,1,1001679,0,0,0,5,0,0,0,600000,0,0,0
,200840,亚兹莫·投影,1,1,1001680,0,0,0,10,0,0,0,600000,0,0,0
