,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,itemtype_ID1,itemtype_num1,itemtype_ID2,itemtype_num2,itemtype_ID3,itemtype_num3,itemtype_ID4,itemtype_num4
备注,流水ID,活动类型,表示奖励的参数,表示奖励的参数,表示奖励的参数,奖励物品1ID,奖励物品1数量,奖励物品2ID,奖励物品2数量,奖励物品3ID,奖励物品3数量,奖励物品4ID,奖励物品4数量
,242,2,1,2,200,210000,3,120012,5,0,0,0,0
,243,2,1,3,300,2000054,1,204020,2,0,0,0,0
,10014,2,2,1,100,4,50000,8,50000,0,0,0,0
,10015,2,2,2,200,210000,3,120012,5,0,0,0,0
,10016,2,2,3,300,2000054,1,204020,2,0,0,0,0
,10017,2,2,4,400,3030013,1,13,100,0,0,0,0
,10029,2,3,1,100,4,50000,8,50000,0,0,0,0
,10030,2,3,2,200,210000,3,120012,5,0,0,0,0
,10031,2,3,3,300,2000054,1,204020,2,0,0,0,0
,10032,2,3,4,400,3030013,1,13,100,0,0,0,0
,10044,2,4,1,100,4,50000,8,50000,0,0,0,0
,10045,2,4,2,200,210000,3,120012,5,0,0,0,0
,10046,2,4,3,300,2000054,1,204020,2,0,0,0,0
,10047,2,4,4,400,3030013,1,13,100,0,0,0,0
,10059,2,5,1,100,4,50000,8,50000,0,0,0,0
,10060,2,5,2,200,210000,3,120012,5,0,0,0,0
,10061,2,5,3,300,2000054,1,204020,2,0,0,0,0
,10062,2,5,4,400,3030013,1,13,100,0,0,0,0
,10074,2,6,1,100,4,50000,8,50000,0,0,0,0
,10075,2,6,2,200,210000,3,120012,5,0,0,0,0
,10076,2,6,3,300,2000054,1,204020,2,0,0,0,0
,10077,2,6,4,400,3030013,1,13,100,0,0,0,0
,10089,2,7,1,100,4,50000,8,50000,0,0,0,0
,10090,2,7,2,200,210000,3,120012,5,0,0,0,0
,10091,2,7,3,300,2000054,1,204020,2,0,0,0,0
,10092,2,7,4,400,3030013,1,13,100,0,0,0,0
,10104,2,8,1,100,4,50000,8,50000,0,0,0,0
,10105,2,8,2,200,210000,3,120012,5,0,0,0,0
,10106,2,8,3,300,2000054,1,204020,2,0,0,0,0
,10107,2,8,4,400,3030013,1,13,100,0,0,0,0
,10119,2,9,1,10,1,100,0,0,0,0,0,0
,10120,2,9,2,100,1,500,3,1000,0,0,0,0
,10121,2,9,3,500,1,1000,3,2000,3040013,1,0,0
,10122,2,9,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10123,2,9,5,2000,1,3000,3,10000,3040013,10,3010013,10
