,required,required,repeated,repeated,required
,uint32,uint32,uint32,uint32,uint32
,id,level_id,monster1_id,monster2_id,boss_id
备注,ID,关卡id,战力,多人boss,怪物id
,21,3102,200504;200505,200506;200507,200508
,22,3105,200514;200515,200516;200517,200518
,23,3111,200549;200550,200551;200552,200553
,24,3115,200569;200570,200571;200572,200573
,25,3104,200519;200520,200521;200522,200523
,31,3103,200509;200510,200511;200512,200513
,32,3113,200559;200560,200561;200562,200563
,33,3108,200534;200535,200536;200537,200538
,34,3110,200544;200545,200546;200547,200548
,35,3107,200529;200530,200531;200532,200533
,41,3106,200524;200525,200526;200527,200528
,42,3109,200539;200540,200541;200542,200543
,43,3116,200574;200575,200576;200577,200578
,44,3112,200554;200555,200556;200557,200558
,45,3114,200564;200565,200566;200567,200568
