,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,10230,0,1,0,0,0,3,1 2003 30196,1,,5,0,0,0,0,"2 0 2003 -68.55,0.10,-23.21",0,101
,10231,0,1,0,0,0,3,1 2003 20156,1,,2,0,0,0,0,1 1 2003 20156,0,102
,10232,0,1,0,0,0,3,1 2003 20159,1,,5,0,0,0,0,1 1 2003 20159,0,101
,10233,0,1,0,0,0,3,1 2003 20161,1,,5,0,0,0,0,1 1 2003 20161,0,101
,10234,0,1,0,0,0,3,1 2003 20163,1,,2,0,0,0,0,1 1 2003 20163,0,101
,10236,0,1,0,0,0,3,1 2003 10013,1,,5,0,0,0,0,"2 0 2003 -135.50,0.153,-41.2",0,101
,10237,0,1,0,0,0,3,1 2003 10011,1,,5,0,0,0,0,"2 0 2003 -155.44,0.15,-50.08",0,101
,10238,0,1,0,0,0,3,2 2003 900190,1,,5,0,0,0,0,1 2 2003 900190,0,102
,10239,0,1,1,0,0,3,1 2003 60079,1,,5,0,0,0,0,1 1 2003 60079,0,104
,10240,0,1,1,0,0,3,1 2003 60080,1,,5,0,0,0,0,1 1 2003 60080,0,104
,10241,0,1,0,0,0,3,1 2003 20166,1,,5,0,0,0,0,1 1 2003 20166,0,102
,10242,0,1,0,0,0,3,1 2003 30197,1,,5,0,0,0,0,"2 0 2003 -150.94,0.153,-36.76",0,101
,10243,0,1,0,0,0,3,1 2003 20166,1,,2,0,0,0,0,1 1 2003 20166,0,101
,10244,0,1,0,0,0,3,1 2003 10013,1,,2,0,0,0,0,"2 0 2003 -135.50,0.153,-41.2",0,101
,10245,0,1,0,0,0,3,1 2003 20156,1,,2,0,0,0,0,1 1 2003 20156,0,101
,10246,0,1,0,0,0,3,1 2003 50013,1,,2,0,0,0,0,"2 0 2003 -88.12,0.11,-79.51",0,105
,10248,0,1,0,0,0,3,1 2003 10013,1,,5,0,0,0,0,"2 0 2003 -135.50,0.153,-41.2",0,101
,10249,0,1,0,0,0,3,1 2003 20165,1,,2,0,0,0,0,1 1 2003 20165,0,101
,10250,0,1,0,0,0,3,1 2003 10011,1,,5,0,0,0,0,"2 0 2003 -155.44,0.15,-50.08",0,101
,10251,0,1,0,0,0,3,1 2003 10011,1,,5,0,0,0,0,"2 0 2003 -155.44,0.15,-50.08",0,101
,10253,0,1,0,0,0,3,1 2003 50016,1,,2,0,0,0,0,"2 0 2003 -141.99,0.11,-38.63",0,105
,10254,0,1,0,0,0,3,1 2003 30593,1,,2,0,0,0,0,"2 0 2003 -189.13,0.54,-71.87",0,101
,10410,0,1,0,0,0,3,2 2003 900240,1,,5,0,0,0,0,1 2 2003 900240,0,102
,10411,0,1,0,0,0,3,2 2003 900241,1,,5,0,0,0,0,1 2 2003 900241,0,102
,10412,0,1,0,0,0,3,2 2003 900242,1,,5,0,0,0,0,1 2 2003 900242,0,102
,10413,0,1,0,0,0,3,1 2003 21036,1,,0,0,0,0,0,1 1 2003 21036,0,101
,10414,0,1,0,0,0,3,1 2003 30311,1,,2,0,0,0,0,"2 0 2003 -222.972,0.096,-36.674",0,103
,10415,0,1,0,0,0,3,1 2003 30311,1,,2,0,0,0,0,"2 0 2003 -222.972,0.096,-36.674",0,101
,10424,0,1,0,0,0,3,1 2003 20156,1,,5,0,0,0,0,1 1 2003 20156,0,101
,10447,0,1,1,0,0,3,1 2003 30403,1,,5,0,0,0,0,"2 0 2003 -142.81,0.15,-22.22",0,101
,10448,0,1,1,0,0,3,1 2003 30404,1,,2,0,0,0,0,"2 0 2003 -163.105,0.15,-25.612",0,101
,10622,0,1,0,0,0,3,1 2003 30197,1,,5,0,0,0,0,"2 0 2003 -150.94,0.153,-36.76",0,101
